汉字	完整拆分	首根	末根
诶	讠 ＋ 厶 ＋ 矢	讠	矢
拚	扌 ＋ 厶 ＋ 廾	扌	廾
馀	饣 ＋ 全字头 ＋ 于 ＋ 八	饣	八
飚	⺇ ＋ 㐅 ＋ 火 ＋ 火 ＋ 火	⺇	火
囧	囗 ＋ 八 ＋ 贝字框	囗	贝字框
瓩	一 ＋ 折 ＋ 乙 ＋ 丶 ＋ 千	一	千
磺	石 ＋ 龷 ＋ 由 ＋ 八	石	八
珮	王 ＋ ⺇ ＋ 一 ＋ 巾	王	巾
後	彳 ＋ 幺 ＋ 夂	彳	夂
矽	石 ＋ 夕	石	夕
嚒	口 ＋ 广 ＋ 木 ＋ 木 ＋ 幺	口	幺
犤	牜 ＋ 罒 ＋ 厶 ＋ ⺝ ＋ 匕 ＋ 匕	牜	匕
甙	弋 ＋ 甘	弋	甘
犦	牜 ＋ 日 ＋ 龷 ＋ 八 ＋ 氺	牜	氺
羨	𦍌 ＋ 氵 ＋ ⺈ ＋ 人	𦍌	人
塽	土 ＋ 大 ＋ 㐅 ＋ 㐅 ＋ 㐅 ＋ 㐅	土	㐅
捱	扌 ＋ 厂 ＋ 土 ＋ 土	扌	土
鲶	鱼 ＋ 今 ＋ 心	鱼	心
堀	土 ＋ 尸 ＋ 凵 ＋ 山	土	山
佧	亻 ＋ ⺊ ＋ 一 ＋ 卜	亻	卜
椥	木 ＋ 矢 ＋ 口	木	口
樫	木 ＋ 臣 ＋ 又 ＋ 土	木	土
硷	石 ＋ 全字头 ＋ 一 ＋ 应字心	石	应字心
伱	亻 ＋ 全字头 ＋ 小	亻	小
丶	丶	丶	丶
崑	山 ＋ 日 ＋ 比左 ＋ 匕	山	匕
谘	讠 ＋ 冫 ＋ ⺈ ＋ 人 ＋ 口	讠	口
镟	钅 ＋ 方 ＋ 𠂉 ＋ 疋	钅	疋
畑	火 ＋ 田	火	田
堺	土 ＋ 田 ＋ 全字头 ＋ 乔字底	土	乔字底
晩	日 ＋ ⺈ ＋ 囗 ＋ 丨 ＋ 儿	日	儿
袊	衤 ＋ 令	衤	令
吥	口 ＋ 不	口	不
砦	止 ＋ 匕 ＋ 石	止	石
輖	車 ＋ ⺆ ＋ 土 ＋ 口	車	口
蠛	虫 ＋ 艹 ＋ 罒 ＋ 戊 ＋ 点	虫	点
舨	舟 ＋ 𠂆 ＋ 又	舟	又
伕	亻 ＋ 夫	亻	夫
髙	亠 ＋ 丨 ＋ 北字旁 ＋ 冂 ＋ 口	亠	口
鎯	全字头 ＋ 金字底 ＋ 丶 ＋ 即字旁 ＋ 阝	全字头	阝
囉	口 ＋ 罒 ＋ 幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 隹	口	隹
箝	⺮ ＋ 扌 ＋ 甘	⺮	甘
