字	缺的音节(小鹤)	该读音字频	夜莺现有音节	若补则全码	例词	该字全部读音(pypinyin)
嗯	eg	9179528	en ng	egtv		ń ńg ňg ǹg ň ǹ
吖	ya	160000	aa	yatl	好吖、吖嗪、吖吖吖、没有吖	yā ā
晟	ug	15923	ig	ugbb	李晟敏、聂宇晟、何晟铭、海晟名苑	chéng shèng jīng
忒	tw	9833	tv	twvv	也忒、忒多、忒大了、忒大	tè tuī tēi
蕃	fj	9570	bo	fjmp	严世蕃、蕃息、李必蕃、蕃衍	fān bō fán pí
桔	ju	7128	jp	juwt	桔子、桔红糕、椎名桔平、桔子水晶	jú jié xié
垃	le	6039	la	leqj	垃圾	lā la
贲	bi	4601	bf	bicj	山火贲、连璧贲临、贲临	bēn bì
孛	bo	3274	bw	bocp	孛儿只斤、孛儿帖、月孛星	bèi bó
裨	pi	2321	bi	pidc	裨将、裨将军、偏裨、裨贩	bì pí
掴	go	1944	gk	goor	掌掴、掴了、掴打	guāi guó
谌	uf	1820	if	uffb	谌利军、谌贻琴、谌家矶	chén
珲	hv	1336	hy	hvre	瑷珲条约、瑷珲、瑷珲条约、瑷珲县	huī hún
媞	ti	1080	ui	tiss	悦芙媞、珂思美媞	shì tí zhī dài
陂	bw	947	pi	bwyg	陂塘、陂池、车陂南、木兰陂	bēi pí bì pō
歙	xi	679	ue	xixx		shè xī xié
粢	ci	540	zi	ciaz	粢饭团、粢饭糕、粢饭	zī cí jì
廆	gv	466	ww	gvcp		guī wěi huì
嬛	hr	405	xr	hrss	甄嬛、甄嬛传、甄嬛传里、琅嬛	huán xuān qióng xuán
聒	gx	382	go	gxxt	聒噪、絮聒、聒聒叫、聒聒	guā guō
六	lu	371	lq	luel	六安、六安市、安徽六安、六幺	liù lù
饨	dy	368	ty	dywb	馄饨、小馄饨、吃馄饨、馄饨面	tún
趵	bo	341	bc	bosa		bào bō zhuó chuò páo
射	ye	328	ue	yept	仆射、左仆射、右仆射、射干	shè yè yì
乘	ug	300	ig	ugnt	大乘、千乘、下乘、一乘	chéng shèng
蛳	ui	261	si	uige	螺蛳粉、螺蛳、酱螺蛳、炒螺蛳	sī
嬷	ma	213	mo	mash	嬷嬷、老嬷嬷、阿嬷、老嬷	mā mó
咥	dp	190	xi	dptg		xì xī dié zhì
栖	xi	177	qi	xiwe	栖息、栖身、羊栖菜、栖栖皇皇	qī xī
食	si	167	ui	siww	箪食壶浆、食母生片、食母生、箪食瓢饮	shí sì yì
镡	xb	141	ij tj	xbuc		chán tán xín
酢	cu	127	zo	cuek	酢浆草、酬酢、酢败、酢浆草科	cù zuò
宛	yr	120	wj	yrjv	大宛、大宛国、宛马	wǎn yuān yǔn yù
佛	bi	100	fo fu	bikk		fú fó bó bì
其	ji	100	qi	jirl	郦食其、郦食其	qí jī jì
内	na	100	nw	nanx	鸡内金、炒鸡内金	nèi nà ruì
匮	gv	100	kv	gvnj	金匮、金匮要略、青龙金匮、金匮石室	kuì guì
咱	za	100	zj	zatd	咱家、多咱	zán zá zǎ zan
哟	yz	100	yo	yzta	哎哟喂、哟哟、我哟、哟嗬	yō yo
桡	nc	100	rc	ncwp	桡动脉	ráo
浅	jm	100	qm	jmav	浅浅、浅浅的	qiǎn jiān
混	gy	100	hy	gyat	搅混	hùn gǔn hún kūn
炔	gv	100	qt	gvpy	乙炔、炔雌醇、炔雌醇片、炔诺酮	guì quē xuè
焘	dc	100	tc	dcpp	张国焘、郭松焘、拓跋焘、陈焘	dào tāo
甑	jk	100	zg	jkla	甑糕	zèng
若	re	100	ro	remt	般若、兰若寺、兰若、般若掌	ruò ré rè rě
蛇	yi	100	ue	yigt	虚与委蛇、委蛇	shé yí tuó chí
解	hd	100	jp xp	hdgv	解州、解州镇	jiě jiè xiè
诘	ji	100	jp	jift	维摩诘、盘诘、诘曲、诘屈聱牙	jí jié
谷	yu	100	gu	yult	吐谷浑	gǔ lù yù
豇	gh	100	jl	ghpt	豇豆、炒豇豆、青椒豇豆、豇豆糕	jiāng
轧	ga	100	va ya	gaeb	牛轧糖、轧差、轧账、轧朋友	yà zhá gá
饸	ho	100	he	howt	饸饹	hé
饹	lo	100	ge le	lowq	饸饹	le gē
涴	wo	23	yr	woav	涴市镇	wò yuān wǎn
栟	bk	2	bf	bkwm		bēn bīng
椑	pi	2	bw	piwc		bēi pí bì pái
冯	pk	1	fg	pkav	暴虎冯河、冯虚御风、暴虎冯河、冯河乡	féng píng
凹	wa	1	ao	walp	贾平凹	āo wā
喔	oo	1	wo	ootg	是喔、喔嚄、喔唷、喔哟	ō wō wū o ò
嘞	le	1	lw	letp	嘞嘞、穷嘞嘞、瞎嘞嘞、少嘞嘞	lei lē
噌	ig	1	cg	igtb		cēng chēng
屯	vy	1	ty	vypb	水雷屯、屯蹶否塞、殷殷屯屯、屯剥	tún zhūn
崴	ww	1	wd	wwhs	海参崴	wǎi wēi wěi
忒	te	1	tv	tevv	忒修斯、忒儿、忒伊亚、忒弥斯	tè tuī tēi
挲	ua	1	sa so	uaao		sā suō shā
浍	kk	1	hv	kkah	沟浍皆盈	huì kuài
焯	vo	1	ic	vopc	王焯冉、梁焯满、李焯雄	chāo zhuō zhuó chuò
稽	qi	1	ji	qinb	稽首、稽首再拜、拜手稽首、稽颡	jī qǐ
艴	fu	1	bo	fukv	艴然不悦、艴然	fú bó pèi
苕	tn	1	uc	tnmt	许兰苕、苕帚、东苕溪、苇苕系巢	sháo tiáo
镐	hc	1	gc	hcut	镐京、镐京村	gǎo hào
陂	po	1	pi	poyg	陂陀	bēi pí bì pō
隽	jy	1	jr	jybs	隽语、得隽	juàn jùn
