a=1,也
a=2,要
a=3,一个
a=4,也是
aa=1,啊
aa=2,阿
aa=3,也要
aa=4,啊啊
aaa=1,啊！
aaa=2,啊啊啊
aaaa=1,啊啊啊啊
aaae=1,啊！”
aaba=1,阿爸
aabc=1,阿宝
aabi=1,阿鼻
aabk=1,阿炳
aabk=2,阿冰
aabo=1,阿伯
aabq=1,傲岸不群
aabx=1,皑皑白雪
aad=1,暗暗地
aad=2,矮矮的
aadb=1,嗷嗷待哺
aadd=1,安安定定
aadi=1,阿迪
aadp=1,阿爹
aadt=1,暗暗点头
aadz=1,阿斗
aae=1,阿
aaek=1,阿
aaff=1,安安分分
aafm=1,哀哀父母
aafu=1,阿福
aage=1,阿哥
aagj=1,阿甘
aags=1,阿公
aagu=1,阿姑
aagx=1,暗暗高兴
aagz=1,阿狗
aaha=1,啊哈
aahl=1,阿黄
aahs=1,阿訇
aahw=1,阿黑
aaig=1,阿城
aaij=1,暗暗吃惊
aaiq=1,暗暗称奇
aaj=1,锕
aaj=2,嗷嗷叫
aajb=1,阿金
aajj=1,安安静静
aajk=1,锕
aajn=1,阿娇
aajp=1,阿姐
aajq=1,阿舅
aak=1,吖
aake=1,阿轲
aakk=1,啊
aakw=1,嗄
aakx=1,阿夸
aaky=1,吖
aala=1,阿拉
aalh=1,阿郎
aali=1,阿里
aali=2,阿狸
aalp=1,啊咧
aals=1,阿龙
aalw=1,啊嘞
aama=1,阿妈
aamf=1,阿门
aamg=1,阿蒙
aamj=1,阿曼
aamj=2,阿瞒
aamr=1,阿曼
aamw=1,阿妹
aank=1,阿宁
aanl=1,阿娘
aano=1,阿诺
aao=1,腌
aaod=1,腌
aaoo=1,啊哦
aapf=1,暗暗佩服
aapm=1,阿片
aapn=1,阿飘
aapo=1,阿婆
aapp=1,矮矮胖胖
aaps=1,阿婆
aapw=1,啊呸
aaqd=1,暗暗祈祷
aaqk=1,阿青
aaql=1,阿强
aaqq=1,安安全全
aaqx=1,暗暗庆幸
aas=1,啊……
aasc=1,阿嫂
aasc=2,暗暗思忖
aase=1,啊……”
aase=2,阿瑟
aash=1,阿桑
aasj=1,阿三
aath=1,阿汤
aati=1,阿嚏
aati=2,啊嚏
aatt=1,凹凹凸凸
aauf=1,阿婶
aauk=1,阿衰
aauu=1,阿叔
aauu=2,矮矮实实
aave=1,啊这
aavf=1,阿珍
aavu=1,阿朱
aaw=1,啊？
aawe=1,啊？”
aawu=1,啊呜
aaww=1,安安稳稳
aaww=2,阿伟
aaxs=1,阿兄
aaxx=1,安安心心
aaya=1,啊呀
aayb=1,阿银
aaye=1,阿爷
aayi=1,阿姨
aayj=1,哀哀欲绝
aayo=1,啊哟
aayy=1,安安逸逸
aaza=1,腌臜
aazi=1,阿梓
aazi=2,阿紫
aazu=1,阿祖
ab=1,也不
ab=2,要不
ab=3,要把
ab=4,也被
aba=1,爱不爱
aba=2,要不要
abab=1,阿巴阿巴
abaq=1,安不安全
abb=1,也不必
abb=2,也并不
abbb=1,哀兵必败
abbd=1,按兵不动
abbu=1,哀兵必胜
abc=1,也不错
abcu=1,安保措施
abd=1,也不得
abd=2,也不懂
abd=3,也不多
abd=4,也不对
abdg=1,安邦定国
abdi=1,安步当车
abdl=1,熬不动了
abdy=1,阿鼻地狱
abf=1,也并非
abf=2,也不乏
abf=3,也不妨
abg=1,也不过
abg=2,熬不过
abg=3,拗不过
abgq=1,熬不过去
abgu=1,也不过是
abh=1,也不好
abh=2,也不会
abhm=1,奥本海默
abhs=1,艾宾浩斯
abhx=1,艾宾浩斯记忆曲线
abhz=1,阿布哈兹
abit=1,熬不出头
abj=1,也比较
abj=2,也不禁
abj=3,也毕竟
abj=4,矮半截
abjb=1,按部就班
abjd=1,也不见得
abjj=1,也不仅仅
abjs=1,也不仅是
abjs=2,安倍晋三
abju=1,也不仅是
abkn=1,也不可能
abl=1,也本来
abl=2,按比例
abl=3,阿波罗
abl=4,埃博拉
ablk=1,爱别离苦
ablm=1,鞍不离马
ablw=1,也不例外
ably=1,阿波罗登月
abm=1,奥巴马
abn=1,也不能
abn=2,要不你
abn=3,也不难
abqi=1,也不清楚
abr=1,要不然
abr=2,要不让
abr=3,也不如
abru=1,爱不忍释
abrz=1,爱兵如子
abs=1,也不算
abs=2,也不是
abt=1,也不太
abu=1,也不是
abu=2,要不是
abuu=1,爱不释手
abv=1,也不知
abv=2,碍不着
abvb=1,阿布扎比
abvb=2,挨不着边
abvd=1,也不知道
abvg=1,安邦治国
abvl=1,俺不中嘞
abww=1,安不忘危
abx=1,也必须
abx=2,也不行
abx=3,也不像
abxh=1,敖包相会
aby=1,也不要
aby=2,也不用
aby=3,也不愿
abyd=1,也不一定
abz=1,也不在
abz=2,也不再
abz=3,也不咋
ac=1,也才
ac=2,也曾
ac=3,要从
ac=4,也从
acb=1,也从不
ach=1,也才会
ach=2,也曾会
acl=1,也从来
acl=2,按错了
acq=1,矮矬穷
acrk=1,爱才若渴
acrm=1,爱财如命
acuj=1,暗藏杀机
acxj=1,暗藏玄机
acy=1,也才有
acy=2,也曾有
ad=1,也得
ad=2,也都
ad=3,要到
ad=4,也对
adb=1,也代表
adb=2,爱丁堡
adbl=1,爱答不理
add=1,矮墩墩
addd=1,啊对对对
adds=1,阿迪达斯
ade=1,安道尔
adf=1,阿道夫
adf=2,安多酚
adg=1,矮冬瓜
adgy=1,爱的供养
adh=1,爱德华
adhe=1,艾迪霍尔
adhx=1,安定和谐
adic=1,暗渡陈仓
adic=2,暗度陈仓
adj=1,矮大紧
adl=1,按道理
adl=2,暗地里
adl=3,奥地利
adlj=1,按道理讲
adlj=2,按道理来讲
adlt=1,熬到了头
adlu=1,按道理说
adlu=2,按道理来说
adlx=1,案牍劳形
adly=1,澳大利亚
adna=1,安东尼奥
adq=1,安定区
adrx=1,安定人心
ads=1,安德森
adsu=1,安第斯山
adt=1,熬到头
adtj=1,安定团结
adu=1,爱迪生
adue=1,挨冻受饿
adum=1,挨打受骂
aduu=1,爱的实验室
aduz=1,奥迪双钻
adv=1,也带着
adv=2,熬得住
adv=3,挨得着
advl=1,案牍之劳
adwg=1,黯淡无光
adwg=2,暗淡无光
adwn=1,安度晚年
adys=1,爱得要死
adyx=1,安定有序
ae=1,阿姨
ae=2,要一
ae=3,爱意
ae=4,①
aeb=1,也一般
aebs=1,阿尔卑斯
aebt=1,阿尔伯特
aebu=1,哀而不伤
aeby=1,阿尔巴尼亚
aecb=1,阿尔茨海默病
aed=1,也一点
aedh=1,艾尔登法环
aeds=1,阿尔都塞
aef=1,也一副
aef=2,阿尔法
aef=3,α
