啊	a_
！	a2
阿	aa_
啊啊啊	aaa_
啊啊啊啊	aaaa
啊！”	aaae
阿爸	aaba
阿宝	aabc
阿炳	aabk
阿伯	aabo
傲岸不群	aabq
皑皑白雪	aabx
暗暗地	aad_
嗷嗷待哺	aadb
安安定定	aadd
阿迪	aadi
阿爹	aadp
暗暗点头	aadt
阿斗	aadz
安安分分	aaff
哀哀父母	aafm
阿福	aafu
阿哥	aage
阿公	aags
暗暗高兴	aagx
啊哈	aaha
阿訇	aahs
暗暗吃惊	aaij
暗暗称奇	aaiq
嗷嗷叫	aaj_
阿金	aajb
安安静静	aajj
阿娇	aajn
阿姐	aajp
阿拉	aala
阿里	aali
阿妈	aama
阿门	aamf
阿蒙	aamg
阿曼	aamj
阿妹	aamw
阿诺	aano
啊哦	aaoo
暗暗佩服	aapf
阿片	aapm
阿婆	aapo
矮矮胖胖	aapp
暗暗祈祷	aaqd
阿强	aaql
安安全全	aaqq
暗暗庆幸	aaqx
阿嫂	aasc
啊……”	aase
阿三	aasj
吖	aat_
阿嚏	aati
锕	aau_
阿婶	aauf
阿衰	aauk
矮矮实实	aauu
阿朱	aavu
啊？”	aawe
桛	aawg
阿伟	aaww
安安心心	aaxx
啊呀	aaya
阿姨	ay_
哀哀欲绝	aayj
啊哟	aayo
安安逸逸	aayy
腌	aaz_
腌臜	aaza
阿紫	aazi
爱不爱	aba_
阿巴阿巴	abab
安不安全	abaq
哀兵必败	abbb
按兵不动	abbd
哀兵必胜	abbu
安保措施	abcu
安邦定国	abdg
安步当车	abdi
熬不动了	abdl
阿鼻地狱	abdy
熬不过	abg_
熬不过去	abgq
奥本海默	abhm
艾宾浩斯	abhs
艾宾浩斯记忆曲线	abhx
熬不出头	abit
按部就班	abjb
也不仅是	abjs
按比例	abl_
鞍不离马	ablm
阿波罗登月	ably
奥巴马	abm_
爱不忍释	abru
爱兵如子	abrz
爱不释手	abuu
碍不着	abv_
挨不着边	abvb
安邦治国	abvg
安不忘危	abww
敖包相会	abxh
按错了	acl_
矮矬穷	acq_
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
黯淡	ad_
爱丁堡	adb_
爱答不理	adbl
矮墩墩	add_
阿迪达斯	adds
安道尔	ade_
阿道夫	adf_
矮冬瓜	adg_
爱的供养	adgy
爱德华	adh_
艾迪霍尔	adhe
安定和谐	adhx
暗渡陈仓	adic
矮大紧	adj_
暗地里	adl_
按道理讲	adlj
熬到了头	adlt
按道理说	adlu
案牍劳形	adlx
澳大利亚	adly
安东尼奥	adna
安定区	adq_
安定人心	adrx
安德森	ads_
安第斯山	adsu
熬到头	adt_
安定团结	adtj
爱迪生	adu_
挨冻受饿	adue
挨打受骂	adum
爱的实验室	aduu
奥迪双钻	aduz
