码	守位的字	删掉的词
anzs	胺	案宗
ball	八	拔凉
balz	霸	八楼、笆篓
bcmw	葆	胞妹
bhwl	榜	拨号网络
bibb	弼	保持不变
bikc	俾	必考
bitc	哔	笔套
bitt	毙、匕	不成体统
bitv	毖	逼退
bjlj	颁	斑斓、比较了解
bkwl	槟	碧空万里
bkwx	柄	不开玩笑、半开玩笑
bmbm	扁	便便
bohd	箔	渤海
boua	钹	搏杀
bpld	鳖	别来
bwqv	惫	博闻强识
bwxt	碚	被削
cjvh	惭	残障
dcgh	岛	到岗、到港
ddkd	黛	代开、得到肯定
dhjx	宕	当家、挡驾
djbp	旦、眈	但别、斗酒百篇
dkbb	鼎	大可不必
dmcj	颠、癫	点餐
dmnp	甸	多米诺骨牌
dmrs	靛	电容
dong	剁	多能
doth	咄	多糖
duny	牍	都是那样、迪士尼乐园
fjmi	蘩	繁密
fjmp	蕃、藩	非镜面屏
fueq	覆	飞逝而去
fujs	赋	愤世嫉俗
fukq	俯	逢山开路遇水搭桥、逢山开路，遇水搭桥
fulu	釜	俘虏、附录
fusg	赴	粉身碎骨
fuwq	敷	防身武器
fuyq	附	俯拾仰取
fuzy	肤	发生作用
fwbn	扉	飞镖、非标
fwty	吠	肥臀
ggcj	赓	更惨
grjt	冠	冠绝、官爵、固若金汤
gstj	贡	公摊、公司团建
gucj	顾	孤残
gugh	觚	各说各话
guvg	鹄	古筝、隔世之感
hctc	嗥	嚎啕、号啕
hexj	颌	赫尔辛基
hjbn	函	好久不见甚是想念
hjqj	颔	环境清洁
hjvc	悍	汉朝
hubv	扈	还说不准
hugz	蝴	还是个孩子
hutn	唬	互调
huvg	鹄	户政
hxvc	骅	花招
ictz	嘲	潮头
igbq	瞠	长跪不起
iibf	弛	超出部分
ijfa	谗	阐发
iugl	蜍	城市管理
iuwv	杵	成熟稳重
iyrg	蠢	耻言人过
jbhh	斤	金碧辉煌、绝不后悔
jbrj	觐	浸染、尽然
jbrr	堇	技不如人、绝不容忍
jbue	锦	金蛇、劲射
jibq	屐	纠缠不清、荆钗布裙
jicv	戟	集萃、集粹
jieg	剂	疾驰而过
jihj	觊	极寒、饥寒
jihl	箕	饥荒、交叉火力
jiix	缉	经常出现
jijq	寂	几丘、急救、祭酒
jiqs	圾	技穷
jise	姬	基色
jisy	即	旧仇宿怨
jitn	叽	几条
jivl	骥	集装、检查治疗
jiyy	棘	集运、积云
jkby	景	缄口不言、久看不厌
jkmm	井	镜面
jkvy	憬	精准
jlbv	犟	纪录保持者
