字音频序	字	读音	最短码	最短码候选位	全码	全码候选位	补三简
1	我	wo	w	1	wofy	1	
2	的	de	d	1	deyz	1	
3	你	ni	n	1	niox	1	
4	是	shi	u	1	uiqb	1	
5	了	le	l	1	lett	1	
6	不	bu	b	1	buhh	1	
7	们	men	mf	1	mfop	1	mfo
8	这	zhe	ve	1	vefv	1	vef
9	一	yi	yi	1	yihh	1	
10	么	me	me	1	mefd	1	mef
11	他	ta	t	1	taoy	1	
12	在	zai	z	1	zdlg	1	
13	有	you	y	1	yzlp	1	
14	个	ge	g	1	gexs	1	
15	好	hao	hc	1	hcft	1	
16	来	lai	ld	1	ldxx	1	
17	人	ren	r	1	rfxx	1	
18	那	na	na	1	naal	1	naa
19	要	yao	yc	1	ycaf	1	yca
20	会	hui	hv	1	hvxd	1	
21	就	jiu	j	1	jqfk	1	
22	什	shen	uf	1	ufol	1	
23	没	mei	m	1	mwzt	1	
24	到	dao	dc	1	dcqa	1	
25	说	shuo	uo	1	uobt	1	uob
26	吗	ma	ma	1	manv	2	
27	为	wei	ww	1	wwqq	1	
28	想	xiang	xl	1	xlwv	1	
29	能	neng	ng	1	ngda	1	ngd
30	上	shang	uh	1	uhch	1	uhc
31	去	qu	q	1	qugd	1	
32	她	ta	ta	1	tafy	1	taf
33	道	dao	dcl	1	dclv	1	
34	很	hen	hf	1	hfoe	1	hfo
35	看	kan	k	1	kjxq	1	
36	可	ke	ke	1	kett	3	
37	知	zhi	vi	1	vitn	1	
38	过	guo	go	1	gotv	1	
39	吧	ba	ba	1	banq	1	
40	得	de	de	1	deot	1	
41	对	dui	dv	1	dvpt	1	
42	还	hai	hd	1	hdhv	1	hdh
43	里	li	li	1	litt	2	
44	以	yi	yiu	1	yiuu	1	
45	事	shi	ui	1	uihr	1	
46	子	zi	zi	1	zitt	2	
47	都	dou	dz	1	dzll	1	
48	时	shi	uiq	1	uiqt	1	
49	生	sheng	ug	1	ugtt	1	
50	样	yang	yh	1	yhwk	1	
51	也	ye	ye	1	yeyy	1	yey
52	和	he	h	1	hekn	1	
53	下	xia	xx	1	xxhc	1	
54	真	zhen	vf	1	vfll	1	
55	现	xian	xm	1	xmtt	1	
56	做	zuo	zo	1	zoop	1	
57	大	da	da	1	daxx	1	
58	啊	a	a	1	aant	1	
59	怎	zen	zf	1	zfcv	1	zfc
60	出	chu	iu	1	iups	1	
61	点	dian	dm	1	dmct	3	
62	起	qi	qi	1	qibq	1	
63	天	tian	tm	1	tmxx	1	
64	开	kai	kd	1	kdhe	1	kdh
65	把	ba	bar	1	barq	1	
66	让	rang	rh	1	rhbh	1	rhb
67	但	dan	dj	1	djoh	1	
68	谢	xie	xp	1	xpbt	1	
69	给	gei	gw	1	gwsn	1	gws
70	只	zhi	vin	1	vinl	1	
71	些	xie	xpb	1	xpbh	1	
72	如	ru	ru	1	rufn	1	
73	家	jia	jx	1	jxdi	1	jxd
74	后	hou	hz	1	hzfn	1	
75	着	zhe	vex	1	vexq	1	
76	儿	er	er	1	ertt	1	
77	意	yi	yix	1	yixv	1	
78	多	duo	do	1	douu	1	dou
79	别	bie	bp	1	bpna	1	bpn
80	所	suo	s	1	soep	2	
81	话	hua	hx	1	hxbn	1	hxb
82	自	zi	ziy	1	ziyy	1	
83	小	xiao	x	1	xnxx	1	
84	回	hui	hvu	1	hvun	1	
85	然	ran	rj	1	rjut	1	rju
86	果	guo	got	1	gott	1	
87	发	fa	f	1	faaz	1	
88	心	xin	xb	1	xbvv	1	
89	走	zou	zz	1	zzbb	1	
90	见	jian	jm	1	jmtt	1	
91	定	ding	dk	1	dkdb	1	dkd
92	听	ting	tk	1	tknp	1	tkn
93	太	tai	td	1	tdxx	1	
94	该	gai	gd	1	gdbr	1	gdb
95	经	jing	jk	1	jksa	1	jks
96	当	dang	dh	1	dhxr	1	dhx
97	打	da	dar	1	dart	1	
98	用	yong	ys	1	yspp	1	
99	再	zai	zd	1	zdhg	1	zdh
100	地	di	di	1	digy	1	
101	因	yin	yb	1	ybux	1	
102	觉	jue	jt	1	jtdt	1	jtd
103	女	nv	nv	1	nvff	1	nvf
104	呢	ne	ne	1	nena	1	
105	告	gao	gc	1	gcvn	1	
106	最	zui	zv	1	zvqp	1	zvq
107	手	shou	uz	1	uzrr	1	
108	前	qian	qm	1	qmla	2	
109	找	zhao	vc	1	vcry	1	
110	快	kuai	kk	1	kkvx	1	kkv
111	而	er	e	1	eruu	1	
112	先	xian	xmv	1	xmvt	1	
113	像	xiang	xlo	1	xlom	1	
114	等	deng	dg	1	dgmt	1	dgm
115	死	si	si	1	siua	1	
116	妈	ma	maf	1	mafv	1	
117	被	bei	bw	1	bwjv	1	
118	从	cong	cs	1	csxx	1	
119	中	zhong	v	1	vsns	1	
120	明	ming	mk	1	mkqp	1	
121	情	qing	qk	1	qkvp	1	qkv
122	作	zuo	zoo	1	zooc	1	
123	跟	gen	gf	1	gfbe	1	gfb
124	面	mian	mm	1	mmuu	1	
125	行	xing	xk	1	xkoo	1	xko
126	诉	su	su	1	subp	1	
127	已	yi	yiq	1	yiqq	2	
128	爱	ai	ai	1	aivp	1	
129	之	zhi	vim	1	vimm	1	
130	问	wen	wf	1	wfpn	1	
131	错	cuo	co	1	cokq	1	
132	孩	hai	hdt	1	hdtr	1	
133	它	ta	tad	1	tada	1	
134	成	cheng	ig	1	igya	1	
135	感	gan	gj	1	gjyv	1	gjy
136	干	gan	gjl	1	gjll	1	
137	法	fa	fa	1	fazd	1	faz
138	电	dian	dmt	1	dmtt	1	
139	间	jian	jmp	1	jmpq	1	
140	哪	na	nan	1	nanl	1	
141	己	ji	ji	1	jiqq	1	
142	候	hou	hzo	1	hzot	2	
143	次	ci	ci	1	cizx	1	
144	信	xin	xbo	1	xbob	1	
145	欢	huan	hr	1	hrpx	1	
146	西	xi	xi	1	xiaa	1	
147	正	zheng	vg	1	vghb	1	
148	实	shi	uid	1	uidx	1	
149	进	jin	jb	1	jbev	1	
150	关	guan	gr	1	grlx	1	
151	车	che	ie	1	iejj	1	iej
152	年	nian	nm	1	nmos	1	nmo
153	喜	xi	xig	1	xign	1	
154	认	ren	rf	1	rfbx	1	
155	爸	ba	bal	1	balq	1	
156	方	fang	fh	1	fhii	1	
157	哦	o	o	1	oony	1	
158	应	ying	yk	1	ykcx	1	
159	老	lao	lc	1	lcla	1	lcl
160	帮	bang	bh	1	bhhy	1	
161	无	wu	wu	1	wuxx	1	
162	晚	wan	wj	1	wjqm	1	wjq
163	比	bi	bi	1	biaa	4	
164	动	dong	ds	1	dshq	1	
