字音频序	字	读音	最短码	最短码候选位	全码	全码候选位	补三简
1	我	wo	w	1	wofv	1	
2	的	de	d	1	dejp	1	
3	你	ni	n	1	nico	1	
4	是	shi	u	1	uifq	1	
5	了	le	l	1	lett	1	
6	不	bu	b	1	bull	1	
7	们	men	mf	1	mfcw	1	mfc
8	这	zhe	ve	1	vedy	1	ved
9	一	yi	yi	1	yill	1	
10	么	me	me	1	mefx	1	mef
11	他	ta	t	1	tacl	1	
12	在	zai	z	1	zdtg	1	
13	有	you	y	1	yztt	1	
14	个	ge	g	1	gebl	1	
15	好	hao	hc	1	hcwt	1	hcw
16	来	lai	ld	1	ldvv	1	
17	人	ren	r	1	rfbb	1	
18	那	na	na	1	natk	1	
19	要	yao	yc	1	ycdw	1	ycd
20	会	hui	hv	1	hvbx	1	
21	就	jiu	j	1	jqdv	1	
22	什	shen	uf	1	ufct	2	
23	没	mei	m	1	mwpp	1	
24	到	dao	dc	1	dcpr	1	
25	说	shuo	uo	1	uoot	1	uoo
26	吗	ma	ma	1	mazk	2	
27	为	wei	ww	1	wwpp	2	
28	想	xiang	xl	1	xler	1	
29	能	neng	ng	1	ngxp	1	ngx
30	上	shang	uh	1	uhll	1	uhl
31	去	qu	q	1	qugx	1	
32	她	ta	ta	1	tawl	1	
33	道	dao	dcs	1	dcsy	1	
34	很	hen	hf	1	hfct	1	hfc
35	看	kan	k	1	kjjf	1	
36	可	ke	ke	1	keqq	2	
37	知	zhi	vi	1	virz	1	
38	过	guo	go	1	goqy	1	
39	吧	ba	ba	1	bazx	1	
40	得	de	de	1	decq	1	
41	对	dui	dv	1	dvxq	1	
42	还	hai	hd	1	hdly	1	hdl
43	里	li	li	1	liff	1	
44	以	yi	yil	1	yill	2	
45	事	shi	ui	1	uile	1	
46	子	zi	zi	1	zitt	2	
47	都	dou	dz	1	dzhk	1	
48	时	shi	uif	1	uifq	2	
49	生	sheng	ug	1	ughh	1	
50	样	yang	yh	1	yhea	1	
51	也	ye	ye	1	yell	1	
52	和	he	h	1	heiz	1	
53	下	xia	xx	1	xxll	1	
54	真	zhen	vf	1	vfts	1	
55	现	xian	xm	1	xmxy	1	xmx
56	做	zuo	zo	1	zocx	1	
57	大	da	da	1	daoo	1	
58	啊	a	a	1	aazq	1	
59	怎	zen	zf	1	zflr	1	zfl
60	出	chu	iu	1	iuwy	1	
61	点	dian	dm	1	dmlq	1	dml
62	起	qi	qi	1	qiqx	2	
63	天	tian	tm	1	tmoo	1	
64	开	kai	kd	1	kdla	1	kdl
65	把	ba	ban	1	banx	2	
66	让	rang	rh	1	rhol	1	rho
67	但	dan	dj	1	djcl	1	
68	谢	xie	xp	1	xpoq	1	
69	给	gei	gw	1	gwsz	1	gws
70	只	zhi	viz	1	vizs	1	
71	些	xie	xpq	1	xpql	2	
72	如	ru	ru	1	ruwz	1	
73	家	jia	jx	1	jxib	1	
74	后	hou	hz	1	hzfz	1	
75	着	zhe	vej	1	vejf	1	
76	儿	er	er	1	ertt	1	ert
77	意	yi	yij	1	yijr	2	
78	多	duo	do	1	douu	1	dou
79	别	bie	bp	1	bpzr	1	bpz
80	所	suo	s	1	soan	1	
81	话	hua	hx	1	hxoz	1	hxo
82	自	zi	zij	1	zijj	1	
83	小	xiao	x	1	xnoo	1	
84	回	hui	hvu	1	hvuz	1	
85	然	ran	rj	1	rjuq	1	rju
86	果	guo	gof	1	goff	1	
87	发	fa	f	1	fatp	1	
88	心	xin	xb	1	xbrr	1	
89	走	zou	zz	1	zzqq	1	zzq
90	见	jian	jm	1	jmyy	1	
91	定	ding	dk	1	dkiq	1	dki
92	听	ting	tk	1	tkzn	1	tkz
93	太	tai	td	1	tdoo	1	
94	该	gai	gd	1	gdon	1	gdo
95	经	jing	jk	1	jksp	1	jks
96	当	dang	dh	1	dhoe	1	
97	打	da	dan	1	danq	1	
98	用	yong	ys	1	ystt	1	
99	再	zai	zd	1	zdlg	1	
100	地	di	di	1	digl	1	
101	因	yin	yb	1	ybuo	1	
102	觉	jue	jt	1	jtiy	1	jti
103	女	nv	nv	1	nvww	1	nvw
104	呢	ne	ne	1	nezp	1	
105	告	gao	gc	1	gckz	1	
106	最	zui	zv	1	zvfx	1	zvf
107	手	shou	uz	1	uznn	1	
108	前	qian	qm	1	qmsr	1	
109	找	zhao	vc	1	vcnv	1	
110	快	kuai	kk	1	kkro	1	kkr
111	而	er	e	1	erii	1	
112	先	xian	xmk	1	xmkt	2	
113	像	xiang	xlc	1	xlcn	1	
114	等	deng	dg	1	dgmq	1	dgm
115	死	si	si	1	siup	1	
116	妈	ma	maw	1	mawk	1	
117	被	bei	bw	1	bwsd	1	
118	从	cong	cs	1	csbb	1	
119	中	zhong	v	1	vszl	1	
120	明	ming	mk	1	mkft	1	
121	情	qing	qk	1	qkrt	1	qkr
122	作	zuo	zoc	1	zocl	1	
123	跟	gen	gf	1	gfqt	1	gfq
124	面	mian	mm	1	mmii	1	
125	行	xing	xk	1	xkcc	1	xkc
126	诉	su	su	1	suon	1	
127	已	yi	yix	1	yixx	1	
128	爱	ai	ai	1	aijx	1	
129	之	zhi	vil	1	vill	1	
130	问	wen	wf	1	wfwz	1	
131	错	cuo	co	1	covf	1	
132	孩	hai	hdt	1	hdtn	2	
133	它	ta	tai	1	taip	1	
134	成	cheng	ig	1	igvt	2	
135	感	gan	gj	1	gjvr	1	gjv
136	干	gan	gjt	1	gjtt	2	
137	法	fa	fa	1	fapx	1	fap
138	电	dian	dmf	1	dmff	1	
139	间	jian	jmw	1	jmwf	1	
140	哪	na	naz	1	nazk	1	
141	己	ji	ji	1	jixx	1	
142	候	hou	hzc	1	hzcr	2	
143	次	ci	ci	1	cipb	1	
144	信	xin	xbc	1	xbco	1	
145	欢	huan	hr	1	hrxb	1	
146	西	xi	xi	1	xidd	1	
147	正	zheng	vg	1	vglq	1	
148	实	shi	uii	1	uiio	1	
149	进	jin	jb	1	jbay	1	
150	关	guan	gr	1	grso	1	
151	车	che	ie	1	iemm	1	iem
152	年	nian	nm	1	nmcl	1	nmc
153	喜	xi	xig	1	xigz	1	
154	认	ren	rf	1	rfob	1	
155	爸	ba	bas	1	basx	1	
156	方	fang	fh	1	fhbb	1	
157	哦	o	o	1	oozv	1	
158	应	ying	yk	1	ykho	1	
159	老	lao	lc	1	lchp	1	
160	帮	bang	bh	1	bhlx	1	
161	无	wu	wu	1	wuoo	3	
162	晚	wan	wj	1	wjfn	1	
163	比	bi	bi	1	bipp	4	
164	动	dong	ds	1	dslp	1	dsl
165	头	tou	tz	1	tzpo	1	tzp
166	机	ji	jie	1	jiew	1	
167	分	fen	ff	1	ffsr	2	
168	相	xiang	xle	1	xlef	1	
169	斯	si	siu	1	siun	1	
170	全	quan	qr	1	qrbx	1	qrb
171	杀	sha	ua	1	uavo	2	
172	需	xu	xu	1	xuii	1	xui
173	放	fang	fhb	1	fhbx	1	
174	常	chang	ih	1	ihix	1	
175	直	zhi	vit	1	vitt	1	
176	才	cai	c	1	cdqq	1	
177	于	yu	yu	1	yutt	2	
178	克	ke	keq	1	keqt	1	
179	带	dai	dd	1	ddax	1	dda
180	美	mei	mw	1	mwjo	1	mwj
181	今	jin	jbs	1	jbss	2	
182	力	li	lip	1	lipp	3	
183	工	gong	gs	1	gspp	1	
184	许	xu	xuo	1	xuok	1	
185	东	dong	dsm	1	dsmm	1	
186	同	tong	ts	1	tswz	1	
187	亲	qin	qb	1	qbeo	1	
188	种	zhong	vs	1	vsil	1	
189	特	te	te	1	tekq	1	tek
190	者	zhe	veh	1	vehf	1	
191	学	xue	xt	1	xtit	1	
192	嘿	hei	hw	1	hwzj	1	hwz
193	白	bai	bd	1	bdjj	1	
194	名	ming	mku	1	mkuz	1	
195	叫	jiao	jn	1	jnzl	1	
196	本	ben	bf	1	bfel	1	
197	第	di	dim	1	dimx	1	
198	理	li	lix	1	lixf	1	
199	国	guo	gou	1	goux	1	
200	友	you	yz	1	yztx	1	
201	安	an	an	1	aniw	1	
202	两	liang	ll	1	llii	1	lli
203	高	gao	gcd	1	gcdz	1	
204	请	qing	qko	1	qkot	2	
205	保	bao	bc	1	bcce	1	
206	公	gong	gss	1	gssx	1	
207	记	ji	jio	1	jiox	1	
208	非	fei	fw	1	fwrr	3	
209	身	shen	ufl	1	ufll	1	
210	受	shou	uzj	1	uzjx	1	
211	住	zhu	vu	1	vucg	1	
212	活	huo	ho	1	hopz	1	
213	何	he	he	1	hecq	1	hec
214	题	ti	ti	1	tify	1	
215	完	wan	wji	1	wjit	1	
216	加	jia	jxp	1	jxpz	2	
217	伙	huo	hoc	1	hocq	1	
218	接	jie	jp	1	jpnw	1	
219	拿	na	nab	1	nabn	1	
220	望	wang	wh	1	whdx	1	
221	解	jie	jpr	1	jprk	1	
222	其	qi	qiu	1	qius	2	
223	离	li	lid	1	lidp	2	
224	谈	tan	tj	1	tjoq	1	
225	又	you	yzx	1	yzxx	1	
226	了	liao	ln	1	lntt	1	
227	新	xin	xbe	1	xben	1	
228	更	geng	gg	1	gglv	1	ggl
229	钱	qian	qmv	1	qmvv	1	
230	场	chang	ihg	1	ihgn	1	
231	嗯	ng	ngz	1	ngzr	1	
232	部	bu	bu	1	buek	1	
233	计	ji	jiot	1	jiot	1	
234	任	ren	rfc	1	rfcg	1	
235	确	que	qt	1	qtbt	1	
236	思	si	sif	1	sifr	1	
237	吃	chi	i	1	iizt	1	
238	始	shi	uiw	1	uiwz	1	
239	结	jie	jps	1	jpsz	1	
240	马	ma	mak	1	makk	1	
241	朋	peng	pg	1	pgtt	2	
242	警	jing	jka	1	jkao	2	
243	尔	er	err	1	erro	1	
244	士	shi	uig	1	uigg	1	
245	外	wai	wd	1	wdul	1	wdu
246	件	jian	jmc	1	jmck	2	
247	难	nan	nj	1	njxy	1	njx
248	位	wei	wwc	1	wwce	1	
249	表	biao	bn	1	bnxm	1	
250	刚	gang	gh	1	ghwr	1	
251	边	bian	bm	1	bmpy	1	
252	或	huo	hov	1	hovl	1	
253	将	jiang	jl	1	jlrq	1	
254	希	xi	xiv	1	xivx	1	
255	男	nan	njf	1	njfp	1	
256	准	zhun	vy	1	vypy	1	vyp
257	变	bian	bmz	1	bmzx	1	
258	利	li	lif	1	liff	2	
259	证	zheng	vgo	1	vgoq	1	
260	物	wu	wuk	1	wukn	1	
261	总	zong	zs	1	zssr	1	
262	噢	o	oo	1	oozo	1	ooz
263	员	yuan	yr	1	yrzy	1	yrz
264	系	xi	xif	1	xifs	1	
265	玩	wan	wjx	1	wjxt	1	
266	管	guan	grm	1	grme	1	
267	几	ji	jiw	1	jiww	1	
268	处	chu	iux	1	iuxl	1	
269	办	ban	bj	1	bjpp	1	
270	主	zhu	vud	1	vudg	1	
271	气	qi	qib	1	qibb	2	
272	每	mei	mwc	1	mwcu	1	
273	查	cha	ia	1	iael	1	
274	少	shao	uc	1	ucof	1	
275	失	shi	uir	1	uirr	2	
276	此	ci	ciq	1	ciqp	2	
277	性	xing	xkr	1	xkrh	2	
278	切	qie	qp	1	qppr	1	qpp
279	必	bi	bir	1	birr	1	
280	备	bei	bwx	1	bwxf	1	
281	算	suan	sr	1	srma	1	srm
282	合	he	heb	1	hebz	1	
283	拉	la	la	1	lane	1	
284	队	dui	dvk	1	dvkb	1	
285	试	shi	uio	1	uiop	1	
286	抱	bao	bcn	1	bcnx	3	
287	医	yi	yiw	1	yiwr	2	
288	体	ti	tic	1	ticl	1	
289	通	tong	tsx	1	tsxy	1	
290	并	bing	bk	1	bksa	1	bks
291	早	zao	zc	1	zcft	1	zcf
292	三	san	sj	1	sjll	1	sjl
293	害	hai	hdi	1	hdiz	1	
294	歉	qian	qme	1	qmeb	1	
295	选	xuan	xr	1	xrky	1	
296	门	men	mfw	1	mfww	1	
297	嗨	hai	hdz	1	hdzu	1	
298	房	fang	fha	1	fhab	2	
299	命	ming	mkb	1	mkbk	1	
300	重	zhong	vst	1	vstf	1	
301	且	qie	qpt	1	qptt	1	
302	向	xiang	xll	1	xlll	1	
303	兴	xing	xko	1	xkos	1	
304	球	qiu	qq	1	qqxp	1	
305	入	ru	rub	1	rubb	1	
306	照	zhao	vcf	1	vcfq	1	
307	服	fu	fut	1	futx	3	
308	掉	diao	dn	1	dnnt	1	
309	长	zhang	vh	1	vhaa	1	vha
310	够	gou	gz	1	gzwu	1	
311	演	yan	yj	1	yjps	1	
312	路	lu	lu	1	luqx	1	
313	日	ri	ri	1	riff	1	rif
314	案	an	ani	1	anie	1	
315	舞	wu	wuc	1	wucl	1	
316	决	jue	jtp	1	jtpo	1	
317	求	qiu	qql	1	qqlp	1	
318	呃	e	ee	1	eezx	1	
319	字	zi	zii	1	ziit	1	
320	提	ti	tin	1	tinq	2	
321	目	mu	mu	1	muff	1	
322	夫	fu	fuo	1	fuoo	2	
323	肯	ken	kf	1	kfqt	1	kfq
324	笑	xiao	xn	1	xnmo	1	
325	伤	shang	uhc	1	uhcp	1	
326	神	shen	ufs	1	ufsf	2	
327	父	fu	fus	1	fusv	2	
328	指	zhi	vin	1	vinf	1	
329	留	liu	lq	1	lquf	1	
330	德	de	dec	1	decr	1	
331	报	bao	bcnx	1	bcnx	1	
332	水	shui	uv	1	uvll	1	uvl
333	教	jiao	jnh	1	jnhx	1	
334	枪	qiang	ql	1	qlex	1	
335	清	qing	qkp	1	qkpt	1	
336	世	shi	uiu	1	uiut	2	
337	号	hao	hcz	1	hczt	2	
338	远	yuan	yrl	1	yrly	1	
339	约	yue	yt	1	ytsp	1	yts
340	色	se	se	1	serx	1	ser
341	片	pian	pm	1	pmrr	1	pmr
342	原	yuan	yrh	1	yrho	1	
343	师	shi	uil	1	uilx	1	
344	口	kou	kz	1	kzzz	1	
345	酒	jiu	jq	1	jqpd	1	
346	官	guan	gri	1	grie	1	
347	周	zhou	vz	1	vzwz	2	
348	星	xing	xkf	1	xkfh	1	
349	识	shi	uios	1	uios	1	
350	救	jiu	jql	1	jqlx	1	
351	赛	sai	sd	1	sdiy	1	
352	底	di	dih	1	dihv	1	
353	棒	bang	bhe	1	bhex	1	
354	须	xu	xuf	1	xufy	1	
355	收	shou	uzt	1	uztx	1	
356	坐	zuo	zob	1	zobg	1	
357	交	jiao	jnd	1	jndv	1	
358	婚	hun	hy	1	hywf	1	
359	停	ting	tkc	1	tkcq	1	
360	眼	yan	yjf	1	yjft	1	
361	蛋	dan	djq	1	djqo	1	
362	息	xi	xij	1	xijr	2	
363	室	shi	uiip	1	uiip	1	
364	运	yun	yy	1	yyly	1	
365	宝	bao	bci	1	bcix	2	
366	哥	ge	ge	1	geqq	1	
367	张	zhang	vht	1	vhta	2	
368	根	gen	gfe	1	gfet	1	
369	内	nei	nw	1	nwwb	1	nww
370	搞	gao	gcn	1	gcnz	1	
371	金	jin	jbv	1	jbvv	1	
372	战	zhan	vj	1	vjlv	1	
373	火	huo	hoq	1	hoqq	1	
374	至	zhi	vip	1	vipp	1	
375	声	sheng	ugg	1	uggl	1	
376	条	tiao	tn	1	tnxo	1	tnx
377	消	xiao	xnp	1	xnpt	3	
378	期	qi	qiut	1	qiut	1	
379	买	mai	md	1	mdto	1	
380	整	zheng	vgg	1	vggq	1	
381	病	bing	bkh	1	bkhb	1	
382	弟	di	dix	1	dixx	2	
383	音	yin	ybj	1	ybjj	1	
384	装	zhuang	vl	1	vlrm	1	
385	您	nin	nb	1	nbcr	1	nbc
386	怕	pa	pa	1	parj	1	par
387	犯	fan	fj	1	fjbx	1	
388	送	song	ss	1	sssy	1	
389	护	hu	hu	1	huna	1	
390	近	jin	jbn	1	jbny	1	
