字音频序	字	读音	最短码	最短码候选位	全码	全码候选位	补三简
1	我	wo	w	1	woah	1	
2	的	de	d	1	deqz	1	
3	你	ni	n	1	nioy	1	
4	是	shi	u	1	uigp	1	
5	了	le	l	1	leyy	1	
6	不	bu	b	1	bunn	1	
7	们	men	mf	1	mfos	1	mfo
8	这	zhe	ve	1	veaq	1	
9	一	yi	yi	1	yinn	1	
10	么	me	me	1	meaj	1	mea
11	他	ta	t	1	taom	1	
12	在	zai	z	1	zdae	1	
13	有	you	y	1	yzaq	1	
14	个	ge	g	1	gepl	1	
15	好	hao	hc	1	hcpy	1	hcp
16	来	lai	ld	1	ldmm	1	
17	人	ren	r	1	rfpp	1	
18	那	na	na	1	nayy	1	nay
19	要	yao	yc	1	yclp	1	ycl
20	会	hui	hv	1	hvpj	1	
21	就	jiu	j	1	jqas	1	
22	什	shen	uf	1	ufoa	1	
23	没	mei	m	1	mwzb	1	
24	到	dao	dc	1	dcwx	2	
25	说	shuo	uo	1	uory	1	
26	吗	ma	ma	1	matd	2	
27	为	wei	ww	1	wwyy	1	
28	想	xiang	xl	1	xlvw	1	
29	能	neng	ng	1	ngjb	1	ngj
30	上	shang	uh	1	uhnn	1	uhn
31	去	qu	q	1	quej	1	
32	她	ta	ta	1	tapm	1	
33	道	dao	dcr	1	dcrq	1	
34	很	hen	hf	1	hfof	1	hfo
35	看	kan	k	1	kjbg	1	
36	可	ke	ke	1	keqq	1	keq
37	知	zhi	vi	1	vizt	1	
38	过	guo	go	1	goqq	1	
39	吧	ba	ba	1	batq	1	
40	得	de	de	1	deoq	1	
41	对	dui	dv	1	dvpq	1	
42	还	hai	hd	1	hdnq	1	hdn
43	里	li	li	1	litt	2	
44	以	yi	yit	1	yitt	2	
45	事	shi	ui	1	uing	1	
46	子	zi	zi	1	ziyy	2	
47	都	dou	dz	1	dzsy	1	dzs
48	时	shi	uig	1	uigq	1	
49	生	sheng	ug	1	ugtt	1	
50	样	yang	yh	1	yhvx	1	
51	也	ye	ye	1	yemm	1	yem
52	和	he	h	1	hejt	1	
53	下	xia	xx	1	xxnn	1	
54	真	zhen	vf	1	vfar	1	
55	现	xian	xm	1	xmrq	1	
56	做	zuo	zo	1	zoop	2	
57	大	da	da	1	dayy	1	
58	啊	a	a	1	aatq	1	
59	怎	zen	zf	1	zffw	1	zff
60	出	chu	iu	1	iusf	1	
61	点	dian	dm	1	dmnb	1	dmn
62	起	qi	qi	1	qipq	2	
63	天	tian	tm	1	tmyy	1	
64	开	kai	kd	1	kdna	1	kdn
65	把	ba	bak	1	bakq	1	
66	让	rang	rh	1	rhrn	1	rhr
67	但	dan	dj	1	djon	1	
68	谢	xie	xp	1	xprq	1	
69	给	gei	gw	1	gwct	1	gwc
70	只	zhi	vit	1	vitr	1	
71	些	xie	xpp	1	xppn	1	
72	如	ru	ru	1	rupt	1	
73	家	jia	jx	1	jxib	1	jxi
74	后	hou	hz	1	hzat	1	
75	着	zhe	veb	1	vebg	1	
76	儿	er	er	1	eryy	1	
77	意	yi	yil	1	yilw	1	
78	多	duo	do	1	dorr	1	dor
79	别	bie	bp	1	bptx	1	bpt
80	所	suo	s	1	sofg	1	
81	话	hua	hx	1	hxrt	1	
82	自	zi	ziq	1	ziqq	1	
83	小	xiao	x	1	xnyy	1	
84	回	hui	hvi	1	hvit	1	
85	然	ran	rj	1	rjrb	1	rjr
86	果	guo	got	1	gott	1	
87	发	fa	f	1	fayz	1	
88	心	xin	xb	1	xbww	1	
89	走	zou	zz	1	zzpp	1	zzp
90	见	jian	jm	1	jmqq	2	
91	定	ding	dk	1	dkip	1	dki
92	听	ting	tk	1	tktg	1	tkt
93	太	tai	td	1	tdyy	1	
94	该	gai	gd	1	gdrf	1	gdr
95	经	jing	jk	1	jkcp	1	jkc
96	当	dang	dh	1	dhyg	1	dhy
97	打	da	dak	1	dakq	1	
98	用	yong	ys	1	ysqq	1	
99	再	zai	zd	1	zdne	1	zdn
100	地	di	di	1	diem	1	
101	因	yin	yb	1	ybiy	1	
102	觉	jue	jt	1	jtiq	1	jti
103	女	nv	nv	1	nvpp	1	nvp
104	呢	ne	ne	1	netb	1	
105	告	gao	gc	1	gcdt	1	
106	最	zui	zv	1	zvgp	1	zvg
107	手	shou	uz	1	uzkk	1	
108	前	qian	qm	1	qmrx	1	
109	找	zhao	vc	1	vckh	1	
110	快	kuai	kk	1	kkwy	1	kkw
111	而	er	e	1	erww	1	
112	先	xian	xmd	1	xmdy	1	
113	像	xiang	xlo	1	xlod	1	
114	等	deng	dg	1	dglq	1	dgl
115	死	si	si	1	sirb	1	sir
116	妈	ma	map	1	mapd	1	
117	被	bei	bw	1	bwsb	1	
118	从	cong	cs	1	cspp	1	
119	中	zhong	v	1	vstl	1	
120	明	ming	mk	1	mkgq	1	
121	情	qing	qk	1	qkwq	1	qkw
122	作	zuo	zoo	1	zoof	1	
123	跟	gen	gf	1	gfpf	1	gfp
124	面	mian	mm	1	mmww	2	
125	行	xing	xk	1	xkoo	1	xko
126	诉	su	su	1	surg	1	
127	已	yi	yiq	1	yiqq	1	
128	爱	ai	ai	1	aimp	1	
129	之	zhi	vih	1	vihh	1	
130	问	wen	wf	1	wfst	1	
131	错	cuo	co	1	cohg	1	
132	孩	hai	hdy	1	hdyf	1	
133	它	ta	tai	1	taib	1	
134	成	cheng	ig	1	ighy	2	
135	感	gan	gj	1	gjhw	1	gjh
136	干	gan	gja	1	gjaa	1	
137	法	fa	fa	1	fazj	1	faz
138	电	dian	dmt	1	dmtt	1	
139	间	jian	jms	1	jmsg	2	
140	哪	na	nat	1	naty	1	
141	己	ji	ji	1	jiqq	1	
142	候	hou	hzo	1	hzoz	2	
143	次	ci	ci	1	cizp	1	
144	信	xin	xbo	1	xbor	1	
145	欢	huan	hr	1	hrpp	1	hrp
146	西	xi	xi	1	xill	1	
147	正	zheng	vg	1	vgnp	1	
148	实	shi	uii	1	uiiy	1	
149	进	jin	jb	1	jbaq	1	
150	关	guan	gr	1	grry	1	
151	车	che	ie	1	iemm	1	iem
152	年	nian	nm	1	nmol	1	nmo
153	喜	xi	xie	1	xiet	1	
154	认	ren	rf	1	rfrp	1	
155	爸	ba	bar	1	barq	1	
156	方	fang	fh	1	fhxx	2	
157	哦	o	o	1	ooth	1	
158	应	ying	yk	1	ykuy	1	
159	老	lao	lc	1	lcsb	1	lcs
160	帮	bang	bh	1	bhnn	1	
161	无	wu	wu	1	wuyy	1	
162	晚	wan	wj	1	wjgd	1	wjg
163	比	bi	bi	1	bibb	3	
164	动	dong	ds	1	dsny	1	dsn
165	头	tou	tz	1	tzzy	1	tzz
166	机	ji	jiv	1	jivs	1	
167	分	fen	ff	1	ffrx	2	
168	相	xiang	xlv	1	xlvg	1	
169	斯	si	sin	1	sing	2	
170	全	quan	qr	1	qrpr	1	
171	杀	sha	ua	1	uary	1	
172	需	xu	xu	1	xuww	1	
173	放	fang	fhx	1	fhxp	1	
174	常	chang	ih	1	ihin	1	
175	直	zhi	via	1	viae	1	
176	才	cai	c	1	cdqq	1	
177	于	yu	yu	1	yuaa	2	
178	克	ke	kek	1	keky	1	
179	带	dai	dd	1	ddan	1	
180	美	mei	mw	1	mwby	1	
181	今	jin	jbm	1	jbmm	1	
182	力	li	liy	1	liyy	1	
183	工	gong	gs	1	gspp	2	
184	许	xu	xur	1	xurd	1	
185	东	dong	dsm	1	dsmm	1	
186	同	tong	ts	1	tsst	1	
187	亲	qin	qb	1	qbqy	1	qbq
188	种	zhong	vs	1	vsjl	1	vsj
189	特	te	te	1	tedq	1	ted
190	者	zhe	ves	1	vesg	1	
191	学	xue	xt	1	xtiy	1	
192	嘿	hei	hw	1	hwtq	1	hwt
193	白	bai	bd	1	bdqq	1	
194	名	ming	mkr	1	mkrt	1	
195	叫	jiao	jn	1	jntl	1	
196	本	ben	bf	1	bfvn	1	
197	第	di	dil	1	dilm	1	
198	理	li	lir	1	lirt	1	
199	国	guo	goi	1	goir	1	
200	友	you	yz	1	yzap	2	
201	安	an	an	1	anip	1	
202	两	liang	ll	1	llww	1	
203	高	gao	gca	1	gcat	1	
204	请	qing	qkr	1	qkrq	2	
205	保	bao	bc	1	bcov	1	
206	公	gong	gsr	1	gsrj	1	
207	记	ji	jir	1	jirq	1	
208	非	fei	fw	1	fwnn	1	
209	身	shen	ufm	1	ufmm	1	
