序	字	读音	最短码	位
1	我	wo	w	1
2	的	de	d	1
3	你	ni	n	1
4	是	shi	u	1
5	了	le	l	1
6	不	bu	b	1
7	们	men	mf	1
8	这	zhe	ve	1
9	一	yi	yi	1
10	么	me	me	1
11	他	ta	t	1
12	在	zai	z	1
13	有	you	y	1
14	个	ge	g	1
15	好	hao	hc	1
16	来	lai	ld	1
17	人	ren	r	1
18	那	na	na	1
19	要	yao	yc	1
20	会	hui	hv	1
21	就	jiu	j	1
22	什	shen	uffp	1
23	没	mei	m	1
24	到	dao	dc	1
25	说	shuo	uo	1
26	吗	ma	ma	1
27	为	wei	ww	1
28	想	xiang	xl	1
29	能	neng	ng	1
30	上	shang	uh	1
31	去	qu	q	1
32	她	ta	ta	1
33	道	dao	dca	1
34	很	hen	hf	1
35	看	kan	k	1
36	可	ke	ke	1
37	知	zhi	vir	1
38	过	guo	go	1
39	吧	ba	bah	1
40	得	de	de	1
41	对	dui	dv	1
42	还	hai	hd	1
43	里	li	li	1
44	以	yi	yig	1
45	事	shi	uin	1
46	子	zi	zin	1
47	都	dou	dz	1
48	时	shi	ui	1
49	生	sheng	ug	1
50	样	yang	yh	1
51	也	ye	ye	1
52	和	he	h	1
53	下	xia	xx	1
54	真	zhen	vf	1
55	现	xian	xmg	1
56	做	zuo	zo	1
57	大	da	da	1
58	啊	a	a	1
59	怎	zen	zf	1
60	出	chu	iu	1
61	点	dian	dm	1
62	起	qi	qiz	1
63	天	tian	tm	1
64	开	kai	kd	1
65	把	ba	ba	1
66	让	rang	rh	1
67	但	dan	dj	1
68	谢	xie	xpd	1
69	给	gei	gw	1
70	只	zhi	vih	1
71	些	xie	xp	1
72	如	ru	ru	1
73	家	jia	jxi	1
74	后	hou	hz	1
75	着	zhe	vei	1
76	儿	er	era	1
77	意	yi	yid	1
78	多	duo	do	1
79	别	bie	bp	1
80	所	suo	s	1
81	话	hua	hx	1
82	自	zi	zi	1
83	小	xiao	x	1
84	回	hui	hve	1
85	然	ran	rj	1
86	果	guo	goq	1
87	发	fa	f	1
88	心	xin	xbc	1
89	走	zou	zz	1
90	见	jian	jm	1
91	定	ding	dk	1
92	听	ting	tk	1
93	太	tai	td	1
94	该	gai	gd	1
95	经	jing	jkj	1
96	当	dang	dh	1
97	打	da	dal	1
98	用	yong	ys	1
99	再	zai	zd	1
100	地	di	di	1
101	因	yin	yb	1
102	觉	jue	jti	1
103	女	nv	nv	1
104	呢	ne	ne	1
105	告	gao	gcc	1
106	最	zui	zv	1
107	手	shou	uz	1
108	前	qian	qm	1
109	找	zhao	vc	1
110	快	kuai	kk	1
111	而	er	e	1
112	先	xian	xm	1
113	像	xiang	xlf	1
114	等	deng	dg	1
115	死	si	sil	1
116	妈	ma	maz	1
117	被	bei	bw	1
118	从	cong	cs	1
119	中	zhong	v	1
120	明	ming	mkq	1
121	情	qing	qkc	1
122	作	zuo	zof	1
123	跟	gen	gf	1
124	面	mian	mm	1
125	行	xing	xk	1
126	诉	su	sud	1
127	已	yi	yiv	1
128	爱	ai	ai	1
129	之	zhi	vi	1
130	问	wen	wf	1
131	错	cuo	co	1
132	孩	hai	hdn	1
133	它	ta	tai	1
134	成	cheng	ig	1
135	感	gan	gjr	1
136	干	gan	gj	1
137	法	fa	fa	1
138	电	dian	dmp	1
139	间	jian	jmw	1
140	哪	na	nah	1
141	己	ji	jiv	1
142	候	hou	hzf	1
143	次	ci	cib	1
144	信	xin	xbf	1
145	欢	huan	hrq	1
146	西	xi	xie	1
147	正	zheng	vg	1
148	实	shi	uii	1
149	进	jin	jbl	1
150	关	guan	gr	1
151	车	che	ie	1
152	年	nian	nm	1
153	喜	xi	xit	1
154	认	ren	rfd	1
155	爸	ba	baav	1
156	方	fang	fhs	1
157	哦	o	o	1
158	应	ying	yk	1
159	老	lao	lc	1
160	帮	bang	bh	1
161	无	wu	wu	1
162	晚	wan	wjq	1
163	比	bi	bi	1
164	动	dong	ds	1
165	头	tou	tz	1
166	机	ji	jio	1
167	分	fen	ff	1
168	相	xiang	xlo	1
169	斯	si	si	1
170	全	quan	qr	1
171	杀	sha	uan	1
172	需	xu	xuc	1
173	放	fang	fh	1
174	常	chang	ih	1
175	直	zhi	vip	1
176	才	cai	c	1
177	于	yu	yuw	1
178	克	ke	kep	1
179	带	dai	dd	1
180	美	mei	mw	1
181	今	jin	jbz	1
182	力	li	lip	1
183	工	gong	gse	1
184	许	xu	xu	1
185	东	dong	dse	1
186	同	tong	tsw	1
187	亲	qin	qb	1
188	种	zhong	vs	1
189	特	te	te	1
190	者	zhe	vep	1
191	学	xue	xt	1
192	嘿	hei	hwh	1
193	白	bai	bd	1
194	名	ming	mk	1
195	叫	jiao	jn	1
196	本	ben	bf	1
197	第	di	dir	1
198	理	li	lig	1
199	国	guo	goe	1
200	友	you	yzpq	1
201	安	an	an	1
202	两	liang	ll	1
203	高	gao	gc	1
204	请	qing	qk	1
205	保	bao	bcf	1
206	公	gong	gs	1
207	记	ji	jid	1
208	非	fei	fw	1
209	身	shen	ufa	1
210	受	shou	uzm	1
211	住	zhu	vuf	1
212	活	huo	hob	1
213	何	he	hef	1
214	题	ti	tiq	1
215	完	wan	wj	1
216	加	jia	jx	1
217	伙	huo	hofr	1
218	接	jie	jp	1
219	拿	na	nag	1
220	望	wang	whv	1
221	解	jie	jpw	1
222	其	qi	qi	1
223	离	li	liv	1
224	谈	tan	tj	1
225	又	you	yz	1
226	了	liao	lnnn	1
227	新	xin	xb	1
228	更	geng	gg	1
229	钱	qian	qmk	1
230	场	chang	iht	1
231	嗯	ng	en	1
232	部	bu	bu	1
233	计	ji	jidp	1
234	任	ren	rf	1
235	确	que	qtj	1
236	思	si	sip	1
237	吃	chi	i	1
238	始	shi	uiz	1
239	结	jie	jpj	1
240	马	ma	mac	1
241	朋	peng	pgv	1
242	警	jing	jkx	1
243	尔	er	ers	1
244	士	shi	uit	1
245	外	wai	wd	1
246	件	jian	jmf	1
247	难	nan	njq	1
248	位	wei	wwf	1
249	表	biao	bn	1
250	刚	gang	gh	1
251	边	bian	bm	1
252	或	huo	ho	1
253	将	jiang	jl	1
254	希	xi	xin	1
255	男	nan	nj	1
256	准	zhun	vy	1
257	变	bian	bmp	1
258	利	li	lir	1
