字	新排名	每百万核心字预计次数
的	1	35878.33383783
我	2	25446.24054408
了	3	18434.96451014
是	4	18334.68956033
你	5	17199.19719573
不	6	16296.51799082
一	7	14359.99730428
有	8	9917.08055832
在	9	9911.23891294
这	10	9340.42326010
人	11	8649.92076781
们	12	7905.94752863
他	13	7793.51916339
个	14	7698.60178175
好	15	7555.04868360
来	16	7121.21033134
么	17	7093.57001337
要	18	6070.87426170
就	19	6025.51145144
到	20	5463.24094882
上	21	5285.36985904
会	22	5196.40408157
说	23	5129.79773076
那	24	5119.15753010
大	25	4788.26571376
没	26	4756.21233406
为	27	4383.93372511
去	28	4231.88531225
看	29	4191.90821274
和	30	4151.41369006
也	31	4130.10135857
得	32	4028.36802940
还	33	3991.77945633
都	34	3901.02583585
想	35	3851.24438632
过	36	3834.31676631
可	37	3832.97537296
以	38	3761.09041724
子	39	3747.09017625
天	40	3739.59458732
能	41	3694.16822377
哈	42	3649.18358327
时	43	3638.36708170
下	44	3560.93351190
什	45	3414.65857905
道	46	3387.69234470
生	47	3380.54812657
中	48	3349.64575298
对	49	3313.11052897
里	50	3303.83234497
啊	51	3250.78269701
家	52	3164.36580128
出	53	3159.70941808
国	54	3157.18445171
她	55	3147.64167669
着	56	3125.51819926
很	57	3018.11050642
年	58	2994.79823019
地	59	2979.21299810
多	60	2955.56143310
吗	61	2868.02024160
发	62	2725.78911452
事	63	2695.53632799
自	64	2681.10261206
吧	65	2659.89812045
起	66	2642.96933129
心	67	2602.24405218
开	68	2571.98360654
小	69	2549.98005931
样	70	2507.36280650
知	71	2496.97998675
现	72	2470.53484629
后	73	2431.03161775
点	74	2409.14002632
真	75	2326.62476065
只	76	2050.48771529
给	77	2049.50801979
然	78	2037.75938348
回	79	2031.75548862
作	80	1975.34197621
把	81	1968.95306628
经	82	1942.51352804
成	83	1937.54633817
行	84	1896.64539123
用	85	1827.55030646
意	86	1791.73718362
面	87	1772.10029970
新	88	1764.38739101
做	89	1724.35771766
前	90	1722.34305536
最	91	1707.36173320
但	92	1706.93710190
如	93	1699.84342898
学	94	1689.97858099
些	95	1684.98080734
话	96	1678.77667805
动	97	1677.85217672
快	98	1670.12174505
怎	99	1655.65865930
情	100	1633.82001991
而	101	1630.92924590
手	102	1629.21890545
爱	103	1615.40736295
定	104	1612.94229529
实	105	1608.36935603
所	106	1603.35425902
之	107	1601.56074428
觉	108	1583.95161004
吃	109	1571.09724715
别	110	1561.55195250
工	111	1556.03487780
儿	112	1554.92488863
明	113	1553.13438621
太	114	1548.12014342
当	115	1546.84012310
见	116	1543.81791719
分	117	1540.16115362
方	118	1525.81069989
长	119	1520.88192626
同	120	1516.68843786
让	121	1512.39010241
老	122	1506.30764305
全	123	1506.06293901
等	124	1499.26422648
进	125	1496.37408928
己	126	1495.46472705
主	127	1488.38769006
日	128	1471.37647256
女	129	1456.06299078
于	130	1449.01989276
谢	131	1435.91469028
已	132	1425.49125874
问	133	1419.94685874
打	134	1410.65707858
从	135	1401.22333032
走	136	1395.49325691
又	137	1394.02586994
呢	138	1384.05370229
力	139	1383.55769934
头	140	1368.03266298
感	141	1358.39505725
加	142	1354.68433225
无	143	1345.71285496
次	144	1336.35385515
法	145	1324.74441419
美	146	1319.35850256
高	147	1317.74418653
种	148	1306.26847976
正	149	1300.64378907
果	150	1296.30702255
今	151	1284.48836905
机	152	1271.69157327
间	153	1268.62749689
再	154	1266.70342646
本	155	1263.93892106
因	156	1262.58215738
关	157	1248.82816430
两	158	1247.54177066
民	159	1245.68996635
三	160	1216.55922371
理	161	1213.37431205
重	162	1205.47087971
被	163	1192.87575570
比	164	1192.83283884
业	165	1186.10567780
部	166	1169.61393874
听	167	1162.61434424
西	168	1159.04970070
安	169	1149.08592200
像	170	1129.54161902
十	171	1122.03100133
电	172	1117.28276499
喜	173	1116.37465183
候	174	1116.27582032
身	175	1115.03411227
欢	176	1100.23062697
才	177	1077.79688518
晚	178	1071.43278402
信	179	1071.11879625
公	180	1053.91336486
先	181	1052.37058155
活	182	1047.40031673
放	183	1036.74534693
车	184	1033.55184574
该	185	1027.08206744
者	186	1013.79833839
第	187	1010.02951505
表	188	995.63853786
体	189	989.94940817
气	190	988.87877949
找	191	987.87600820
相	192	986.53275190
应	193	983.50861091
更	194	979.50288172
干	195	977.59652776
月	196	969.05631311
哪	197	966.03823154
其	198	963.28132618
记	199	962.62714707
死	200	957.65548073
跟	201	955.39240792
特	202	953.52226222
外	203	952.63559672
友	204	945.12971877
合	205	938.98552607
几	206	930.85167376
直	207	929.24246077
名	208	917.60889754
水	209	911.34956399
东	210	910.25223115
完	211	900.82098974
哦	212	897.45694355
带	213	895.50620049
它	214	892.04046184
文	215	889.61884738
斯	216	881.39150215
告	217	879.14340525
产	218	874.39965997
常	219	864.62439506
乐	220	860.31161571
认	221	859.76322694
利	222	857.08124430
早	223	852.16178953
与	224	844.77177049
员	225	844.64438704
二	226	844.52038915
将	227	843.59406666
题	228	840.73288239
白	229	839.28498085
场	230	834.10057762
总	231	828.68418625
少	232	827.57414141
门	233	824.35092992
结	234	823.01470737
解	235	817.51542357
亲	236	816.57051058
难	237	816.01701411
妈	238	810.19431453
错	239	808.72142744
度	240	806.68799215
边	241	803.48390581
保	242	803.10340783
路	243	802.62882018
平	244	794.57488623
化	245	792.24313599
孩	246	791.02376185
位	247	787.68030572
啦	248	786.34776415
展	249	784.85152853
受	250	776.86774594
思	251	776.25227046
向	252	774.96424289
住	253	773.71988515
提	254	768.07739209
政	255	764.02158272
眼	256	763.52587896
马	257	762.95701578
望	258	758.28074678
克	259	756.64155951
睡	260	755.97288183
建	261	755.34109588
谁	262	754.81290302
此	263	750.95315590
接	264	746.98802243
每	265	738.19159940
口	266	734.29081597
神	267	726.99795902
玩	268	725.79744324
社	269	720.79298816
声	270	717.78120120
叫	271	717.30823369
任	272	714.22252578
通	273	706.17113012
市	274	705.04063525
系	275	703.43588748
代	276	701.96130796
报	277	699.28237026
并	278	694.82716955
世	279	693.61159094
色	280	691.18589729
变	281	687.19597660
入	282	685.66049537
尔	283	684.11538515
钱	284	677.46878588
期	285	675.25880887
教	286	675.20236848
物	287	674.49456850
笑	288	674.38752315
服	289	670.39958034
请	290	663.99447166
强	291	662.14043642
使	292	661.03206844
嗯	293	659.54189187
制	294	654.86026095
性	295	654.40175508
呀	296	653.56439260
原	297	652.95613004
四	298	650.22947396
男	299	648.02724421
诉	300	647.82801964
各	301	647.32320367
内	302	647.00901961
战	303	646.72856213
海	304	645.78151510
非	305	645.53121213
管	306	644.26756662
刚	307	644.08030642
许	308	643.93676000
拉	309	642.19712960
何	310	640.52599224
目	311	637.01461296
求	312	634.64247978
花	313	633.73666325
命	314	633.12286406
处	315	629.72006955
万	316	627.79774827
办	317	626.64841052
近	318	625.46380888
计	319	621.75809700
帮	320	621.70539634
需	321	619.05513992
买	322	615.69404221
区	323	615.05841307
件	324	611.54920808
持	325	611.51543568
五	326	609.08470369
始	327	607.67907432
光	328	604.24096407
朋	329	600.60584106
义	330	598.93477840
反	331	594.44557175
必	332	592.58888782
务	333	592.00493794
金	334	590.95969317
决	335	584.94969475
张	336	582.39106926
队	337	580.15431541
风	338	577.40380815
运	339	575.59970003
书	340	574.07061586
片	341	570.02976969
微	342	569.41295952
试	343	566.33746599
量	344	565.89636306
收	345	559.52929887
军	346	555.35993707
照	347	553.13941558
师	348	552.58659240
切	349	551.20528793
清	350	550.34971108
立	351	549.39406095
确	352	544.69727476
品	353	544.37143565
算	354	544.30949439
德	355	543.67650075
山	356	541.86022319
界	357	541.62476093
准	358	541.06216465
或	359	540.79256408
条	360	540.06784702
拿	361	538.01543095
交	362	536.76133988
越	363	536.38145280
由	364	535.36195350
指	365	533.02781169
周	366	529.09900797
设	367	524.33971761
离	368	520.34041391
改	369	520.31723149
共	370	515.50916126
希	371	513.16096762
党	372	513.05956752
字	373	511.53965318
领	374	510.32765618
远	375	509.50120893
哥	376	509.22548895
级	377	508.90338613
便	378	506.76579650
取	379	506.50142292
失	380	502.27359669
单	381	502.18691596
节	382	502.09150542
北	383	501.33516288
谈	384	499.51438424
房	385	498.26633575
备	386	497.15000261
基	387	494.19794666
深	388	491.83743169
论	389	490.55743819
南	390	489.65468837
农	391	487.54699493
姐	392	486.87468990
至	393	485.27806013
资	394	483.61411875
夫	395	481.77640058
达	396	481.09561258
联	397	480.12431372
超	398	477.46649814
士	399	475.61167028
博	400	474.00675962
影	401	472.53169141
步	402	470.49163301
怕	403	470.47211770
爸	404	469.45578014
嘛	405	468.86504781
空	406	466.99025920
议	407	466.96523959
火	408	466.25742084
选	409	465.27053883
科	410	462.82791568
福	411	461.65354124
城	412	459.57861878
调	413	459.50730218
数	414	458.39247255
流	415	457.14116625
包	416	456.09035520
却	417	454.30618282
转	418	452.98246743
识	419	452.39867346
害	420	449.52391285
油	421	449.12155175
约	422	448.04073431
且	423	447.65272456
治	424	447.14387290
黑	425	446.23305333
写	426	445.96504061
百	427	444.25135977
红	428	443.48634701
华	429	443.25233083
嘿	430	443.00326209
热	431	440.14658963
杀	432	439.88004176
号	433	439.35932058
夜	434	439.12774555
精	435	439.01937846
及	436	438.77284547
查	437	438.55662778
格	438	437.86176271
整	439	437.06593872
阿	440	436.80553706
宝	441	434.28199253
推	442	433.49491812
久	443	433.23375763
满	444	430.94540433
传	445	430.17396692
