字	新排名	每百万核心字预计次数（整字）	拼音及小鹤双拼	分音状态
的	1	35878.33383783	de(de) / di(di)	未分配
我	2	25446.24054408	wo(wo)	未分配
了	3	18434.96451014	le(le) / liao(ln)	未分配
是	4	18334.68956033	shi(ui)	未分配
你	5	17199.19719573	ni(ni)	未分配
不	6	16296.51799082	bu(bu)	未分配
一	7	14359.99730428	yi(yi)	未分配
有	8	9917.08055832	you(yz)	未分配
在	9	9911.23891294	zai(zd)	未分配
这	10	9340.42326010	zhe(ve)	未分配
人	11	8649.92076781	ren(rf)	未分配
们	12	7905.94752863	men(mf)	未分配
他	13	7793.51916339	ta(ta)	未分配
个	14	7698.60178175	ge(ge)	未分配
好	15	7555.04868360	hao(hc)	未分配
来	16	7121.21033134	lai(ld)	未分配
么	17	7093.57001337	me(me)	未分配
要	18	6070.87426170	yao(yc)	未分配
就	19	6025.51145144	jiu(jq)	未分配
到	20	5463.24094882	dao(dc)	未分配
上	21	5285.36985904	shang(uh)	未分配
会	22	5196.40408157	hui(hv) / kuai(kk)	未分配
说	23	5129.79773076	shuo(uo) / shui(uv)	未分配
那	24	5119.15753010	na(na)	未分配
大	25	4788.26571376	da(da) / dai(dd)	未分配
没	26	4756.21233406	mei(mw) / mo(mo)	未分配
为	27	4383.93372511	wei(ww)	未分配
去	28	4231.88531225	qu(qu)	未分配
看	29	4191.90821274	kan(kj)	未分配
和	30	4151.41369006	he(he) / huo(ho) / hu(hu)	未分配
也	31	4130.10135857	ye(ye)	未分配
得	32	4028.36802940	de(de) / dei(dw)	未分配
还	33	3991.77945633	hai(hd) / huan(hr)	未分配
都	34	3901.02583585	dou(dz) / du(du)	未分配
想	35	3851.24438632	xiang(xl)	未分配
过	36	3834.31676631	guo(go)	未分配
可	37	3832.97537296	ke(ke)	未分配
以	38	3761.09041724	yi(yi)	未分配
子	39	3747.09017625	zi(zi)	未分配
天	40	3739.59458732	tian(tm)	未分配
能	41	3694.16822377	neng(ng)	未分配
哈	42	3649.18358327	ha(ha)	未分配
时	43	3638.36708170	shi(ui)	未分配
下	44	3560.93351190	xia(xx)	未分配
什	45	3414.65857905	shen(uf) / shi(ui)	未分配
道	46	3387.69234470	dao(dc)	未分配
生	47	3380.54812657	sheng(ug)	未分配
中	48	3349.64575298	zhong(vs)	未分配
对	49	3313.11052897	dui(dv)	未分配
里	50	3303.83234497	li(li)	未分配
啊	51	3250.78269701	a(aa)	未分配
家	52	3164.36580128	jia(jx)	未分配
出	53	3159.70941808	chu(iu)	未分配
国	54	3157.18445171	guo(go)	未分配
她	55	3147.64167669	ta(ta)	未分配
着	56	3125.51819926	zhe(ve) / zhao(vc) / zhuo(vo) / zhu(vu)[候选]	未分配
很	57	3018.11050642	hen(hf)	未分配
年	58	2994.79823019	nian(nm)	未分配
地	59	2979.21299810	di(di) / de(de)	未分配
多	60	2955.56143310	duo(do)	未分配
吗	61	2868.02024160	ma(ma)	未分配
发	62	2725.78911452	fa(fa)	未分配
事	63	2695.53632799	shi(ui)	未分配
自	64	2681.10261206	zi(zi)	未分配
吧	65	2659.89812045	ba(ba)	未分配
起	66	2642.96933129	qi(qi)	未分配
心	67	2602.24405218	xin(xb)	未分配
开	68	2571.98360654	kai(kd)	未分配
小	69	2549.98005931	xiao(xn)	未分配
样	70	2507.36280650	yang(yh)	未分配
知	71	2496.97998675	zhi(vi)	未分配
现	72	2470.53484629	xian(xm)	未分配
后	73	2431.03161775	hou(hz)	未分配
点	74	2409.14002632	dian(dm)	未分配
真	75	2326.62476065	zhen(vf)	未分配
只	76	2050.48771529	zhi(vi)	未分配
给	77	2049.50801979	gei(gw) / ji(ji)	未分配
然	78	2037.75938348	ran(rj)	未分配
回	79	2031.75548862	hui(hv)	未分配
作	80	1975.34197621	zuo(zo)	未分配
把	81	1968.95306628	ba(ba)	未分配
经	82	1942.51352804	jing(jk)	未分配
成	83	1937.54633817	cheng(ig)	未分配
行	84	1896.64539123	xing(xk) / hang(hh) / heng(hg)	未分配
用	85	1827.55030646	yong(ys)	未分配
意	86	1791.73718362	yi(yi)	未分配
面	87	1772.10029970	mian(mm)	未分配
新	88	1764.38739101	xin(xb)	未分配
做	89	1724.35771766	zuo(zo)	未分配
前	90	1722.34305536	qian(qm)	未分配
最	91	1707.36173320	zui(zv)	未分配
但	92	1706.93710190	dan(dj)	未分配
如	93	1699.84342898	ru(ru)	未分配
学	94	1689.97858099	xue(xt)	未分配
些	95	1684.98080734	xie(xp)	未分配
话	96	1678.77667805	hua(hx)	未分配
动	97	1677.85217672	dong(ds)	未分配
快	98	1670.12174505	kuai(kk)	未分配
怎	99	1655.65865930	zen(zf)	未分配
情	100	1633.82001991	qing(qk)	未分配
而	101	1630.92924590	er(er)	未分配
手	102	1629.21890545	shou(uz)	未分配
爱	103	1615.40736295	ai(ai)	未分配
定	104	1612.94229529	ding(dk)	未分配
实	105	1608.36935603	shi(ui)	未分配
所	106	1603.35425902	suo(so)	未分配
之	107	1601.56074428	zhi(vi)	未分配
觉	108	1583.95161004	jue(jt) / jiao(jn)	未分配
吃	109	1571.09724715	chi(ii)	未分配
别	110	1561.55195250	bie(bp)	未分配
工	111	1556.03487780	gong(gs)	未分配
儿	112	1554.92488863	er(er)	未分配
明	113	1553.13438621	ming(mk)	未分配
太	114	1548.12014342	tai(td)	未分配
当	115	1546.84012310	dang(dh)	未分配
见	116	1543.81791719	jian(jm) / xian(xm)	未分配
分	117	1540.16115362	fen(ff)	未分配
方	118	1525.81069989	fang(fh)	未分配
长	119	1520.88192626	zhang(vh) / chang(ih)	未分配
同	120	1516.68843786	tong(ts)	未分配
让	121	1512.39010241	rang(rh)	未分配
老	122	1506.30764305	lao(lc)	未分配
全	123	1506.06293901	quan(qr)	未分配
等	124	1499.26422648	deng(dg)	未分配
进	125	1496.37408928	jin(jb)	未分配
己	126	1495.46472705	ji(ji)	未分配
主	127	1488.38769006	zhu(vu)	未分配
日	128	1471.37647256	ri(ri)	未分配
女	129	1456.06299078	nv(nv)	未分配
于	130	1449.01989276	yu(yu)	未分配
谢	131	1435.91469028	xie(xp)	未分配
已	132	1425.49125874	yi(yi)	未分配
问	133	1419.94685874	wen(wf)	未分配
打	134	1410.65707858	da(da)	未分配
从	135	1401.22333032	cong(cs)	未分配
走	136	1395.49325691	zou(zz)	未分配
又	137	1394.02586994	you(yz)	未分配
呢	138	1384.05370229	ne(ne) / ni(ni)	未分配
力	139	1383.55769934	li(li)	未分配
头	140	1368.03266298	tou(tz)	未分配
感	141	1358.39505725	gan(gj)	未分配
加	142	1354.68433225	jia(jx)	未分配
无	143	1345.71285496	wu(wu) / mo(mo)	未分配
次	144	1336.35385515	ci(ci)	未分配
法	145	1324.74441419	fa(fa)	未分配
美	146	1319.35850256	mei(mw)	未分配
高	147	1317.74418653	gao(gc)	未分配
种	148	1306.26847976	zhong(vs) / chong(is)	未分配
正	149	1300.64378907	zheng(vg)	未分配
果	150	1296.30702255	guo(go)	未分配
今	151	1284.48836905	jin(jb)	未分配
机	152	1271.69157327	ji(ji)	未分配
间	153	1268.62749689	jian(jm)	未分配
再	154	1266.70342646	zai(zd)	未分配
本	155	1263.93892106	ben(bf)	未分配
因	156	1262.58215738	yin(yb)	未分配
关	157	1248.82816430	guan(gr)	未分配
两	158	1247.54177066	liang(ll)	未分配
民	159	1245.68996635	min(mb)	未分配
三	160	1216.55922371	san(sj)	未分配
理	161	1213.37431205	li(li)	未分配
重	162	1205.47087971	zhong(vs) / chong(is)	未分配
被	163	1192.87575570	bei(bw)	未分配
比	164	1192.83283884	bi(bi)	未分配
业	165	1186.10567780	ye(ye)	未分配
部	166	1169.61393874	bu(bu)	未分配
听	167	1162.61434424	ting(tk)	未分配
西	168	1159.04970070	xi(xi)	未分配
安	169	1149.08592200	an(an)	未分配
像	170	1129.54161902	xiang(xl)	未分配
十	171	1122.03100133	shi(ui)	未分配
电	172	1117.28276499	dian(dm)	未分配
喜	173	1116.37465183	xi(xi)	未分配
候	174	1116.27582032	hou(hz)	未分配
身	175	1115.03411227	shen(uf)	未分配
欢	176	1100.23062697	huan(hr)	未分配
才	177	1077.79688518	cai(cd)	未分配
晚	178	1071.43278402	wan(wj)	未分配
信	179	1071.11879625	xin(xb)	未分配
公	180	1053.91336486	gong(gs)	未分配
先	181	1052.37058155	xian(xm)	未分配
活	182	1047.40031673	huo(ho)	未分配
放	183	1036.74534693	fang(fh)	未分配
车	184	1033.55184574	che(ie) / ju(ju)	未分配
