啊	a
不	b
才	c
的	d
而	e
发	f
个	g
和	h
吃	i
就	j
看	k
了	l
没	m
你	n
哦	o
拍	p
去	q
人	r
所	s
他	t
是	u
中	v
我	w
小	x
有	y
在	z
阿	aa
昂	ah
爱	ai
安	an
奥	ao
吧	ba
宾	bb
保	bc
白	bd
本	bf
崩	bg
帮	bh
比	bi
办	bj
并	bk
边	bm
表	bn
博	bo
别	bp
部	bu
被	bw
擦	ca
操	cc
猜	cd
测	ce
参	cf
曾	cg
藏	ch
次	ci
参	cj
错	co
窜	cr
从	cs
粗	cu
脆	cv
存	cy
凑	cz
大	da
到	dc
带	dd
得	de
扽	df
等	dg
当	dh
地	di
但	dj
定	dk
点	dm
掉	dn
多	do
谍	dp
丢	dq
段	dr
动	ds
度	du
对	dv
得	dw
顿	dy
都	dz
呃	ee
欸	ei
恩	en
儿	er
法	fa
分	ff
疯	fg
方	fh
犯	fj
佛	fo
复	fu
非	fw
尬	ga
告	gc
该	gd
哥	ge
跟	gf
更	gg
刚	gh
感	gj
怪	gk
光	gl
过	go
关	gr
工	gs
故	gu
鬼	gv
给	gw
挂	gx
滚	gy
够	gz
哈	ha
好	hc
还	hd
何	he
很	hf
哼	hg
行	hh
汉	hj
坏	hk
谎	hl
活	ho
欢	hr
红	hs
护	hu
会	hv
嘿	hw
话	hx
婚	hy
后	hz
查	ia
超	ic
拆	id
车	ie
沉	if
成	ig
常	ih
持	ii
产	ij
踹	ik
床	il
戳	io
穿	ir
重	is
出	iu
吹	iv
蠢	iy
抽	iz
进	jb
己	ji
经	jk
将	jl
见	jm
叫	jn
接	jp
酒	jq
卷	jr
觉	jt
据	ju
家	jx
军	jy
卡	ka
考	kc
开	kd
可	ke
肯	kf
坑	kg
康	kh
堪	kj
快	kk
况	kl
括	ko
款	kr
空	ks
苦	ku
溃	kv
夸	kx
困	ky
口	kz
拉	la
林	lb
老	lc
来	ld
乐	le
冷	lg
浪	lh
里	li
另	lk
两	ll
联	lm
了	ln
罗	lo
列	lp
留	lq
乱	lr
龙	ls
略	lt
路	lu
律	lv
类	lw
俩	lx
论	ly
楼	lz
吗	ma
民	mb
毛	mc
买	md
么	me
们	mf
梦	mg
忙	mh
密	mi
满	mj
明	mk
面	mm
妙	mn
魔	mo
灭	mp
谬	mq
目	mu
美	mw
某	mz
那	na
您	nb
脑	nc
奶	nd
呢	ne
嫩	nf
能	ng
囊	nh
尼	ni
难	nj
宁	nk
娘	nl
年	nm
鸟	nn
诺	no
捏	np
牛	nq
暖	nr
弄	ns
虐	nt
努	nu
女	nv
内	nw
耨	nz
噢	oo
偶	ou
怕	pa
品	pb
跑	pc
派	pd
喷	pf
朋	pg
旁	ph
皮	pi
判	pj
平	pk
片	pm
票	pn
破	po
撇	pp
普	pu
陪	pw
剖	pz
亲	qb
起	qi
情	qk
枪	ql
前	qm
瞧	qn
切	qp
球	qq
全	qr
穷	qs
确	qt
取	qu
恰	qx
群	qy
扰	rc
热	re
认	rf
仍	rg
让	rh
日	ri
然	rj
弱	ro
软	rr
容	rs
如	ru
瑞	rv
润	ry
肉	rz
撒	sa
扫	sc
赛	sd
色	se
森	sf
僧	sg
丧	sh
死	si
三	sj
索	so
算	sr
送	ss
诉	su
岁	sv
损	sy
搜	sz
她	ta
讨	tc
太	td
特	te
疼	tg
堂	th
题	ti
谈	tj
听	tk
天	tm
条	tn
托	to
铁	tp
团	tr
同	ts
图	tu
退	tv
吞	ty
头	tz
杀	ua
少	uc
晒	ud
设	ue
什	uf
生	ug
上	uh
事	ui
山	uj
帅	uk
双	ul
说	uo
栓	ur
数	uu
水	uv
谁	uw
耍	ux
顺	uy
手	uz
炸	va
找	vc
这	ve
真	vf
正	vg
长	vh
知	vi
战	vj
拽	vk
装	vl
桌	vo
转	vr
种	vs
住	vu
追	vv
抓	vx
准	vy
周	vz
哇	wa
外	wd
问	wf
翁	wg
望	wh
晚	wj
喔	wo
无	wu
为	ww
心	xb
西	xi
行	xk
想	xl
现	xm
笑	xn
谢	xp
休	xq
选	xr
兄	xs
学	xt
需	xu
下	xx
亚	ya
因	yb
要	yc
也	ye
样	yh
一	yi
演	yj
应	yk
哟	yo
员	yr
用	ys
约	yt
于	yu
运	yy
友	yz
杂	za
早	zc
再	zd
责	ze
怎	zf
增	zg
脏	zh
子	zi
咱	zj
做	zo
钻	zr
总	zs
组	zu
最	zv
贼	zw
走	zz
锕	aac
腌	aak
吖	aav
盎	ahf
肮	ahk
卬	ahz
挨	aia
哀	aib
锿	aic
埃	aie
碍	aig
矮	aij
艾	aim
霭	air
欸	ait
嫒	aiu
哎	aiv
叆	aiw
癌	aiy
暧	aiz
按	ana
鹌	anb
铵	anc
岸	and
垵	ane
黯	ang
𩽾	anh
氨	ani
胺	ank
桉	anl
盦	anm
俺	ano
案	anq
谙	anr
犴	ant
唵	anv
庵	any
暗	anz
拗	aoa
璈	aob
坳	aoe
凹	aof
翱	aog
袄	aoi
薁	aom
懊	aon
傲	aoo
鏖	aop
澳	aos
媪	aou
嗷	aov
熬	aow
廒	aoy
隩	aoz
把	baa
钯	bac
笆	bad
坝	bae
羓	bah
跋	baj
胈	bak
朳	bal
芭	bam
耙	ban
爸	bap
罢	baq
霸	bar
灞	bas
粑	bat
妭	bau
叭	bav
疤	bay
巴	baz
缤	bba
玢	bbb
斌	bbc
豳	bbd
殡	bbg
髌	bbj
膑	bbk
槟	bbl
傧	bbo
邠	bbp
滨	bbs
鬓	bbw
抱	bca
褒	bcb
包	bcf
鲍	bch
褓	bci
龅	bcj
胞	bck
枹	bcl
