啊	a
不	b
才	c
的	d
而	e
发	f
个	g
和	h
是	i
就	j
看	k
了	l
没	m
你	n
哦	o
拍	p
去	q
人	r
所	s
他	t
吃	u
中	v
我	w
小	x
有	y
在	z
阿	aa
奥	ad
安	af
昂	ag
爱	as
吧	ba
保	bd
办	bf
帮	bg
比	bi
边	bj
表	bk
宾	bl
别	bm
博	bo
并	bq
本	br
白	bs
崩	bt
部	bu
被	bw
擦	ca
窜	cc
草	cd
策	ce
参	cf
藏	cg
次	ci
错	co
凑	cp
岑	cr
菜	cs
曾	ct
促	cu
脆	cv
从	cy
村	cz
大	da
嗲	db
断	dc
到	dd
得	de
但	df
当	dg
的	di
点	dj
掉	dk
爹	dm
丢	dn
多	do
都	dp
定	dq
扽	dr
带	ds
等	dt
都	du
对	dv
得	dw
动	dy
顿	dz
恶	ee
儿	eq
恩	er
欸	ew
法	fa
反	ff
方	fg
佛	fo
否	fp
分	fr
风	ft
复	fu
非	fw
尬	ga
挂	gb
关	gc
高	gd
各	ge
感	gf
刚	gg
光	gh
过	go
够	gp
跟	gr
该	gs
更	gt
故	gu
规	gv
给	gw
怪	gx
工	gy
滚	gz
哈	ha
话	hb
欢	hc
好	hd
合	he
汉	hf
行	hg
黄	hh
活	ho
后	hp
很	hr
还	hs
哼	ht
护	hu
会	hv
黑	hw
坏	hx
红	hy
婚	hz
杀	ia
刷	ib
拴	ic
少	id
社	ie
山	if
上	ig
双	ih
时	ii
说	io
手	ip
什	ir
晒	is
生	it
书	iu
水	iv
谁	iw
帅	ix
顺	iz
家	jb
卷	jc
将	jh
己	ji
见	jj
叫	jk
进	jl
结	jm
久	jn
经	jq
据	ju
觉	jx
窘	jy
军	jz
卡	ka
夸	kb
款	kc
考	kd
可	ke
刊	kf
康	kg
况	kh
扩	ko
口	kp
肯	kr
开	ks
坑	kt
苦	ku
亏	kv
快	kx
空	ky
困	kz
啦	la
俩	lb
乱	lc
老	ld
乐	le
兰	lf
浪	lg
两	lh
里	li
了	lk
林	ll
列	lm
流	ln
罗	lo
楼	lp
领	lq
来	ls
冷	lt
路	lu
律	lv
类	lw
略	lx
龙	ly
论	lz
吗	ma
毛	md
么	me
满	mf
忙	mg
米	mi
面	mj
妙	mk
民	ml
灭	mm
谬	mn
模	mo
某	mp
明	mq
们	mr
买	ms
梦	mt
目	mu
美	mw
那	na
暖	nc
脑	nd
呢	ne
难	nf
嗯	ng
娘	nh
尼	ni
年	nj
鸟	nk
您	nl
捏	nm
牛	nn
诺	no
耨	np
宁	nq
嫩	nr
奶	ns
能	nt
努	nu
女	nv
内	nw
虐	nx
农	ny
噢	oo
欧	ou
怕	pa
跑	pd
判	pf
胖	pg
皮	pi
片	pj
票	pk
品	pl
撇	pm
破	po
剖	pp
平	pq
盆	pr
排	ps
朋	pt
普	pu
配	pw
恰	qb
全	qc
强	qh
起	qi
前	qj
瞧	qk
亲	ql
切	qm
求	qn
情	qq
区	qu
确	qx
穷	qy
群	qz
软	rc
扰	rd
热	re
然	rf
让	rg
日	ri
若	ro
肉	rp
认	rr
仍	rt
如	ru
瑞	rv
容	ry
润	rz
萨	sa
算	sc
扫	sd
色	se
三	sf
桑	sg
死	si
索	so
搜	sp
森	sr
赛	ss
僧	st
诉	su
随	sv
送	sy
孙	sz
她	ta
团	tc
讨	td
特	te
谈	tf
堂	tg
体	ti
天	tj
条	tk
铁	tm
托	to
头	tp
听	tq
太	ts
疼	tt
图	tu
推	tv
同	ty
吞	tz
查	ua
传	uc
超	ud
车	ue
产	uf
常	ug
创	uh
持	ui
戳	uo
抽	up
沉	ur
拆	us
成	ut
出	uu
吹	uv
揣	ux
重	uy
春	uz
炸	va
抓	vb
转	vc
这	ve
展	vf
长	vg
装	vh
知	vi
着	vo
周	vp
真	vr
宅	vs
正	vt
主	vu
追	vv
拽	vx
种	vy
准	vz
哇	wa
晚	wf
望	wg
握	wo
问	wr
外	ws
翁	wt
无	wu
为	ww
下	xb
选	xc
想	xh
西	xi
现	xj
笑	xk
心	xl
些	xm
修	xn
行	xq
许	xu
学	xx
寻	xz
呀	ya
员	yc
要	yd
也	ye
眼	yf
样	yg
一	yi
因	yl
哟	yo
又	yp
应	yq
于	yu
月	yx
用	yy
运	yz
杂	za
钻	zc
早	zd
责	ze
咱	zf
脏	zg
子	zi
作	zo
走	zp
怎	zr
再	zs
增	zt
组	zu
最	zv
贼	zw
尊	zz
腌	aaf
锕	aai
吖	aat
拗	ada
熬	adg
璈	adh
鏖	adi
袄	adj
懊	adk
凹	adm
澳	adn
傲	ado
坳	adp
媪	adr
薁	ads
嗷	adt
廒	adu
隩	adz
按	afa
暗	afb
桉	afc
岸	afe
胺	aff
铵	afi
黯	afj
俺	afo
案	afp
唵	aft
庵	afu
谙	afw
鹌	afx
鞍	afz
肮	agf
盎	agl
卬	agz
挨	asa
暧	asb
碍	asd
叆	asg
哀	ash
锿	asi
皑	asj
矮	asn
埃	asp
欸	asr
艾	ass
哎	ast
癌	asu
霭	asv
隘	asz
把	baa
朳	bac
粑	bad
岜	bae
胈	baf
跋	bag
罢	bah
钯	bai
耙	bal
蚆	bam
灞	ban
坝	bap
巴	bar
芭	bas
叭	bat
疤	bau
霸	bav
魃	bax
笆	bay
爸	baz
报	bda
暴	bdb
枹	bdc
胞	bdf
龅	bdg
褒	bdh
褓	bdj
包	bdl
瀑	bdn
爆	bdo
宝	bdp
鸨	bdq
薄	bds
雹	bdv
饱	bdx
豹	bdz
搬	bfa
昄	bfb
板	bfc
版	bfe
班	bfh
钣	bfi
般	bfk
瓣	bfn
