1.0调整版与当前原布局版：二简位对照

对照1.0正式单字版与54实验t1_projection。1.0对照副本与D盘现有正式表逐字节一致。比较实际导出的二码，不按最短码推断；包含已有一简字同时占二简的情况。
单字二简位：1.0共398个，当前397个；283个相同，114个换字，1个腾空，0个新增。此为版本间差异，不代表全部由本次删根造成。

二简：ba  1.0：把  当前：吧  
二简：bb  1.0：斌  当前：宾  此前允许待定
二简：bc  1.0：报  当前：保  此前允许待定
二简：bg  1.0：蹦  当前：崩  
二简：bj  1.0：般  当前：办  
二简：bo  1.0：波  当前：博  
二简：ce  1.0：测  当前：策  
二简：ci  1.0：此  当前：次  
二简：cj  1.0：残  当前：参  
二简：cu  1.0：粗  当前：促  
二简：cy  1.0：存  当前：村  
二简：di  1.0：地  当前：的  已裁定改地；本实验原表尚未应用
二简：dp  1.0：跌  当前：爹  
二简：du  1.0：度  当前：都  
二简：eh  1.0：鹤  当前：空  当前没有该二简
二简：en  1.0：嗯  当前：恩  
二简：er  1.0：二  当前：儿  
二简：fh  1.0：放  当前：方  
二简：fj  1.0：饭  当前：反  
二简：fu  1.0：副  当前：复  2.0已明确固定复
二简：ga  1.0：嘎  当前：尬  
二简：gj  1.0：干  当前：感  
二简：gs  1.0：公  当前：工  
二简：gu  1.0：古  当前：故  
二简：gv  1.0：归  当前：规  
二简：he  1.0：喝  当前：合  
二简：hg  1.0：横  当前：哼  
二简：ho  1.0：或  当前：活  
二简：hr  1.0：换  当前：欢  
二简：hu  1.0：户  当前：护  
二简：hy  1.0：混  当前：婚  
二简：ia  1.0：差  当前：查  
二简：if  1.0：陈  当前：沉  
二简：ik  1.0：踹  当前：揣  
二简：il  1.0：窗  当前：创  
二简：ir  1.0：穿  当前：传  
二简：is  1.0：冲  当前：重  
二简：iy  1.0：纯  当前：春  1.0曾人工调整为纯
二简：jb  1.0：金  当前：进  
二简：ji  1.0：及  当前：己  
二简：jk  1.0：竟  当前：经  
二简：jp  1.0：接  当前：结  
二简：jt  1.0：绝  当前：觉  
二简：jx  1.0：加  当前：家  
二简：jy  1.0：君  当前：军  
二简：kc  1.0：靠  当前：考  
二简：kh  1.0：抗  当前：康  
二简：kj  1.0：砍  当前：刊  
二简：kl  1.0：狂  当前：况  
二简：ko  1.0：括  当前：扩  
二简：kr  1.0：宽  当前：款  
二简：ku  1.0：哭  当前：苦  
二简：kx  1.0：跨  当前：夸  
二简：la  1.0：拉  当前：啦  
二简：lh  1.0：郎  当前：浪  
二简：lk  1.0：令  当前：领  
二简：lm  1.0：连  当前：联  
二简：ln  1.0：聊  当前：了  
二简：lq  1.0：刘  当前：流  
二简：lv  1.0：率  当前：律  
二简：mc  1.0：猫  当前：毛  
二简：mk  1.0：名  当前：明  
二简：mn  1.0：秒  当前：妙  
二简：mo  1.0：摸  当前：模  
二简：mu  1.0：木  当前：目  
二简：nc  1.0：闹  当前：脑  
二简：ni  1.0：泥  当前：尼  
二简：nj  1.0：男  当前：难  
二简：ns  1.0：弄  当前：农  
二简：nu  1.0：怒  当前：努  
二简：pf  1.0：喷  当前：盆  
二简：pg  1.0：碰  当前：朋  
二简：ph  1.0：旁  当前：胖  
二简：pj  1.0：盘  当前：判  
二简：pk  1.0：屏  当前：平  
二简：pu  1.0：扑  当前：普  
二简：qi  1.0：其  当前：起  
二简：qk  1.0：请  当前：情  
二简：qn  1.0：敲  当前：瞧  
二简：qp  1.0：且  当前：切  
二简：qt  1.0：却  当前：确  
二简：qu  1.0：取  当前：区  1.0曾人工调整为取
二简：rc  1.0：绕  当前：扰  
二简：rf  1.0：任  当前：认  
二简：si  1.0：斯  当前：死  
二简：su  1.0：苏  当前：诉  
二简：tc  1.0：套  当前：讨  
二简：th  1.0：汤  当前：堂  
二简：ti  1.0：提  当前：体  
二简：to  1.0：拖  当前：托  
二简：ts  1.0：通  当前：同  
二简：ua  1.0：沙  当前：杀  
二简：ue  1.0：射  当前：社  
二简：uf  1.0：深  当前：什  
二简：uk  1.0：率  当前：帅  
二简：ur  1.0：涮  当前：拴  
二简：vh  1.0：张  当前：长  
二简：vi  1.0：之  当前：知  
二简：vj  1.0：站  当前：展  
二简：vo  1.0：桌  当前：着  
二简：wa  1.0：挖  当前：哇  
二简：wh  1.0：王  当前：望  
二简：wj  1.0：完  当前：晚  
二简：xb  1.0：新  当前：心  
二简：xi  1.0：系  当前：西  
二简：xm  1.0：先  当前：现  
二简：xs  1.0：熊  当前：兄  
二简：ya  1.0：牙  当前：呀  
二简：yr  1.0：元  当前：员  
二简：yu  1.0：与  当前：于  
二简：yy  1.0：云  当前：运  
二简：ze  1.0：则  当前：责  
二简：zh  1.0：藏  当前：脏  
二简：zi  1.0：自  当前：子  
二简：zo  1.0：做  当前：作  
