汉字	完整拆分	首根	末根
㑇	亻 ＋ ⺈ ＋ 彐	亻	彐
㑊	亻 ＋ 亦	亻	亦
㕮	口 ＋ 八 ＋ 㐅	口	㐅
㘎	口 ＋ 门 ＋ 折 ＋ 耳 ＋ 攵	口	攵
㙍	土 ＋ 又 ＋ 又 ＋ 又 ＋ 又	土	又
㙘	土 ＋ 覀 ＋ 女	土	女
㙦	全字头 ＋ 于 ＋ 八 ＋ 冬字底 ＋ 十 ＋ 土	全字头	土
㛃	丰 ＋ 刀 ＋ 女	丰	女
㛚	女 ＋ 龴 ＋ 甬字底	女	甬字底
㛹	女 ＋ 亻 ＋ 一 ＋ 日 ＋ 㐅	女	㐅
㟃	山 ＋ 折 ＋ 一 ＋ 口	山	口
㠇	山 ＋ 亠 ＋ 口 ＋ 小 ＋ 尤	山	尤
㠓	山 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	山	豕
㤘	忄 ＋ ⺈ ＋ 彐	忄	彐
㥄	忄 ＋ 土 ＋ 八 ＋ 夂	忄	夂
㧐	扌 ＋ 又 ＋ 又	扌	又
㧑	扌 ＋ 为	扌	为
㧟	扌 ＋ 氵 ＋ 匚	扌	匚
㫰	日 ＋ 丶 ＋ 艮	日	艮
㬊	日 ＋ 爫 ＋ 一 ＋ 𠂇 ＋ 又	日	又
㬎	日 ＋ 幺 ＋ 幺 ＋ 灬	日	灬
㬚	日 ＋ 亠 ＋ 厶 ＋ ⺝ ＋ 攵	日	攵
㭎	木 ＋ 冂 ＋ 㐅	木	㐅
㭕	木 ＋ 土 ＋ 厶	木	厶
㮾	丶 ＋ 即字旁 ＋ 月 ＋ 木	丶	木
㰀	木 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	木	氺
㳇	氵 ＋ 八 ＋ 㐅	氵	㐅
㳘	氵 ＋ 亠 ＋ 厶 ＋ 儿	氵	儿
㳚	氵 ＋ 戊 ＋ 点	氵	点
㴔	氵 ＋ ⺈ ＋ 彐 ＋ 心	氵	心
㵐	氵 ＋ 厂 ＋ 丷 ＋ 一 ＋ 凵 ＋ 丿 ＋ ⺈ ＋ 人	氵	人
㶲	火 ＋ 用	火	用
㸆	火 ＋ ⺧ ＋ 口 ＋ 非	火	非
㸌	火 ＋ ⻗ ＋ 隹	火	隹
㺄	犭 ＋ 全字头 ＋ 一 ＋ ⺝ ＋ 刂	犭	刂
㻬	王 ＋ ⻗ ＋ 二 ＋ 折	王	折
㽏	氵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 甘	氵	甘
㿠	白 ＋ ⺌ ＋ 兀	白	兀
䁖	目 ＋ 米 ＋ 女	目	女
䂮	丰 ＋ 刀 ＋ 石	丰	石
䃅	石 ＋ 单	石	单
䃎	石 ＋ 大 ＋ 夕 ＋ 夕	石	夕
䅟	禾 ＋ 厶 ＋ 大 ＋ 彡	禾	彡
䌹	纟 ＋ 冂 ＋ 口	纟	口
䎃	冂 ＋ 土 ＋ 习 ＋ 习	冂	习
䎖	丷 ＋ 囗 ＋ ⺌ ＋ 日 ＋ 习 ＋ 习	丷	习
䏝	月 ＋ 二 ＋ 折 ＋ 点	月	点
䏡	月 ＋ 示	月	示
䏲	月 ＋ 弟	月	弟
䐃	月 ＋ 囗 ＋ 禾	月	禾
