字词	编码	原候选位
(*ˉ﹃ˉ)	ofyw	38
o(´^｀)o	ofyw	37
（￣へ￣）	ofyw	36
.╮(﹀_﹀”)╭	ofyw	35
Σ(￣。￣ﾉ)ﾉ	ofyw	34
 〜(￣△￣〜) (〜￣△￣)〜	ofyw	33
 ( ´•︵•` )	ofyw	32
(ಥ_ಥ)	ofyw	31
(๑•́ ₃ •̀๑)	ofyw	30
(●′ω`●)	ofyw	29
(｡ﾉω＼｡)ﾟ	ofyw	28
ლ(>◡<ლ )	ofyw	27
(ಠ .̫.̫ ಠ)	ofyw	26
(╯‵□′)╯︵ ┴─┴	ofyw	25
( ╯-_-)╯~┴─┴	ofyw	24
(๑´ڡ`๑)	ofyw	23
(￣ε￣)	ofyw	22
乛 з乛	ofyw	21
 (づ￣ 3￣)づ	ofyw	20
◔ д◔ ？	ofyw	19
( ´◔ ω◔`)	ofyw	18
o(>ω<)o	ofyw	17
凸(艹皿艹 )	ofyw	16
(;￢д￢)	ofyw	15
(눈_눈)	ofyw	14
(╥╯^╰╥)	ofyw	13
 ┬＿┬	ofyw	12
ε(┬┬＿┬┬)3	ofyw	11
 ,,Ծ‸Ծ,,	ofyw	10
(ง •̀_•́)ง	ofyw	9
之奇	viqi	9
之香	vixl	9
Σ(っ °Д °;)っ	ofyw	8
之妻	viqi	8
之掌	vivh	8
之屋	viwu	8
之乡	vixl	8
之士	viui	8
之利	vili	8
之树	viuu	8
遗患	yihr	8
仪仗	yivh	8
译注	yivu	8
臆想	yixl	8
以西	yixi	8
移植	yivi	8
Σ( ￣д￣；) ！！！	ofyw	7
之弊	vibi	7
之刀	vidc	7
之脚	vijn	7
之阶	vijp	7
之礼	vili	7
之鸣	vimk	7
之贫	vipb	7
之期	viqi	7
之求	viqq	7
之盛	viug	7
之书	viuu	7
之政	vivg	7
之章	vivh	7
之职	vivi	7
之舞	viwu	7
之息	vixi	7
之象	vixl	7
之限	vixm	7
之爷	viye	7
之缘	viyr	7
之于	viyu	7
之右	viyz	7
之资	vizi	7
易患	yihr	7
一触就破	yijp	7
异瞳	yits	7
已占	yivj	7
易主	yivu	7
之势	viui	7
之箭	vijm	7
疑兵	yibk	7
异数	yiuu	7
易手	yiuz	7
已知	yivi	7
议席	yixi	7
异教	yijn	7
意象	yixl	7
移居	yiju	7
积聚	jiju	7
计量	jill	7
右翼	yzyi	7
议长	yivh	7
医师	yiui	7
绝不容忍	jbrr	6
基础建设	jiju	6
╮(๑•́ ₃•̀๑)╭	ofyw	6
爬灰	pahv	6
清朝画质	qihv	6
之岛	vidc	6
之典	vidm	6
之东	vids	6
之罚	vifa	6
之河	vihe	6
之湖	vihu	6
之悔	vihv	6
之淳	viiy	6
之计	viji	6
之剑	vijm	6
之交	vijn	6
之界	vijp	6
之诀	vijt	6
之壳	vike	6
之理	vili	6
之命	vimk	6
之南	vinj	6
之拼	vipb	6
之气	viqi	6
之秋	viqq	6
之趣	viqu	6
之寺	visi	6
之伤	viuh	6
之事	viui	6
之术	viuu	6
之手	viuz	6
之证	vivg	6
之杖	vivh	6
之志	vivi	6
之珠	vivu	6
之物	viwu	6
之味	viww	6
之西	vixi	6
之相	vixl	6
之先	vixm	6
之业	viye	6
之样	viyh	6
之远	viyr	6
之语	viyu	6
之友	viyz	6
之字	vizi	6
卍解	wjjp	6
系着	xive	6
项目背景	xmbj	6
已结	yijp	6
要出来了	yill	6
已送	yiss	6
依随	yisv	6
愚蠢至极	yivj	6
已晚	yiwj	6
已向	yixl	6
又臭又长	yiyi	6
臆症	yivg	6
精诚所至	jisv	6
乙流	yilq	6
击键	jijm	6
之笔	vibi	6
之谊	viyi	6
以备	yibw	6
鸡架	jijx	6
以对	yidv	6
衣摆	yibd	6
异兽	yiuz	6
疑阵	yivf	6
以太	yitd	6
基酒	jijq	6
阴盛阳衰	yuyu	6
之声	viug	6
依言	yiyj	6
齐肩	qijm	6
商道	uhdc	6
逸闻	yiwf	6
极值	jivi	6
驿道	yidc	6
遗毒	yidu	6
癔病	yibk	6
遗照	yivc	6
倚仗	yivh	6
医患	yihr	6
宜居	yiju	6
衣角	yijn	6
奇数	jiuu	6
异同	yits	6
复议	fuyi	6
起疑	qiyi	6
运筹帷幄	yiww	6
集镇	jivf	6
