啊啊啊啊	aaaa
啊！”	aaae
阿爸	aaba
阿宝	aabc
阿鼻	aabi
阿炳	aabk
阿冰	aabk
阿伯	aabo
傲岸不群	aabq
皑皑白雪	aabx
嗷嗷待哺	aadb
安安定定	aadd
阿迪	aadi
阿爹	aadp
暗暗点头	aadt
阿斗	aadz
安安分分	aaff
哀哀父母	aafm
阿福	aafu
阿哥	aage
阿甘	aagj
阿公	aags
阿姑	aagu
暗暗高兴	aagx
阿狗	aagz
啊哈	aaha
阿黄	aahl
阿訇	aahs
阿黑	aahw
阿城	aaig
暗暗吃惊	aaij
暗暗称奇	aaiq
阿金	aajb
安安静静	aajj
挨挨挤挤	aajj
阿娇	aajn
阿姐	aajp
阿舅	aajq
阿轲	aake
阿夸	aakx
阿拉	aala
阿郎	aalh
阿里	aali
阿狸	aali
啊咧	aalp
阿龙	aals
啊嘞	aalw
阿妈	aama
阿门	aamf
阿蒙	aamg
阿曼	aamj
阿瞒	aamj
阿妹	aamw
阿宁	aank
阿娘	aanl
阿诺	aano
啊哦	aaoo
暗暗佩服	aapf
阿片	aapm
阿飘	aapn
阿婆	aapo
矮矮胖胖	aapp
啊呸	aapw
暗暗祈祷	aaqd
阿青	aaqk
阿强	aaql
安安全全	aaqq
哀哀切切	aaqq
暗暗庆幸	aaqx
阿嫂	aasc
暗暗思忖	aasc
啊……”	aase
阿瑟	aase
阿桑	aash
阿三	aasj
阿汤	aath
阿嚏	aati
啊嚏	aati
凹凹凸凸	aatt
阿婶	aauf
阿衰	aauk
阿叔	aauu
矮矮实实	aauu
阿珍	aavf
阿朱	aavu
啊？”	aawe
啊呜	aawu
阿伟	aaww
安安稳稳	aaww
阿兄	aaxs
安安心心	aaxx
啊呀	aaya
阿银	aayb
阿爷	aaye
阿姨	aayi
哀哀欲绝	aayj
啊哟	aayo
安安逸逸	aayy
腌臜	aaza
阿梓	aazi
阿紫	aazi
阿祖	aazu
肮肮脏脏	aazz
阿巴阿巴	abab
安不安全	abaq
哀兵必败	abbb
按兵不动	abbd
哀兵必胜	abbu
安保措施	abcu
安邦定国	abdg
安步当车	abdi
熬不动了	abdl
阿鼻地狱	abdy
熬不过去	abgq
奥本海默	abhm
艾宾浩斯	abhs
艾宾浩斯记忆曲线	abhx
阿布哈兹	abhz
熬不出头	abit
按部就班	abjb
也不仅是	abjs
安倍晋三	abjs
爱别离苦	ablk
鞍不离马	ablm
阿波罗登月	ably
爱不忍释	abru
爱兵如子	abrz
爱不释手	abuu
阿布扎比	abvb
挨不着边	abvb
安邦治国	abvg
俺不中嘞	abvl
安不忘危	abww
敖包相会	abxh
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱答不理	adbl
啊对对对	addd
阿迪达斯	adds
爱的供养	adgy
艾迪霍尔	adhe
安定和谐	adhx
暗渡陈仓	adic
暗度陈仓	adic
按道理讲	adlj
按道理来讲	adlj
熬到了头	adlt
按道理说	adlu
按道理来说	adlu
案牍劳形	adlx
澳大利亚	adly
安东尼奥	adna
安定人心	adrx
安第斯山	adsu
安定团结	adtj
挨冻受饿	adue
挨打受骂	adum
爱的实验室	aduu
奥迪双钻	aduz
案牍之劳	advl
黯淡无光	adwg
暗淡无光	adwg
安度晚年	adwn
爱得要死	adys
安定有序	adyx
阿尔卑斯	aebs
阿尔伯特	aebt
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔茨海默病	aecb
艾尔登法环	aedh
阿尔都塞	aeds
阿尔法狗	aefg
阿尔及尔	aeje
阿尔金山	aeju
阿尔及利亚	aejy
阿尔卡特	aekt
爱尔兰岛	aeld
挨饿受冻	aeud
爱尔维修	aewx
安抚安抚	afaf
案发地点	afdd
案发当天	afdt
埃菲尔铁塔	afet
阿房宫赋	afgf
阿伏加德罗	afjl
阿伏加德罗常数	afju
阿非利加	aflj
安抚人心	afrx
