aaaa	啊啊啊啊
aaae	啊！”
aaba	阿爸
aabc	阿宝
aabi	阿鼻
aabk	阿炳
aabk	阿冰
aabo	阿伯
aabq	傲岸不群
aabx	皑皑白雪
aadb	嗷嗷待哺
aadd	安安定定
aadi	阿迪
aadp	阿爹
aadt	暗暗点头
aadz	阿斗
aaff	安安分分
aafm	哀哀父母
aafu	阿福
aage	阿哥
aagj	阿甘
aags	阿公
aagu	阿姑
aagx	暗暗高兴
aagz	阿狗
aaha	啊哈
aahl	阿黄
aahs	阿訇
aahw	阿黑
aaig	阿城
aaij	暗暗吃惊
aaiq	暗暗称奇
aajb	阿金
aajj	安安静静
aajj	挨挨挤挤
aajn	阿娇
aajp	阿姐
aajq	阿舅
aake	阿轲
aakx	阿夸
aala	阿拉
aalh	阿郎
aali	阿里
aali	阿狸
aalp	啊咧
aals	阿龙
aalw	啊嘞
aama	阿妈
aamf	阿门
aamg	阿蒙
aamj	阿曼
aamj	阿瞒
aamw	阿妹
aank	阿宁
aanl	阿娘
aano	阿诺
aaoo	啊哦
aapf	暗暗佩服
aapm	阿片
aapn	阿飘
aapo	阿婆
aapp	矮矮胖胖
aapw	啊呸
aaqd	暗暗祈祷
aaqk	阿青
aaql	阿强
aaqq	安安全全
aaqq	哀哀切切
aaqx	暗暗庆幸
aasc	阿嫂
aasc	暗暗思忖
aase	啊……”
aase	阿瑟
aash	阿桑
aasj	阿三
aath	阿汤
aati	阿嚏
aati	啊嚏
aatt	凹凹凸凸
aauf	阿婶
aauk	阿衰
aauu	阿叔
aauu	矮矮实实
aavf	阿珍
aavu	阿朱
aawe	啊？”
aawu	啊呜
aaww	阿伟
aaww	安安稳稳
aaxs	阿兄
aaxx	安安心心
aaya	啊呀
aayb	阿银
aaye	阿爷
aayi	阿姨
aayj	哀哀欲绝
aayo	啊哟
aayy	安安逸逸
aaza	腌臜
aazi	阿梓
aazi	阿紫
aazu	阿祖
aazz	肮肮脏脏
abab	阿巴阿巴
abaq	安不安全
abbb	哀兵必败
abbd	按兵不动
abbu	哀兵必胜
abcu	安保措施
abdg	安邦定国
abdi	安步当车
abdl	熬不动了
abdy	阿鼻地狱
abgq	熬不过去
abhm	奥本海默
abhs	艾宾浩斯
abhx	艾宾浩斯记忆曲线
abhz	阿布哈兹
abit	熬不出头
abjb	按部就班
abjs	也不仅是
abjs	安倍晋三
ablk	爱别离苦
ablm	鞍不离马
ably	阿波罗登月
abru	爱不忍释
abrz	爱兵如子
abuu	爱不释手
abvb	阿布扎比
abvb	挨不着边
abvg	安邦治国
abvl	俺不中嘞
abww	安不忘危
abxh	敖包相会
acrk	爱才若渴
acrm	爱财如命
acuj	暗藏杀机
acxj	暗藏玄机
adbl	爱答不理
