级别	频率	字	现拆分	处置(留空待填)
L3	41082993	我	㇒ 扌 6 ㇒ ㇏	
L3	11869898	与	1 5 1	
L3	10735161	被	衤 5 3 2 又	
L3	8249156	最	日 1 2 2 三 又	
L3	7533527	下	1 2 4	
L3	6062185	之	㇏ 5 4	
L3	5229354	第	⺮ 5 1 5 2 3	
L3	4751858	书	5 5 2 ㇏	
L3	4498811	所	㇒ 3 5 1 斤	
L3	4255882	才	1 2 3	
L3	3300348	已	5 1 6	
L3	2895601	起	土 2 1 3 4 己	
L3	2768197	万	1 5 3	
L3	2669145	事	1 口 5 二 2	
L3	2306286	场	土 5 3 3	
L3	2304485	真	十 2 5 三 1 八	
L3	2113122	写	冖 1 5 1	
L3	1976264	卡	2 二 2 4	
L3	1735869	值	亻 十 2 5 三 1	
L3	1717927	越	土 2 1 3 4 1 6 6 ㇒ ㇏	
L3	1679740	超	土 2 1 3 4 刀 口	
L3	1615554	管	⺮ 宀 2 5 1 5 1	
L3	1516157	率	亠 6 厶 冫 ㇒ 4 十	
L3	1497221	感	厂 1 口 6 ㇒ ㇏ 心	
L3	1463941	表	龶 3 6 ㇒ ㇏	
L3	1360734	喝	口 日 3 5 人 6	
L3	1359367	题	日 1 2 1 3 4 1 3 贝	
L3	1268340	哦	口 ㇒ 扌 6 ㇒ ㇏	
L3	1265141	穿	宀 八 1 6 2 3	
L3	1193707	亚	1 2 ⺌ 1	
L3	1177994	汤	氵 5 3 3	
L3	1146828	球	王 1 2 冫 ㇒ 4 ㇏	
L3	1145106	师	2 3 1 巾	
L3	1075325	民	5 1 6 1 6	
L3	1072698	求	1 2 冫 ㇒ 4 ㇏	
L3	1043140	展	尸 艹 1 6 ㇒ ㇏	
L3	1031719	岛	3 5 ㇏ 5 山	
L3	980808	镇	钅 十 2 5 三 1 八	
L3	947691	直	十 2 5 三 1	
L3	926677	联	1 2 2 三 丷 1 大	
L3	925354	身	3  1 ㇒	
L3	918917	饭	⺈ 6 ㇒ 3 又	
L3	914810	州	㇏ 八 2 ㇏ 2	
L3	913858	久	3 5 ㇏	
L3	891630	杨	木 5 3 3	
L3	857363	团	囗 1 2 3	
L3	854684	波	氵 5 3 2 又	
L3	835449	皮	5 3 2 又	
L3	822340	画	1 田 6 2	
L3	817674	留	㇒ 6 ㇏ 刀 田	
L3	804109	必	㇏ 6 ㇏ 八	
L3	803546	取	1 2 2 三 又	
L3	782596	具	2 5 三 1 八	
L3	746594	养	丷 1 夫 3 2	
L3	744451	步	 2 3 3	
L3	743334	普	丷 1 2 ⺌ 1 日	
L3	734915	领	𠆢 ㇏ 龴 1 3 贝	
L3	725648	飞	6 ㇒ 4	
L3	713800	脸	月 𠆢 1 ㇏ 丷 1	
L3	690317	影	日 亠 口 小 ㇒ ㇒ ㇒	
L3	674900	川	3 2 2	
L3	674620	降	阝 夂 1 6 2	
L3	667634	涨	氵 5 1 5 长	
L3	662252	派	氵 ㇒ 3 ㇒ 6 ㇒ ㇏	
L3	661283	呀	口 1 6 2 3	
L3	653975	官	宀 2 5 1 5 1	
L3	649903	形	1 𠂇 2 ㇒ ㇒ ㇒	
L3	648534	预	龴 5 2 1 3 贝	
L3	645763	赵	土 2 1 3 4 乂	
L3	642771	修	亻 2 夂 ㇒ ㇒ ㇒	
L3	628859	破	石 5 3 2 又	
L3	616314	瓦	1 6 ㇈ ㇏	
L3	608715	烧	火 1 6 ㇒ 1 儿	
L3	603378	参	厶 大 ㇒ ㇒ ㇒	
L3	577757	旅	方 𠂉 ㇒ 6 ㇒ ㇏	
L3	575428	康	广 5 二 2 冫 ㇒ 4	
L3	572733	财	贝 1 2 3	
L3	559237	桥	木 ㇒ 大 3 2	
L3	557240	泰	三 人 2 冫 ㇒ 4	
L3	526281	蓝	艹 2 2 𠂉 ㇏ 皿	
L3	522248	练	纟 1 6 5 八	
L3	522229	假	亻 5 1 2 二 5 1 又	
L3	521814	摄	扌 1 2 2 三 又 又	
L3	517061	顿	1 6 2 6 1 3 贝	
L3	506374	乡	6 6 3	
L3	498289	融	1 口 冂 丷 1 2 虫	
L3	482032	威	厂 1 女 6 ㇒ ㇏	
L3	479526	减	冫 厂 1 口 6 ㇒ ㇏	
L3	477904	谢	讠 3  1 ㇒ 寸	
L3	477562	险	阝 𠆢 1 ㇏ 丷 1	
L3	473019	追	3 2 5 1 5 1 辶	
L3	472257	既	彐 6 ㇏ 1 6 儿	
L3	466554	纯	纟 1 6 2 6	
L3	463754	永	㇏ 5 5 ㇒ ㇏	
L3	462663	绿	纟  2 冫 ㇒ 4	
L3	462610	馆	⺈ 6 宀 2 5 1 5 1	
L3	456972	雨	1 巾 4 4 4 4	
