字	独立率	说明: 5%~50%灰色区,当前默认保护(字在词前),可手工改判
傣	5.2%
瞅	5.4%
襄	5.7%
竖	5.7%
喟	5.8%
毅	6.1%
蕖	6.3%
翔	6.3%
葸	6.4%
桀	6.7%
圃	6.8%
皎	7.2%
歼	7.3%
嗫	7.4%
骈	7.7%
贱	8.0%
嫔	8.3%
镀	8.4%
矢	8.7%
丘	8.7%
苞	9.0%
擢	9.3%
帛	9.6%
淙	10.2%
鲸	10.5%
燕	10.5%
漆	11.0%
酆	11.1%
麸	11.8%
恣	12.0%
煦	12.0%
舷	12.4%
蟾	12.6%
恪	12.7%
蓉	12.9%
膂	13.2%
咿	13.4%
吠	13.5%
驿	13.6%
遽	13.9%
秫	14.0%
溽	14.4%
诮	14.4%
蓖	14.6%
珈	15.0%
刃	16.1%
茧	16.3%
伟	16.3%
峒	16.6%
璧	17.1%
凛	17.8%
枥	18.1%
弩	18.4%
帙	18.4%
茬	18.6%
沪	18.9%
潼	19.2%
踮	19.2%
熹	19.3%
缕	19.5%
剁	20.1%
魈	20.4%
瓢	20.8%
掎	21.8%
揪	22.0%
敉	22.0%
蘖	22.1%
肾	22.4%
璎	22.8%
逾	22.9%
盯	22.9%
桨	23.0%
甫	23.6%
蜮	23.6%
佑	24.0%
窖	24.2%
锭	24.6%
愠	24.6%
煅	24.8%
倭	24.8%
汁	25.0%
倚	25.1%
梨	25.4%
谒	25.6%
伊	25.8%
廪	25.8%
珀	25.9%
楣	26.2%
桅	26.3%
谗	26.5%
氙	26.6%
荜	26.8%
咻	27.2%
遁	27.2%
癸	28.1%
炕	28.1%
喂	28.2%
氰	28.3%
楹	28.3%
骂	29.1%
鸥	29.2%
瓴	29.5%
蟊	29.5%
赣	29.8%
撂	29.8%
壕	29.8%
豢	30.1%
搓	30.3%
侗	30.5%
稠	30.8%
渥	31.4%
鸷	31.5%
巍	31.8%
沏	32.4%
闽	32.6%
戍	32.9%
漾	33.6%
邈	33.7%
萤	34.2%
魑	34.7%
鹇	34.7%
樟	34.9%
蛭	35.6%
嫣	36.1%
碴	36.7%
岳	37.2%
跖	37.4%
熏	37.7%
栉	37.7%
黹	38.2%
跸	38.2%
逑	38.2%
鸠	38.8%
煎	39.0%
蓟	39.8%
劬	40.0%
鹁	40.1%
殷	40.2%
綮	40.6%
颐	41.0%
溅	41.2%
筮	41.7%
掳	42.2%
氢	42.8%
汶	43.1%
绉	43.3%
蔚	44.0%
桉	44.3%
卯	44.6%
拣	44.7%
瀚	44.9%
蜉	45.7%
谏	45.8%
贻	46.0%
趿	46.5%
跛	46.5%
蹀	46.7%
醚	46.8%
陇	47.5%
呐	47.5%
柯	47.9%
齑	48.0%
揖	48.2%
悌	48.3%
霄	49.2%
