汉字	笔画数	第一根	第二根	人工规则直接目标
瓤	22	襄	瓜	否
穰	22	禾	襄	否
镶	22	钅	襄	否
曩	21	日	襄	否
瓖	21	王	襄	否
禳	21	礻	襄	否
醺	21	酉	熏	否
黯	21	黑	音	否
嚷	20	口	襄	否
壤	20	土	襄	否
攘	20	扌	襄	否
瀼	20	氵	襄	否
蘘	20	艹	襄	否
骧	20	马	襄	否
𬙋	20	纟	襄	否
儴	19	亻	襄	否
曝	19	日	暴	否
爆	19	火	暴	否
鏖	19	鹿	金	否
曛	18	日	熏	否
瀑	18	氵	暴	否
蹢	18	足旁	啇	否
鳒	18	鱼	兼	否
曙	17	日	署	否
獯	17	犭	熏	否
簏	17	竹头	鹿	否
薰	17	艹	熏	否
貘	17	豸	莫	否
魋	17	鬼	隹	否
麋	17	鹿	米	否
黜	17	黑	出	否
𫄸	17	纟	熏	否
𬭶	17	钅	黑	否
𬶠	17	鱼	柬	否
薯	16	艹	署	否
融	16	鬲	虫	否
蟆	16	虫	莫	否
镝	16	钅	啇	否
霍	16	雨头	隹	否
霏	16	雨头	非	否
鞔	16	革	免	否
魉	16	鬼	两	否
鲱	16	鱼	非	否
麇	16	鹿	禾	否
黔	16	黑	今	否
默	16	黑	犬	否
嘿	15	口	黑	否
墨	15	黑	土	否
橡	15	木	象	否
毅	15	豙	殳	否
熵	15	火	商	否
瘼	15	疒	莫	否
磏	15	石	兼	否
蝓	15	虫	俞	否
觯	15	角	单	否
豫	15	予	象	否
踞	15	足旁	居	否
踩	15	足旁	采	否
辘	15	车旁	鹿	否
镆	15	钅	莫	否
镉	15	钅	鬲	否
霅	15	雨头	言	否
鞒	15	革	乔	否
骼	15	骨	各	否
鲡	15	鱼	丽	否
鲤	15	鱼	里	否
鹝	15	鬲	鸟	否
鹣	15	兼	鸟	否
𩾃	15	鱼	免	否
嘀	14	口	啇	否
墒	14	土	商	否
嫡	14	女	啇	否
慕	14	莫	恭字底	否
摘	14	扌	啇	否
摹	14	莫	手	否
暮	14	莫	日	否
模	14	木	莫	否
滴	14	氵	啇	否
漉	14	氵	鹿	否
