规则	声明拆分	字	AUTO	ONLY-P	ALL	是否交互
重	千 ＋ 里	懂	忄 ＋ 艹 ＋ 撇 ＋ 一 ＋ 申 ＋ 二	忄 ＋ 艹 ＋ 千 ＋ 里	忄 ＋ 艹 ＋ 千 ＋ 里	否
重	千 ＋ 里	董	艹 ＋ 撇 ＋ 一 ＋ 申 ＋ 二	艹 ＋ 千 ＋ 里	艹 ＋ 千 ＋ 里	否
重	千 ＋ 里	踵	足旁 ＋ 撇 ＋ 一 ＋ 申 ＋ 二	足旁 ＋ 千 ＋ 里	足旁 ＋ 千 ＋ 里	否
重	千 ＋ 里	重	撇 ＋ 一 ＋ 申 ＋ 二	千 ＋ 里	千 ＋ 里	否
重	千 ＋ 里	锺	钅 ＋ 撇 ＋ 一 ＋ 申 ＋ 二	钅 ＋ 千 ＋ 里	钅 ＋ 千 ＋ 里	否
万	横 ＋ 撇 ＋ 折	万	一 ＋ 折 ＋ 丿	横 ＋ 撇 ＋ 折	横 ＋ 撇 ＋ 折	否
万	横 ＋ 撇 ＋ 折	劢	一 ＋ 折 ＋ 丿 ＋ 力	横 ＋ 撇 ＋ 折 ＋ 力	横 ＋ 撇 ＋ 折 ＋ 力	否
万	横 ＋ 撇 ＋ 折	疠	疒 ＋ 一 ＋ 折 ＋ 丿	疒 ＋ 横 ＋ 撇 ＋ 折	疒 ＋ 横 ＋ 撇 ＋ 折	否
万	横 ＋ 撇 ＋ 折	虿	一 ＋ 折 ＋ 丿 ＋ 虫	横 ＋ 撇 ＋ 折 ＋ 虫	横 ＋ 撇 ＋ 折 ＋ 虫	否
万	横 ＋ 撇 ＋ 折	趸	一 ＋ 折 ＋ 丿 ＋ 足	横 ＋ 撇 ＋ 折 ＋ 足	横 ＋ 撇 ＋ 折 ＋ 足	否
万	横 ＋ 撇 ＋ 折	迈	一 ＋ 折 ＋ 丿 ＋ 辶	横 ＋ 撇 ＋ 折 ＋ 辶	横 ＋ 撇 ＋ 折 ＋ 辶	否
万	横 ＋ 撇 ＋ 折	𬇕	氵 ＋ 一 ＋ 折 ＋ 丿	氵 ＋ 横 ＋ 撇 ＋ 折	氵 ＋ 横 ＋ 撇 ＋ 折	否
