汉字	分类	当前拆分	历史拆分	当前宿主序列	历史宿主序列
侯	deferred_encoding_layer	亻 ＋ 折 ＋ 一 ＋ 矢	亻 ＋ 竖	亻 ＋ 折 ＋ 横 ＋ 矢	亻 ＋ 竖
俄	accepted_manual_rule_semantics	亻 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	亻 ＋ 戈	亻 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	亻 ＋ 戈
倌	canonical_host_equivalent	亻 ＋ 宀 ＋ 官字底	亻 ＋ 宀 ＋ 㠯	亻 ＋ 宀 ＋ 追字心	亻 ＋ 宀 ＋ 追字心
凄	accepted_manual_rule_semantics	冫 ＋ 横 ＋ 肀 ＋ 女	冫 ＋ 一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女	氵 ＋ 横 ＋ 争字底 ＋ 女	氵 ＋ 横 ＋ 折 ＋ 二 ＋ 竖 ＋ 女
凳	canonical_host_equivalent	登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 几	癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 几	夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横 ＋ 几	夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横 ＋ 几
剩	accepted_propagating_structural	禾 ＋ 北字旁 ＋ 匕 ＋ 刂	禾 ＋ 北字旁 ＋ 匕 ＋ 刀	禾 ＋ 片 ＋ 匕 ＋ 刀	禾 ＋ 片 ＋ 匕 ＋ 刀
匕	deferred_encoding_layer	匕	撇 ＋ 折	匕	撇 ＋ 折
哦	accepted_manual_rule_semantics	口 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	口 ＋ 戈	口 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	口 ＋ 戈
噔	canonical_host_equivalent	口 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	口 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	口 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	口 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
噩	accepted_propagating_structural	王 ＋ 口 ＋ 口 ＋ 口 ＋ 口	一 ＋ 丨 ＋ 口 ＋ 口 ＋ 口 ＋ 口 ＋ 二	王 ＋ 口 ＋ 口 ＋ 口 ＋ 口	横 ＋ 竖 ＋ 口 ＋ 口 ＋ 口 ＋ 口 ＋ 二
