汉字	旧目标	按当前根集展开	当前拆分	状态	无法解析
乘	禾 ＋ 北字旁 ＋ 匕	禾 ＋ 北字旁 ＋ 匕	禾 ＋ 北字旁 ＋ 匕	aligned_and_owned_by_new_rule	
剩	禾 ＋ 北字旁 ＋ 匕 ＋ 刀	禾 ＋ 北字旁 ＋ 匕 ＋ 刀	禾 ＋ 北字旁 ＋ 匕 ＋ 刂	aligned_and_owned_by_new_rule	
嵊	山 ＋ 禾 ＋ 北字旁 ＋ 匕	山 ＋ 禾 ＋ 北字旁 ＋ 匕	山 ＋ 禾 ＋ 北字旁 ＋ 匕	aligned_and_owned_by_new_rule	
年	卧人 ＋ 土 ＋ 竖	卧人 ＋ 土 ＋ 竖	卧人 ＋ 一 ＋ 丨 ＋ 十	suspected_missing	
承	了 ＋ 三 ＋ 水	了 ＋ 三 ＋ 水	了 ＋ 三 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
兵	丘 ＋ 八	丘 ＋ 八	撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	suspected_missing	
戌	戊 ＋ 横	戊 ＋ 横	厂 ＋ 一 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
戍	戊 ＋ 点	戊 ＋ 点	厂 ＋ 丶 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
庚	广 ＋ 争字底 ＋ 人	广 ＋ 争字底 ＋ 人	广 ＋ 争字底 ＋ 人	current_semantically_aligned	
羲	点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	美字头 ＋ 禾 ＋ 一 ＋ 折 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
曦	日 ＋ 点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	日 ＋ 点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	日 ＋ 美字头 ＋ 禾 ＋ 一 ＋ 折 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
爔	火 ＋ 点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	火 ＋ 点 ＋ 点 ＋ 王 ＋ 禾 ＋ 戈 ＋ 横 ＋ 折	火 ＋ 美字头 ＋ 禾 ＋ 一 ＋ 折 ＋ 折 ＋ 撇 ＋ 丶	suspected_missing	
彖	互中间 ＋ 豕	互中间 ＋ 豕	折 ＋ 折 ＋ 豕	suspected_missing	
缘	纟 ＋ 互中间 ＋ 豕	纟 ＋ 互中间 ＋ 豕	纟 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
喙	口 ＋ 互中间 ＋ 豕	口 ＋ 互中间 ＋ 豕	口 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
篆	竹头 ＋ 互中间 ＋ 豕	竹头 ＋ 互中间 ＋ 豕	竹头 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
椽	木 ＋ 互中间 ＋ 豕	木 ＋ 互中间 ＋ 豕	木 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
掾	扌 ＋ 互中间 ＋ 豕	扌 ＋ 互中间 ＋ 豕	扌 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
橼	木 ＋ 互中间 ＋ 豕	木 ＋ 互中间 ＋ 豕	木 ＋ 纟 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
瑑	王 ＋ 互中间 ＋ 豕	王 ＋ 互中间 ＋ 豕	王 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
禒	礻 ＋ 互中间 ＋ 豕	礻 ＋ 互中间 ＋ 豕	礻 ＋ 折 ＋ 折 ＋ 豕	suspected_missing	
蠡	互中间 ＋ 豕 ＋ 虫 ＋ 虫	互中间 ＋ 豕 ＋ 虫 ＋ 虫	折 ＋ 折 ＋ 豕 ＋ 虫 ＋ 虫	suspected_missing	
临	览字头 ＋ 囗 ＋ 竖	览字头 ＋ 囗 ＋ 竖	丨 ＋ 丨 ＋ 卧人 ＋ 丶 ＋ 囗 ＋ 丨	suspected_missing	
庸	广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨	suspected_missing	
墉	土 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	土 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	土 ＋ 广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨	suspected_missing	
慵	忄 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	忄 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	忄 ＋ 广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨	suspected_missing	
镛	钅 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	钅 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	钅 ＋ 广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨	suspected_missing	
鳙	鱼 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	鱼 ＋ 广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	鱼 ＋ 广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨	suspected_missing	
鄘	广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底 ＋ 阝	广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底 ＋ 阝	广 ＋ 折 ＋ 二 ＋ 青字底 ＋ 丨 ＋ 阝	suspected_missing	
隶	争字底 ＋ 氺	争字底 ＋ 氺	折 ＋ 二 ＋ 氺	suspected_missing	
逮	争字底 ＋ 氺 ＋ 辶	争字底 ＋ 氺 ＋ 辶	折 ＋ 二 ＋ 氺 ＋ 辶	suspected_missing	
