编码首根	编码末根	成员数	成员
业无横	卩	2	邺 鄑
丰	争字底	2	彗 静
丰	又	2	敖 麦
丰	大	3	契 獒 麸
丰	忄	2	恝 慧
丰	石	2	䂮 砉
丰	纟	3	素 絜 纛
丰	见	3	责 赘 靓
丽	丽	2	两 丽
九	九	2	丸 九
九	日	2	旭 旮
习	习	2	习 羽
习	戈	2	戮 戳
予	虫	2	蝥 蟊
予	鸟	2	鹜 鹬
争字底	争字底	2	互 聿
争字底	卩	2	郡 𬩽
争字底	氵	2	录 隶
争字底	辶	3	建 逮 逯
二	二	2	二 耩
二	力	2	动 耢
二	厶	2	云 耘
二	又	2	叆 耰
二	口	2	耠 耥
二	辶	2	叇 运
亠	儿	2	充 兖
亠	十	2	卒 率
亠	土	2	主 壅
亠	忄	2	忘 𠅤
亠	月	2	肓 育
亠	田	2	亩 畜
亠	见	3	颃 颏 颤
交	交	3	乂 交 爻
交	刀	2	刈 刹
交	卩	3	郄 郊 郗
享字头	卩	2	郭 鄗
享字头	又	2	敦 敲
享字头	子	2	亨 享
享字头	火	2	烹 熟
享字头	鸟	2	鹑 鹫
人	人	5	人 从 众 入 歙
人	刀	3	侴 创 刽
人	十	2	伞 斜
人	卩	3	命 郃 郐
人	口	2	合 舍
人	土	2	㙦 坐
人	忄	2	怂 悆
人	田	2	畬 畲
人	竖	2	个 介
人	艹	2	弇 龠
人	鸟	2	鸧 鸽
亻	丽	2	俩 俪
亻	乙	2	亿 仡
亻	二	2	仁 偁
亻	交	5	仪 伛 佼 使 便
亻	儿	4	佻 侁 倪 傥
亻	八	4	供 俱 傧 僎
亻	几	3	仉 伉 凭
亻	刀	4	份 例 侧 倒
亻	力	3	仂 伤 伪
亻	匕	8	仳 伦 伲 佗 佬 侂 侘 化
亻	匚	2	们 偈
亻	十	5	什 仵 俾 倬 华
亻	卩	2	仰 倻
亻	厶	3	仫 侩 偿
亻	又	11	仅 伎 侵 俊 俶 假 做 傲 傻 儆 攸
亻	口	15	伺 伽 佁 佑 佝 佶 佸 侗 侣 俗 倍 倘 倜 偌 僖
亻	土	7	仕 任 住 佳 垈 垡 堡
亻	大	6	伏 侠 俣 倏 偰 傒
亻	女	4	佞 倭 偃 偻
亻	子	2	仔 俘
亻	寸	9	仃 何 侍 俦 倚 停 傅 傉 僔
亻	小	3	你 倞 僚
亻	山	3	仙 倔 岱
亻	工	2	佐 倥
亻	已	2	伧 倦
亻	巾	2	佩 俙
亻	彡	2	修 僇
亻	忄	7	伈 佖 偬 偲 恁 悠 您
亻	戈	3	代 伐 俄
亻	扌	4	伴 佣 俑 俸
亻	折	3	侉 俜 偡
亻	撇	2	伊 俨
亻	方	2	仿 傍
亻	日	5	借 倡 储 僧 僭
亻	月	5	佾 侑 俏 倩 脩
亻	木	4	休 保 倮 傈
亻	横	7	伫 伾 但 体 作 倕 僵
