字架	汉字	命中字架部件	Chai中芯	结构路径	旧最终拆分	当前拆分	是否语义一致
行	愆	衍	氵	愆／衍	行 ＋ 氵 ＋ 心	彳 ＋ 氵 ＋ 一 ＋ 丁 ＋ 心	否
衣	榱	衰	衰字腰	榱／衰	木 ＋ 衣 ＋ 口 ＋ 横	木 ＋ 亠 ＋ 口 ＋ 一 ＋ 衣省	否
衣	滚	衮	公	滚／衮	氵 ＋ 衣 ＋ 八 ＋ 厶	氵 ＋ 亠 ＋ 八 ＋ 厶 ＋ 衣省	否
赢	瀛	嬴	女	瀛／嬴	氵 ＋ 赢字架 ＋ 女	氵 ＋ 亠 ＋ 折 ＋ 口 ＋ 月 ＋ 女 ＋ 凡	否
玨	癍	斑	文	癍／斑	疒 ＋ 王 ＋ 文	疒 ＋ 玨 ＋ 文	是
衣	磙	衮	公	磙／衮	石 ＋ 衣 ＋ 八 ＋ 厶	石 ＋ 亠 ＋ 八 ＋ 厶 ＋ 衣省	否
衣	缞	衰	衰字腰	缞／衰	纟 ＋ 衣 ＋ 口 ＋ 横	纟 ＋ 亠 ＋ 口 ＋ 一 ＋ 衣省	否
衣	蓑	衰	衰字腰	蓑／衰	艹 ＋ 衣 ＋ 口 ＋ 横	艹 ＋ 亠 ＋ 口 ＋ 一 ＋ 衣省	否
行	蘅	衡	衡字心	蘅／衡	艹 ＋ 行 ＋ 鱼 ＋ 大	艹 ＋ 彳 ＋ 鱼 ＋ 大 ＋ 一 ＋ 丁	否
衣	锿	哀	口	锿／哀	钅 ＋ 衣 ＋ 口	钅 ＋ 亠 ＋ 口 ＋ 衣省	否
