字架	汉字	Chai中芯	旧最终拆分	当前拆分	是否语义一致	是否丢失旧字架结果
衣	亵	执	衣 ＋ 扌 ＋ 丸	亠 ＋ 扌 ＋ 丸 ＋ 衣省	否	是
衣	哀	口	衣 ＋ 口	亠 ＋ 口 ＋ 衣省	否	是
赢	嬴	女	赢字架 ＋ 女	亠 ＋ 折 ＋ 口 ＋ 月 ＋ 女 ＋ 凡	否	是
玨	斑	文	王 ＋ 文	玨 ＋ 文	是	否
玨	班	刀中	王 ＋ 刂	玨 ＋ 丶 ＋ 丿	否	是
辡	瓣	瓜	辛 ＋ 瓜	立 ＋ 左字框 ＋ 瓜 ＋ 辛	否	是
赢	羸	羊	赢字架 ＋ 羊	亠 ＋ 折 ＋ 口 ＋ 月 ＋ 羊 ＋ 凡	否	是
赢	蠃	虫	赢字架 ＋ 虫	亠 ＋ 折 ＋ 口 ＋ 月 ＋ 虫 ＋ 凡	否	是
行	衍	氵	行 ＋ 氵	彳 ＋ 氵 ＋ 一 ＋ 丁	否	是
行	衎	干	行 ＋ 干	彳 ＋ 干 ＋ 一 ＋ 丁	否	是
行	衒	玄	行 ＋ 亠 ＋ 幺	彳 ＋ 亠 ＋ 幺 ＋ 一 ＋ 丁	否	是
行	衔	钅	行 ＋ 钅	彳 ＋ 钅 ＋ 一 ＋ 丁	否	是
行	街	圭	行 ＋ 圭	彳 ＋ 土 ＋ 土 ＋ 一 ＋ 丁	否	是
行	衙	吾	行 ＋ 五 ＋ 口	彳 ＋ 五 ＋ 口 ＋ 一 ＋ 丁	否	是
行	衠	真	行 ＋ 十 ＋ 具字头 ＋ 八	彳 ＋ 十 ＋ 具字头 ＋ 八 ＋ 一 ＋ 丁	否	是
行	衡	衡字心	行 ＋ 鱼 ＋ 大	彳 ＋ 鱼 ＋ 大 ＋ 一 ＋ 丁	否	是
行	衢	瞿	行 ＋ 目 ＋ 目 ＋ 隹	彳 ＋ 目 ＋ 目 ＋ 隹 ＋ 一 ＋ 丁	否	是
衣	衮	公	衣 ＋ 八 ＋ 厶	亠 ＋ 八 ＋ 厶 ＋ 衣省	否	是
衣	衰	衰字腰	衣 ＋ 口 ＋ 横	亠 ＋ 口 ＋ 一 ＋ 衣省	否	是
衣	衷	中	衣 ＋ 口 ＋ 竖	亠 ＋ 口 ＋ 竖 ＋ 衣省	否	是
衣	袤	矛	衣 ＋ 予 ＋ 丿	亠 ＋ 予 ＋ 丿 ＋ 衣省	否	是
衣	裒	臼	衣 ＋ 臼	亠 ＋ 臼 ＋ 衣省	否	是
衣	裛	邑	衣 ＋ 口 ＋ 巴	亠 ＋ 口 ＋ 巴 ＋ 衣省	否	是
衣	裹	果	衣 ＋ 果	亠 ＋ 日 ＋ 木 ＋ 衣省	否	是
衣	褒	保	衣 ＋ 亻 ＋ 口 ＋ 木	亠 ＋ 亻 ＋ 口 ＋ 木 ＋ 衣省	否	是
赢	赢	贝	赢字架 ＋ 贝	亠 ＋ 折 ＋ 口 ＋ 月 ＋ 贝 ＋ 凡	否	是
辡	辨	刀中	辛 ＋ 刂	刂 ＋ 八 ＋ 丶 ＋ 丿	否	是
辡	辩	讠	辛 ＋ 讠	刂 ＋ 八 ＋ 讠	否	是
辡	辫	纟	辛 ＋ 纟	刂 ＋ 八 ＋ 纟	否	是
