汉字	拼音	Chai原频率	退火有效权重	绝对变化	变化方向
了	le	59562863	57342695	2220168	减少
了	liao	0	2220168	2220168	增加
长	chang	3635410	1622988	2012422	减少
长	zhang	191337	2203759	2012422	增加
谁	shei	1508124	0	1508124	减少
地	de	752253	16598	735655	减少
地	di	6770277	7505932	735655	增加
重	chong	992751	265723	727028	减少
着	zhe	6919927	6235636	684291	减少
的	de	92123018	91450001	673017	减少
的	di	0	673017	673017	增加
什	shen	0	603337	603337	增加
什	shi	607245	3908	603337	减少
着	zhao	0	478181	478181	增加
血	xie	660910	225361	435549	减少
血	xue	0	435549	435549	增加
都	dou	18779556	18369788	409768	减少
都	du	0	409768	409768	增加
还	hai	12829849	13236020	406171	增加
还	huan	675255	269084	406171	减少
勒	le	0	378188	378188	增加
勒	lei	574677	196489	378188	减少
盛	cheng	386114	16419	369695	减少
盛	sheng	42902	412597	369695	增加
调	tiao	473577	114053	359524	减少
乐	le	895092	560980	334112	减少
乐	yue	0	334112	334112	增加
熟	shou	400449	83352	317097	减少
熟	shu	0	317097	317097	增加
率	lv	1516157	1202201	313956	减少
率	shuai	79798	393754	313956	增加
哦	e	0	308511	308511	增加
哦	o	1268340	959829	308511	减少
和	he	46836227	46529407	306820	减少
和	huo	0	306820	306820	增加
重	zhong	992751	727028	265723	减少
弹	dan	18008	276138	258130	增加
弹	tan	342159	84029	258130	减少
角	jiao	592482	348556	243926	减少
角	jue	0	243926	243926	增加
给	gei	6985613	6743396	242217	减少
给	ji	0	242217	242217	增加
薄	bao	358309	119824	238485	减少
薄	bo	0	238485	238485	增加
露	lou	358714	139236	219478	减少
露	lu	0	219478	219478	增加
得	de	5654177	5440061	214116	减少
得	dei	57113	271229	214116	增加
着	zhuo	0	206110	206110	增加
省	sheng	1716535	1524459	192076	减少
省	xing	0	192076	192076	增加
大	da	14749051	14579943	169108	减少
大	dai	0	169108	169108	增加
降	jiang	674620	532824	141796	减少
降	xiang	0	141796	141796	增加
佛	fo	402098	271379	130719	减少
佛	fu	0	130719	130719	增加
称	chen	0	129041	129041	增加
称	cheng	1747056	1618015	129041	减少
柏	bai	190903	64808	126095	减少
柏	bo	10048	136143	126095	增加
仔	zai	238441	120556	117885	减少
仔	zi	0	117885	117885	增加
调	diao	473577	359524	114053	减少
差	cha	1418956	1317985	100971	减少
差	chai	28958	128736	99778	增加
曝	bao	96461	5198	91263	减少
曝	pu	0	91263	91263	增加
咯	ge	0	84552	84552	增加
咯	ka	84552	0	84552	减少
咯	lo	84552	0	84552	减少
系	ji	84341	635	83706	减少
系	xi	1602488	1686194	83706	增加
便	bian	995129	917791	77338	减少
便	pian	0	77338	77338	增加
塞	sai	513054	448429	64625	减少
塞	se	0	64625	64625	增加
卡	ka	1976264	2038942	62678	增加
卡	qia	104014	41336	62678	减少
卜	bo	0	61661	61661	增加
卜	bu	100552	38891	61661	减少
见	jian	1375659	1317470	58189	减少
见	xian	0	58189	58189	增加
模	mo	736641	680338	56303	减少
模	mu	0	56303	56303	增加
没	mei	7198338	7145480	52858	减少
没	mo	0	52858	52858	增加
匙	chi	54586	2566	52020	减少
匙	shi	0	52020	52020	增加
澄	cheng	53161	2224	50937	减少
澄	deng	0	50937	50937	增加
会	hui	17543962	17498460	45502	减少
会	kuai	0	45502	45502	增加
朴	piao	156570	113378	43192	减少
朴	pu	0	43192	43192	增加
行	hang	361739	319939	41800	减少
行	xing	3255650	3297450	41800	增加
壳	ke	161893	124182	37711	减少
壳	qiao	0	37711	37711	增加
削	xiao	59756	23109	36647	减少
