音节	字数	常用字数(前3500)	总频	前12字
yi	135	57	53132887	一以已易意亿伊医亦义依益
ji	127	52	37396148	给及期机基系集即级记几计
yu	113	51	27674384	与于鱼语预玉余育雨遇宇域
xi	103	38	9708957	西系希洗细息喜吸戏习溪席
fu	96	41	9918651	副服夫福富复府付负佛弗幅
vi	96	41	28969360	之只至值指制知直支治质志
qi	88	41	17925897	其起期气器七企奇齐汽启骑
li	86	30	19498494	里李利力理立离例丽礼历莉
yj	84	38	6438803	眼盐研演言严验岩延炎燕颜
ui	82	49	99283347	是时市事使式十实师石试食
ww	77	36	28924448	为位未微维味威委卫伟围尾
jm	72	37	10702038	间建见件减健简监剑检键兼
bi	69	22	8329398	比必笔币逼毕避鼻碧壁秘闭
ju	67	25	11689317	车据局句具举剧居聚巨距菊
wu	65	27	10325118	无五物务吴武乌屋舞误午恶
xm	61	28	15600452	先县线现见洗显限鲜险咸仙
jn	57	25	8677580	叫较交教校角觉脚焦胶缴浇
jp	54	27	9937606	价接节解街结界届杰借介皆
qm	54	20	9267797	前钱千签潜浅欠迁牵谦倩铅
di	53	21	110972889	的地第低提迪底蒂滴帝抵弟
vu	53	25	9869297	主住注著术煮朱助猪祝驻竹
hu	53	16	51429146	和户湖核胡互护虎乎沪呼糊
lu	53	22	5939964	路鲁绿卢露陆录鹿炉禄卤芦
yb	50	18	6186027	因银引音印饮阴隐尹殷寅吟
uu	50	29	11190873	书数属树术输舒署述叔束鼠
yz	50	24	48402498	有又由油游优友右尤幼邮忧
gu	50	18	5460258	股古故谷骨顾贾固鼓估菇姑
xp	49	21	7763581	写些解叶血谢鞋协蟹斜携邪
jk	49	27	8394963	经京精景净警静境井镜竞竟
pi	49	13	1989575	皮批否披匹脾屁辟啤疲劈毗
hv	48	20	21614987	会回惠汇辉慧灰毁绘挥徽晖
bo	48	18	3569273	波博伯薄播柏拨卜勃玻搏泊
qu	47	13	17191289	去区取曲趣趋驱娶渠屈祛瞿
xu	47	18	4334255	需许徐续须虚序旭绪恤叙蓄
ii	44	15	10074662	吃持池赤齿迟翅驰尺匙痴斥
yk	43	18	6391078	应英影营硬赢迎盈映樱颖鹰
jb	43	21	11438177	金进近仅今尽紧斤津晋锦禁
zi	43	14	10037593	自子资字兹仔紫滋姿咨籽梓
yr	42	19	12241142	元原员远源院园圆愿袁缘苑
yc	41	18	17712307	要约药咬腰邀耀姚摇遥妖瑶
he	41	16	53445163	和合喝河何核赫盒吓贺荷鹤
xr	41	12	2917564	选券宣轩玄悬旋炫萱璇癣铉
xn	41	18	13454842	小校笑消效销晓肖孝萧削硝
hj	40	15	2936534	含汉韩喊汗寒涵函罕翰瀚焊
ij	40	9	3047263	单产禅缠馋铲蝉掺颤蟾阐婵
jx	40	17	14743134	家加价假佳嘉甲架贾夹驾嫁
vf	40	20	4837675	真镇针震振珍阵贞圳诊枕侦
uj	40	16	4457825	山单善删闪扇杉珊衫禅陕鳝
uf	39	15	6176507	深神身什参申沈审甚肾伸慎
xy	39	16	1945078	讯训寻询逊巡迅勋循熏旬汛
si	38	16	9074551	斯四死司思丝寺似私撕嗣祀
hr	38	10	15650759	还换环患欢缓幻焕桓唤寰宦
mo	38	22	16209132	没无万模莫末魔摩默摸膜磨
ig	38	16	10788612	成称城程盛承呈乘撑诚橙澄
ee	38	13	4165070	阿哦额俄饿恶鹅厄鄂呃鳄娥
iu	37	12	10351105	出处除初储楚触础厨褚雏橱
lk	36	17	4028978	另领令灵零岭凌玲龄陵铃菱
va	36	12	2013399	查炸扎渣咋乍诈闸札榨轧栅
jt	35	10	2146933	角觉决绝嚼爵掘蕨诀崛厥撅
ge	35	18	17504926	个各合格歌哥盖隔戈革阁葛
yy	35	13	3821018	员云运孕晕韵允匀陨芸蕴筠
ke	35	17	13984437	可科克客课颗刻柯壳棵咳渴
ts	34	15	6394387	同通统痛桶童洞铜桐筒彤酮
dj	33	13	14257019	但单石蛋淡弹丹担胆旦氮诞
tj	33	18	2287514	谈弹碳探坦谭摊坛潭滩贪痰
gv	33	14	3636185	贵规归鬼轨桂柜龟跪硅圭诡
fw	33	14	5049504	非费飞菲肥肺废妃斐腓沸啡
ys	32	11	9608099	用永勇拥涌泳咏雍庸佣甬蛹
hl	32	8	1937697	黄皇荒晃煌慌凰谎簧幌璜蝗
ti	32	10	5372628	提体题替踢梯蹄剃剔缇惕涕
wj	32	17	8804795	万完玩晚碗湾丸弯婉腕莞蔓
xl	32	21	20097484	想向像项相香降乡象响享箱
kv	32	7	465337	亏奎葵魁溃馈窥盔愧逵揆喹
yh	32	12	4632227	样杨养阳羊洋扬央氧痒仰漾
bw	32	14	15267044	被北杯背贝备倍碑呗臂悲辈
mi	32	12	2836846	米密迷蜜秘弥谜咪觅泌幂眯
qq	31	9	2993065	球求秋邱丘龟仇裘囚鳅酋萩
ya	31	15	3759152	亚呀压雅牙鸭芽娅押丫崖涯
lb	31	13	2714845	林临琳淋麟邻霖磷拎鳞赁吝
pu	31	17	2205199	普堡铺浦朴谱曝扑葡蒲埔瀑
ba	31	15	13046188	把吧巴八爸拔霸扒坝芭罢靶
th	30	9	3332719	汤唐糖堂烫塘躺趟棠膛淌倘
qn	30	13	1549837	桥乔壳巧敲雀翘侨俏瞧悄撬
ln	30	8	61150911	了料聊疗廖辽撩寮憭僚寥燎
lq	30	14	4905503	刘流六留陆柳瘤溜硫琉遛浏
xk	30	14	13919267	性行型省星形兴姓醒幸刑腥
mc	30	12	1730510	猫毛茂冒贸帽茅貌矛卯懋锚
mw	30	18	14723564	没美每梅枚媒妹煤酶眉霉镁
vz	29	12	3546492	周州粥洲轴舟皱咒骤肘宙昼
vo	29	9	8325639	着著桌卓捉浊灼拙琢酌擢啄
ia	29	9	3749603	差茶查插察叉刹岔茬喳搽槎
su	29	12	2840775	苏素速酥诉缩宿塑俗肃粟溯
bc	29	23	7910103	报包保宝爆抱薄堡饱暴煲炮
lo	29	12	3179393	罗洛落络螺咯裸萝烙骆逻锣
lm	29	13	4563930	连联脸练链恋莲炼廉帘镰怜
jq	28	13	30048631	就久酒九旧救究纠灸玖揪韭
gj	28	13	4253831	感干敢甘赶肝杆赣擀竿苷柑
ih	28	12	9105473	长场常唱厂尝昌肠畅偿倡敞
to	28	9	1343160	托脱拖拓陀妥坨驼沱唾驮椭
