音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
yi	135	26	1	85.9	53132887	已330 伊82 医73 亦65 依46 益43 仪25 乙18 译18 逸12 毅12
ji	127	26	1	84.4	37396148	计95 鸡78 己69 奇61 既47 积43 击40 继38 纪33 际33
yu	113	26	1	92.4	27674384	玉59 育46 域30 予16 娱10 逾9 愈8 郁8 俞6 瑜6
xi	103	26	1	89.4	9708957	戏34 溪26 稀11 悉10 惜5 夕5 昔3 硒2
fu	96	25	2	83.2	9918651	父30 符16 肤14 腹13 辅12 浮12 伏12 妇11 傅11 覆11 腐9
vi	96	26	1	81.8	28969360	直94 质68 志63 智56 止47 职44 汁42 识40 织21 执21 植15
qi	88	24	3	89.2	17925897	奇61 齐45 崎15 弃12 棋11 漆11 琪9 琦6 岐4 欺3 戚3 祁3
li	86	21	6	90.1	19498494	立97 莉23 黎19 梨13 励9 厉7 鲤4 璃3 隶3 吏3 厘2 笠2
yj	84	23	4	80.5	6438803	燕22 颜21 烟21 沿16 宴8 雁6 妍6 殷5 掩4 淹3 厌3
ui	82	24	3	90.3	99283347	市348 十169 食90 什60 室51 势47 始47 诗43 失41 识40
ww	77	22	5	95.0	28924448	伟38 魏25 违14 唯14 喂14 薇12 伪11 纬5 蔚4 炜3
jm	72	21	6	78.6	10702038	减47 健45 兼27 坚26 煎21 剪17 肩13 鉴9 箭9 贱5
bi	69	21	6	93.6	8329398	毕20 壁13 臂7 辟3 弊3 璧1 吡1 毙0 哔0
ju	67	23	4	85.1	11689317	剧60 居53 距22 柜10 拒8 俱8 钜2 拘2 鞠1 炬1 莒0
wu	65	21	6	81.8	10325118	务87 屋35 午19 唔15 吾12 勿7 捂4 梧1 兀1 呜1
xm	61	24	3	90.5	15600452	显61 险47 贤19 陷11 衔3 羡2 娴1
jn	57	22	5	96.2	8677580	胶15 饺4 轿3 郊2 绞1 骄1 酵1 窖1
jp	54	22	5	95.7	9937606	捷15 戒11 揭7 婕2 桔2 羯1 竭1
qm	54	23	4	95.2	9267797	浅18 迁15 倩5 钳1 仟0 芡0 堑0 芊0
