word	code	source	thuocl_df	xinhua
坚定不移	jdby	简单鹤	54113	1
随时随地	susd	简单鹤	52510	1
全力以赴	qlyf	简单鹤	36156	1
丰富多彩	ffdc	简单鹤	34727	1
余波未平	ybwp	简单鹤	32967	1
脱颖而出	tyei	简单鹤	31974	1
实事求是	uuqu	简单鹤	31565	1
一如既往	yrjw	简单鹤	30338	1
众所周知	vsvv	简单鹤	29469	1
一年一度	ynyd	简单鹤	29188	1
因地制宜	ydvy	简单鹤	27805	1
千方百计	qfbj	简单鹤	27561	1
息息相关	xxxg	简单鹤	25804	1
层出不穷	cibq	简单鹤	25301	1
引人注目	yrvm	简单鹤	24076	1
当务之急	dwvj	简单鹤	22965	1
滥用职权	lyvq	简单鹤	22885	1
深入人心	urrx	简单鹤	22071	1
解放思想	jfsx	简单鹤	21847	0
见义勇为	jyyw	简单鹤	21157	1
敲诈勒索	qvls	简单鹤	20827	1
名不虚传	mbxi	简单鹤	20236	1
来之不易	lvby	简单鹤	20180	1
名副其实	mfqu	简单鹤	20015	1
下落不明	xlbm	简单鹤	19848	1
坚持不懈	jibx	简单鹤	19818	1
源源不断	yybd	简单鹤	19395	1
络绎不绝	lybj	简单鹤	19137	1
弄虚作假	nxzj	简单鹤	19010	1
不可思议	bksy	简单鹤	18980	1
不正之风	bvvf	简单鹤	18949	1
小心翼翼	xxyy	简单鹤	18841	1
长治久安	ivja	简单鹤	18732	1
如火如荼	rhrt	简单鹤	18585	1
不折不扣	bvbk	简单鹤	18574	1
后顾之忧	hgvy	简单鹤	18005	1
纸醉金迷	vzjm	简单鹤	17612	1
力所能及	lsnj	简单鹤	17518	1
供不应求	gbyq	简单鹤	17422	1
一目了然	ymlr	简单鹤	17310	1
显而易见	xeyj	简单鹤	17273	1
持之以恒	ivyh	简单鹤	16953	1
成千上万	iquw	简单鹤	16698	1
大街小巷	djxx	简单鹤	16354	1
可想而知	kxev	简单鹤	16264	1
安居乐业	ajly	简单鹤	16133	1
齐心协力	qxxl	简单鹤	15972	1
得天独厚	dtdh	简单鹤	15675	1
一见钟情	yjvq	简单鹤	15636	1
艰苦奋斗	jkfd	简单鹤	15564	1
全心全意	qxqy	简单鹤	15503	1
独一无二	dywe	简单鹤	15496	1
不约而同	byet	简单鹤	15230	1
紧锣密鼓	jlmg	简单鹤	15200	1
五花八门	whbm	简单鹤	15109	1
一应俱全	yyjq	简单鹤	15089	1
应运而生	yyeu	简单鹤	14881	1
与众不同	yvbt	简单鹤	14801	1
触目惊心	imjx	简单鹤	14766	1
屡见不鲜	ljbx	简单鹤	14553	1
无独有偶	wdyo	简单鹤	14457	1
行之有效	xvyx	简单鹤	14353	1
不知不觉	bvbj	简单鹤	14263	1
大势所趋	dusq	简单鹤	14236	1
千家万户	qjwh	简单鹤	14142	1
心有余悸	xyyj	简单鹤	13820	1
不得而知	bdev	简单鹤	13727	1
前所未有	qswy	简单鹤	13620	1
迫不及待	pbjd	简单鹤	13603	1
雪上加霜	xuju	简单鹤	13570	1
迫在眉睫	pzmj	简单鹤	13502	1
此起彼伏	cqbf	简单鹤	13494	1
