word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
啊啊啊啊	aaaa	简单鹤		0		0	0	0	0
傲岸不群	aabq	简单鹤		0		0	0	0	0
皑皑白雪	aabx	简单鹤		0		0	0	0	0
暗暗点头	aadt	简单鹤		0		0	0	0	0
暗暗高兴	aagx	简单鹤		0		0	0	0	0
暗暗吃惊	aaij	简单鹤		0		0	0	0	0
暗暗称奇	aaiq	简单鹤		0		0	0	0	0
暗暗佩服	aapf	简单鹤		0		0	0	0	0
暗暗祈祷	aaqd	简单鹤		0		0	0	0	0
暗暗庆幸	aaqx	简单鹤		0		0	0	0	0
暗暗思忖	aasc	简单鹤		0		0	0	0	0
矮矮实实	aauu	简单鹤		0		0	0	0	0
阿巴阿巴	abab	简单鹤		0		0	0	0	0
安不安全	abaq	简单鹤		0		0	0	0	0
哀兵必败	abbb	简单鹤		0		0	0	0	0
安保措施	abcu	简单鹤		0		0	0	0	0
熬不动了	abdl	简单鹤		0		0	0	0	0
阿鼻地狱	abdy	简单鹤		1		0	0	0	0
熬不过去	abgq	简单鹤		0		0	0	0	0
艾宾浩斯	abhs	简单鹤		0		0	0	0	0
熬不出头	abit	简单鹤		0		0	0	0	0
鞍不离马	ablm	简单鹤		0		0	0	0	0
爱兵如子	abrz	简单鹤		0		0	0	0	0
挨不着边	abvb	简单鹤		0		0	0	0	0
俺不中嘞	abvl	简单鹤		0		0	0	0	0
敖包相会	abxh	简单鹤		0		0	0	0	0
爱才若渴	acrk	简单鹤		1		0	0	0	0
暗藏杀机	acuj	简单鹤		0		0	0	0	0
暗藏玄机	acxj	简单鹤		0		0	0	0	0
爱答不理	adbl	简单鹤		0		0	0	0	0
爱的供养	adgy	简单鹤		0		0	0	0	0
艾迪霍尔	adhe	简单鹤		0		0	0	0	0
安定和谐	adhx	简单鹤		0		0	0	0	0
按道理讲	adlj	简单鹤		0		0	0	0	0
熬到了头	adlt	简单鹤		0		0	0	0	0
按道理说	adlu	简单鹤		0		0	0	0	0
挨冻受饿	adue	简单鹤		1		0	0	0	0
案牍之劳	advl	简单鹤		1		0	0	0	0
爱得要死	adys	简单鹤		0		0	0	0	0
安定有序	adyx	简单鹤		0		0	0	0	0
挨饿受冻	aeud	简单鹤		0		0	0	0	0
案发地点	afdd	简单鹤		0		0	0	0	0
案发当天	afdt	简单鹤		0		0	0	0	0
阿房宫赋	afgf	简单鹤		0		0	0	0	0
安抚人心	afrx	简单鹤		0		0	0	0	0
按方抓药	afvy	简单鹤		0		0	0	0	0
安分知足	afvz	简单鹤		1		0	0	0	0
案发现场	afxi	简单鹤		0		0	0	0	0
阿哥阿妹	agam	简单鹤		0		0	0	0	0
爱国将领	agjl	简单鹤		0		0	0	0	0
挨个击破	agjp	简单鹤		0		0	0	0	0
爱国基因	agjy	简单鹤		0		0	0	0	0
爱国教育	agjy	简单鹤		0		0	0	0	0
爱国力量	agll	简单鹤		0		0	0	0	0
爱狗人士	agru	简单鹤		0		0	0	0	0
爱国诗人	agur	简单鹤		0		0	0	0	0
爱国之心	agvx	简单鹤		0		0	0	0	0
爱国阵线	agvx	简单鹤		0		0	0	0	0
爱国营销	agyx	简单鹤		0		0	0	0	0
啊哈啊哈	ahah	简单鹤		0		0	0	0	0
哀鸿遍地	ahbd	简单鹤		1		0	0	0	0
懊悔不已	ahby	简单鹤		0		0	0	0	0
安魂定魄	ahdp	简单鹤		1		0	0	0	0
爱护动物	ahdw	简单鹤		0		0	0	0	0
爱好广泛	ahgf	简单鹤		0		0	0	0	0
爱护公物	ahgw	简单鹤		0		0	0	0	0
爱好和平	ahhp	简单鹤		0		0	0	0	0
爱恨交织	ahjv	简单鹤		0		0	0	0	0
暗黑模式	ahmu	简单鹤		0		0	0	0	0
爱恨情缘	ahqy	简单鹤		0		0	0	0	0
安好如初	ahri	简单鹤		0		0	0	0	0
爱护植物	ahvw	简单鹤		0		0	0	0	0
爱吃不吃	aibi	简单鹤		0		0	0	0	0
熬肠刮肚	aigd	简单鹤		1		0	0	0	0
爱吃零食	ailu	简单鹤		0		0	0	0	0
暗潮汹涌	aixy	简单鹤		0		0	0	0	0
挨肩搭背	ajdb	简单鹤		1		0	0	0	0
按揭贷款	ajdk	简单鹤		0		0	0	0	0
按揭合同	ajht	简单鹤		0		0	0	0	0
按键冲突	ajit	简单鹤		0		0	0	0	0
按键精灵	ajjl	简单鹤		0		0	0	0	0
按揭利息	ajlx	简单鹤		0		0	0	0	0
暗贱难防	ajnf	简单鹤		0		0	0	0	0
按经取穴	ajqx	简单鹤		0		0	0	0	0
安静入睡	ajru	简单鹤		0		0	0	0	0
案件审理	ajul	简单鹤		0		0	0	0	0
按揭手续	ajux	简单鹤		0		0	0	0	0
安静下来	ajxl	简单鹤		0		0	0	0	0
暗礁险滩	ajxt	简单鹤		0		0	0	0	0
按迹循踪	ajxz	简单鹤		0		0	0	0	0
埃及艳后	ajyh	简单鹤		0		0	0	0	0
爱看不看	akbk	简单鹤		0		0	0	0	0
阿克希亚	akxy	简单鹤		0		0	0	0	0
爱来不来	albl	简单鹤		0		0	0	0	0
案例分析	alfx	简单鹤		0		0	0	0	0
按老规矩	algj	简单鹤		0		0	0	0	0
案例教学	aljx	简单鹤		0		0	0	0	0
按理来讲	allj	简单鹤		0		0	0	0	0
爱莉希雅	alxy	简单鹤		0		0	0	0	0
暗流涌动	alyd	简单鹤		0		0	0	0	0
阿里云盘	alyp	简单鹤		0		0	0	0	0
安利一下	alyx	简单鹤		0		0	0	0	0
爱买不买	ambm	简单鹤		0		0	0	0	0
傲慢不逊	ambx	简单鹤		1		0	0	0	0
哀莫大焉	amdy	简单鹤		0		0	0	0	0
澳门回归	amhg	简单鹤		0		0	0	0	0
阿美莉卡	amlk	简单鹤		0		0	0	0	0
鞍马劳困	amlk	简单鹤		1		0	0	0	0
按摩女郎	amnl	简单鹤		0		0	0	0	0
啊米诺斯	amns	简单鹤		0		0	0	0	0
阿米诺斯	amns	简单鹤		0		0	0	0	0
爱猫人士	amru	简单鹤		0		0	0	0	0
爱美人士	amru	简单鹤		0		0	0	0	0
阿姆斯壮	amsv	简单鹤		0		0	0	0	0
鞍马之劳	amvl	简单鹤		1		0	0	0	0
爱慕之情	amvq	简单鹤		0		0	0	0	0
奥妙无穷	amwq	简单鹤		1		0	0	0	0
爱慕已久	amyj	简单鹤		0		0	0	0	0
按耐不住	anbv	简单鹤		0		0	0	0	0
懊恼不已	anby	简单鹤		0		0	0	0	0
碍难从命	ancm	简单鹤		1		0	0	0	0
安培定则	apdz	简单鹤		0		0	0	0	0
安贫乐贱	aplj	简单鹤		1		0	0	0	0
安贫若素	aprs	简单鹤		0		0	0	0	0
安排妥当	aptd	简单鹤		0		0	0	0	0
安排生活	apuh	简单鹤		0		0	0	0	0
安排时间	apuj	简单鹤		0		0	0	0	0
爱去不去	aqbq	简单鹤		0		0	0	0	0
哀其不争	aqbv	简单鹤		0		0	0	0	0
哀其不幸	aqbx	简单鹤		0		0	0	0	0
安全管家	aqgj	简单鹤		0		0	0	0	0
爱情故事	aqgu	简单鹤		0		0	0	0	0
爱情公寓	aqgy	简单鹤		0		0	0	0	0
按期还款	aqhk	简单鹤		0		0	0	0	0
安全出口	aqik	简单鹤		0		0	0	0	0
爱情长跑	aqip	简单鹤		0		0	0	0	0
奥奇传说	aqiu	简单鹤		0		0	0	0	0
安全出行	aqix	简单鹤		0		0	0	0	0
安全级别	aqjb	简单鹤		0		0	0	0	0
安全距离	aqjl	简单鹤		0		0	0	0	0
爱情买卖	aqmm	简单鹤		0		0	0	0	0
安全起见	aqqj	简单鹤		0		0	0	0	0
安全气囊	aqqn	简单鹤		0		0	0	0	0
安全提示	aqtu	简单鹤		0		0	0	0	0
暗区突围	aqtw	简单鹤		0		0	0	0	0
安全设备	aqub	简单鹤		0		0	0	0	0
安全事故	aqug	简单鹤		0		0	0	0	0
安全施工	aqug	简单鹤		0		0	0	0	0
安全声明	aqum	简单鹤		0		0	0	0	0
安全设施	aquu	简单鹤		0		0	0	0	0
安全使用	aquy	简单鹤		0		0	0	0	0
安全着陆	aqvl	简单鹤		0		0	0	0	0
安全卫士	aqwu	简单鹤		0		0	0	0	0
安全隐患	aqyh	简单鹤		0		0	0	0	0
安全因素	aqys	简单鹤		0		0	0	0	0
安全意识	aqyu	简单鹤		0		0	0	0	0
安全运输	aqyu	简单鹤		0		0	0	0	0
安全有效	aqyx	简单鹤		0		0	0	0	0
爱如潮水	ariu	简单鹤		0		0	0	0	0
爱如己出	arji	简单鹤		1		0	0	0	0
黯然离场	arli	简单鹤		0		0	0	0	0
安然如故	arrg	简单鹤		1		0	0	0	0
爱人如己	arrj	简单鹤		0		0	0	0	0
安然入眠	arrm	简单鹤		0		0	0	0	0
安然入睡	arru	简单鹤		0		0	0	0	0
爱如珍宝	arvb	简单鹤		1		0	0	0	0
矮人一等	aryd	简单鹤		0		0	0	0	0
昂然自得	arzd	简单鹤		1		0	0	0	0
艾斯爱慕	asam	简单鹤		0		0	0	0	0
阿斯巴甜	asbt	简单鹤		0		0	0	0	0
艾特全体	atqt	简单鹤		0		0	0	0	0
奥特之父	atvf	简单鹤		0		0	0	0	0
奥特之母	atvm	简单鹤		0		0	0	0	0
奥特之王	atvw	简单鹤		0		0	0	0	0
爱说爱笑	auax	简单鹤		0		0	0	0	0
安神补脑	aubn	简单鹤		0		0	0	0	0
爱睡不睡	aubu	简单鹤		0		0	0	0	0
爱说不说	aubu	简单鹤		0		0	0	0	0
安神定惊	audj	简单鹤		0		0	0	0	0
安神定魄	audp	简单鹤		1		0	0	0	0
安神定志	audv	简单鹤		0		0	0	0	0
奥数魔刃	aumr	简单鹤		0		0	0	0	0
爱是你我	aunw	简单鹤		0		0	0	0	0
按时起床	auqi	简单鹤		0		0	0	0	0
暗生情愫	auqs	简单鹤		0		0	0	0	0
安适如常	auri	简单鹤		1		0	0	0	0
昂首挺立	autl	简单鹤		0		0	0	0	0
安身之所	auvs	简单鹤		0		0	0	0	0
昂首望天	auwt	简单鹤		1		0	0	0	0
昂首屹立	auyl	简单鹤		0		0	0	0	0
暗中调查	avdi	简单鹤		0		0	0	0	0
安装到位	avdw	简单鹤		0		0	0	0	0
螯肢动物	avdw	简单鹤		0		0	0	0	0
安枕而卧	avew	简单鹤		1		0	0	0	0
按照规定	avgd	简单鹤		0		0	0	0	0
