word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
工人阶级	grjj	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	91448	0	1
另一方面	lyfm	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	90349	0	1
阶级斗争	jjdv	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	88082	0	1
巴基斯坦	bjst	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	85554	0	1
知识分子	vufz	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	84948	0	1
科学技术	kxju	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	83466	0	1
巴勒斯坦	blst	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	80223	0	1
经济效益	jjxy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	67753	0	1
发达国家	fdgj	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	62426	0	1
不好意思	bhys	简单鹤		1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	60630	0	1
澳大利亚	adly	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	60253	0	1
与此同时	yctu	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	59565	0	1
对外开放	dwkf	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	53804	0	1
坚定不移	jdby	简单鹤	54113	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	53385	1	1
艰苦奋斗	jkfd	简单鹤	15564	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	51717	1	1
实事求是	uuqu	简单鹤	31565	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	49115	1	1
组成部分	zibf	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	49051	0	1
罗马尼亚	lmny	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	48242	0	1
爱国主义	agvy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	45878	0	1
人工智能	rgvn	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	45230	0	1
平方公里	pfgl	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	42370	0	1
绝大多数	jddu	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	42192	0	1
自力更生	zlgu	简单鹤	6590	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	40127	1	1
长期以来	iqyl	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	39302	0	1
千方百计	qfbj	简单鹤	27561	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	38689	1	1
统一战线	tyvx	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	37281	0	1
因地制宜	ydvy	简单鹤	27805	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	36874	1	1
马来西亚	mlxy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	35250	0	1
全心全意	qxqy	简单鹤	15503	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	33621	1	1
国家机关	gjjg	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	33455	0	1
解放思想	jfsx	简单鹤	21847	0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	31797	0	1
和平共处	hpgi	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	30525	0	1
高速公路	gsgl	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	30509	0	1
前所未有	qswy	简单鹤	13620	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	29818	1	1
丝绸之路	sivl	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	29224	0	1
劳动模范	ldmf	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	28967	0	1
高等教育	gdjy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	28864	0	1
积极分子	jjfz	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	28468	0	1
第三世界	dsuj	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	26838	0	1
实实在在	uuzz	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	26693	0	1
世界大战	ujdv	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	26110	0	1
也就是说	yjuu	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	25011	0	1
自我批评	zwpp	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	24852	0	1
保加利亚	bjly	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	24544	0	1
绝大部分	jdbf	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	24062	0	1
奥林匹克	alpk	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	24044	0	1
少年儿童	unet	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	23495	0	1
社会科学	uhkx	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	23317	0	1
自然资源	zrzy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	22670	0	1
三分之一	sfvy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	21861	0	1
至关重要	vgvy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	21511	0	1
委内瑞拉	wnrl	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	21504	0	1
无论如何	wlrh	简单鹤		1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	21453	0	1
坦桑尼亚	tsny	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	20822	0	1
丰富多彩	ffdc	简单鹤	34727	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	20601	1	1
坚持不懈	jibx	简单鹤	19818	1	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;成语双源;输入法双源	5	20010	1	1
各种各样	gvgy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	19940	0	1
人道主义	rdvy	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	19810	0	1
军事基地	jujd	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	19223	0	1
不可避免	bkbm	简单鹤		0	真实语料:dialogue_word_freq,literature_word_freq,multi_domain_total_word_freq,news_total_word_freq,subtlex;输入法双源	5	18556	0	1
