工人阶级	grjj
另一方面	lyfm
阶级斗争	jjdv
巴基斯坦	bjst
知识分子	vufz
科学技术	kxju
巴勒斯坦	blst
经济效益	jjxy
发达国家	fdgj
不好意思	bhys
澳大利亚	adly
与此同时	yctu
对外开放	dwkf
坚定不移	jdby
艰苦奋斗	jkfd
实事求是	uuqu
组成部分	zibf
罗马尼亚	lmny
爱国主义	agvy
人工智能	rgvn
平方公里	pfgl
绝大多数	jddu
自力更生	zlgu
长期以来	iqyl
千方百计	qfbj
统一战线	tyvx
因地制宜	ydvy
马来西亚	mlxy
全心全意	qxqy
国家机关	gjjg
解放思想	jfsx
和平共处	hpgi
高速公路	gsgl
前所未有	qswy
丝绸之路	sivl
劳动模范	ldmf
高等教育	gdjy
积极分子	jjfz
第三世界	dsuj
实实在在	uuzz
世界大战	ujdv
也就是说	yjuu
自我批评	zwpp
保加利亚	bjly
绝大部分	jdbf
奥林匹克	alpk
少年儿童	unet
社会科学	uhkx
自然资源	zrzy
三分之一	sfvy
至关重要	vgvy
委内瑞拉	wnrl
无论如何	wlrh
坦桑尼亚	tsny
丰富多彩	ffdc
坚持不懈	jibx
各种各样	gvgy
人道主义	rdvy
军事基地	jujd
不可避免	bkbm
哥伦比亚	glby
各行各业	ghgy
成千上万	iquw
斯里兰卡	sllk
深入人心	urrx
毫无疑问	hwyw
一如既往	yrjw
现实主义	xuvy
引人注目	yrvm
莫名其妙	mmqm
布鲁塞尔	blse
四面八方	smbf
职业道德	vydd
全力以赴	qlyf
不知不觉	bvbj
轰轰烈烈	hhll
自然科学	zrkx
主要矛盾	vymd
体育运动	tyyd
经济作物	jjzw
由此可见	yckj
好不容易	hbry
这样一来	vyyl
千千万万	qqww
大马士革	dmug
不可思议	bksy
来之不易	lvby
当务之急	dwvj
千家万户	qjwh
源源不断	yybd
个人主义	grvy
不懈努力	bxnl
一模一样	ymyy
下定决心	xdjx
迄今为止	qjwv
上层建筑	ucjv
新生事物	xuuw
无私奉献	wsfx
脱颖而出	tyei
许许多多	xxdd
想方设法	xfuf
长治久安	ivja
重中之重	vvvv
长篇小说	ipxu
三分之二	sfve
不仅如此	bjrc
方方面面	ffmm
战无不胜	vwbu
尽管如此	jgrc
四分之一	sfvy
再接再厉	zjzl
众所周知	vsvv
卓有成效	vyix
多种多样	dvdy
必不可少	bbku
喜闻乐见	xwlj
耶路撒冷	ylsl
小心翼翼	xxyy
知名人士	vmru
中东地区	vddq
种族歧视	vzqu
时有发生	uyfu
脚踏实地	jtud
欢欣鼓舞	hxgw
假冒伪劣	jmwl
理所当然	lsdr
牢不可破	lbkp
除此之外	icvw
公共场所	ggis
清清楚楚	qqii
老老实实	lluu
后顾之忧	hgvy
业内人士	ynru
迫不及待	pbjd
旗帜鲜明	qvxm
不可或缺	bkhq
安居乐业	ajly
朝气蓬勃	vqpb
一路顺风	yluf
以身作则	yuzz
自然环境	zrhj
塞尔维亚	sewy
齐心协力	qxxl
层出不穷	cibq
百分之百	bfvb
无可奈何	wknh
力所能及	lsnj
乱七八糟	lqbz
错综复杂	czfz
名副其实	mfqu
毫不犹豫	hbyy
家家户户	jjhh
一心一意	yxyy
突如其来	trql
布达佩斯	bdpo
情不自禁	qbzj
不法分子	bffz
见义勇为	jyyw
更进一步	gjyb
不折不扣	bvbk
持之以恒	ivyh
欣欣向荣	xxxr
不管怎样	bgzy
息息相关	xxxg
兴致勃勃	xvbb
明目张胆	mmvd
深有感触	uygi
络绎不绝	lybj
世世代代	uudd
形而上学	xeux
随处可见	sikj
各式各样	gugy
归根到底	ggdd
红红火火	hhhh
排忧解难	pyjn
自言自语	zyzy
集成电路	jidl
发扬光大	fygd
大有可为	dykw
与众不同	yvbt
焕然一新	hryx
兴高采烈	xgcl
大吃一惊	diyj
满怀信心	mhxx
有所不同	ysbt
显而易见	xeyj
集体主义	jtvy
相辅相成	xfxi
自强不息	zqbx
不容忽视	brhu
无能为力	wnwl
相互作用	xhzy
唯物主义	wwvy
不屈不挠	bqbn
身心健康	uxjk
自然而然	zrer
融为一体	rwyt
挺身而出	tuei
声势浩大	uuhd
应运而生	yyeu
哈哈大笑	hhdx
新闻记者	xwjv
自古以来	zgyl
针锋相对	vfxd
精益求精	jyqj
一年一度	ynyd
令人满意	lrmy
不由自主	byzv
克罗地亚	kldy
铺张浪费	pvlf
史无前例	uwql
念念不忘	nnbw
儿童文学	etwx
大街小巷	djxx
理直气壮	lvqv
勤俭节约	qjjy
得天独厚	dtdh
子孙后代	zshd
竭尽全力	jjql
此时此刻	cuck
有史以来	yuyl
一丝不苟	ysbg
满腔热情	mqrq
同心同德	txtd
迎难而上	yneu
归根结底	ggjd
所作所为	szsw
热火朝天	rhit
必要条件	bytj
一目了然	ymlr
循序渐进	xxjj
热气腾腾	rqtt
独一无二	dywe
聚精会神	jjhu
随时随地	susd
一般来说	yblu
一年四季	ynsj
日日夜夜	rryy
肆无忌惮	swjd
可想而知	kxev
义不容辞	ybrc
不约而同	byet
恰恰相反	qqxf
万众一心	wvyx
西伯利亚	xbly
胡说八道	hubd
莎士比亚	suby
生机勃勃	ujbb
自始至终	zuvv
踏踏实实	ttuu
记忆犹新	jyyx
兢兢业业	jjyy
化学武器	hxwq
值得一提	vdyt
时时刻刻	uukk
难以置信	nyvx
刻不容缓	kbrh
家喻户晓	jyhx
短篇小说	dpxu
大大小小	ddxx
继往开来	jwkl
从无到有	cwdy
一无所知	ywsv
奋不顾身	fbgu
