sample	full_dup_pct	full_pair	short_dup_pct	short_pair
1	0.7331	1.3591	0.1183	1.3695
2	0.9903	1.3868	0.1111	1.3813
3	0.9736	1.341	0.1686	1.3464
4	0.7829	1.3631	0.1812	1.3577
5	1.6243	1.3481	0.3289	1.3595
6	1.2216	1.3518	0.2674	1.3471
7	1.4186	1.3699	0.2533	1.3735
8	1.1215	1.3633	0.1661	1.3638
9	1.2643	1.3609	0.3543	1.3534
10	0.8355	1.3801	0.2013	1.3859
11	0.6599	1.366	0.174	1.3749
12	1.5147	1.3533	0.2427	1.359
13	1.0097	1.3763	0.2598	1.3733
14	0.7884	1.3772	0.1841	1.3798
15	1.1671	1.3857	0.2808	1.3755
16	0.9309	1.3603	0.1543	1.368
17	1.0087	1.3543	0.23	1.3556
18	0.9215	1.3447	0.1331	1.347
19	0.9251	1.3711	0.183	1.3693
20	0.728	1.3662	0.1766	1.3695
21	1.3923	1.3522	0.1748	1.3623
22	1.1687	1.3716	0.1765	1.3681
23	0.8067	1.3747	0.1279	1.3645
24	1.6811	1.3617	0.2982	1.3697
25	0.7882	1.3517	0.1517	1.3621
26	0.719	1.3807	0.1632	1.369
27	0.839	1.3754	0.1676	1.3681
28	0.8784	1.3745	0.2289	1.3731
29	0.9496	1.3664	0.2526	1.3663
30	1.0186	1.3741	0.1796	1.3774
31	1.2204	1.3546	0.2045	1.3564
32	1.2224	1.3592	0.1936	1.34
33	0.8637	1.3651	0.2362	1.3632
34	0.7452	1.3684	0.1509	1.3647
35	0.914	1.3696	0.1137	1.369
36	0.8866	1.346	0.1504	1.3442
37	1.045	1.3475	0.2659	1.3579
38	0.662	1.3852	0.1522	1.3815
39	0.9952	1.3457	0.1814	1.3559
40	0.8186	1.3791	0.1021	1.3857
41	1.0561	1.3705	0.2365	1.3649
42	0.8397	1.3772	0.2432	1.3779
43	0.7419	1.3837	0.1249	1.383
44	0.7917	1.364	0.1535	1.3612
45	0.8082	1.3637	0.1979	1.3615
46	0.8069	1.34	0.1704	1.3363
47	1.0583	1.3853	0.13	1.389
48	0.8349	1.3644	0.1804	1.3642
49	0.9415	1.3757	0.1711	1.3731
50	0.5791	1.3715	0.1322	1.3828
51	0.8618	1.3664	0.2087	1.3605
52	1.1547	1.3609	0.1652	1.3497
53	1.0026	1.3623	0.2842	1.367
54	0.9336	1.3657	0.1234	1.3604
55	1.2127	1.375	0.2046	1.3725
56	0.8439	1.368	0.1986	1.366
57	0.9707	1.3582	0.2628	1.3567
58	0.7691	1.3668	0.206	1.3613
59	0.9866	1.3687	0.1216	1.3707
60	1.0461	1.3595	0.1704	1.3512
61	0.7603	1.3708	0.1535	1.3798
62	0.9874	1.3646	0.1885	1.3672
63	0.809	1.371	0.1827	1.3599
64	0.7806	1.373	0.22	1.3717
65	0.668	1.369	0.1328	1.365
66	0.8963	1.3584	0.1413	1.364
67	1.1295	1.3617	0.2674	1.3529
68	1.1415	1.3885	0.3358	1.386
69	1.2141	1.3507	0.3098	1.3597
70	0.8062	1.3613	0.1343	1.359
71	1.1342	1.3702	0.1557	1.3663
72	0.6097	1.354	0.1279	1.355
73	0.9704	1.3684	0.148	1.3617
74	0.7687	1.3362	0.1498	1.3461
75	1.2168	1.3495	0.1871	1.3511
76	0.9081	1.3551	0.2422	1.354
77	0.867	1.3613	0.2415	1.3702
78	0.9303	1.3571	0.3047	1.3671
79	0.7766	1.3718	0.1361	1.3724
80	0.9145	1.3595	0.2872	1.3651
