字	内部名次	外部名次	来源
的	1	1	内部+外部
是	2	3	内部+外部
一	9	2	内部+外部
了	3	4	内部+外部
在	4	6	内部+外部
和	5	22	内部+外部
不	8	5	内部+外部
我	6	16	内部+外部
有	7	7	内部+外部
个	46	8	内部+外部
人	12	9	内部+外部
就	10	32	内部+外部
中	11	12	内部+外部
这	20	10	内部+外部
上	17	11	内部+外部
也	13	30	内部+外部
很	14	146	内部+外部
大	24	13	内部+外部
你	15	182	内部+外部
为	19	14	内部+外部
都	16	69	内部+外部
来	33	15	内部+外部
会	18	36	内部+外部
到	22	17	内部+外部
出	69	18	内部+外部
要	27	19	内部+外部
好	21	55	内部+外部
以	39	20	内部+外部
对	23	28	内部+外部
时	38	21	内部+外部
他	25	35	内部+外部
地	67	23	内部+外部
等	26	105	内部+外部
们	93	24	内部+外部
得	75	25	内部+外部
多	28	37	内部+外部
可	54	26	内部+外部
还	29	73	内部+外部
下	55	27	内部+外部
年	30	45	内部+外部
说	31	39	内部+外部
生	114	29	内部+外部
去	32	88	内部+外部
与	34	71	内部+外部
子	146	31	内部+外部
能	35	34	内部+外部
后	36	49	内部+外部
过	48	33	内部+外部
被	37	154	内部+外部
更	40	195	内部+外部
将	41	93	内部+外部
发	108	38	内部+外部
但	42	127	内部+外部
小	43	56	内部+外部
而	44	40	内部+外部
看	45	102	内部+外部
于	57	41	内部+外部
自	121	42	内部+外部
用	47	44	内部+外部
之	72	43	内部+外部
最	49	169	内部+外部
吃	50	457	内部+外部
行	120	46	内部+外部
让	51	302	内部+外部
家	65	47	内部+外部
并	52	138	内部+外部
方	155	48	内部+外部
日	53	100	内部+外部
作	173	50	内部+外部
做	56	188	内部+外部
成	90	51	内部+外部
开	105	52	内部+外部
从	58	81	内部+外部
面	148	53	内部+外部
没	59	115	内部+外部
事	144	54	内部+外部
新	60	162	内部+外部
里	61	83	内部+外部
给	62	155	内部+外部
心	175	57	内部+外部
着	63	64	内部+外部
前	82	58	内部+外部
高	64	87	内部+外部
所	91	59	内部+外部
想	66	110	内部+外部
道	186	60	内部+外部
法	171	61	内部+外部
点	68	80	内部+外部
如	85	62	内部+外部
进	162	63	内部+外部
或	70	257	内部+外部
她	71	322	内部+外部
同	158	65	内部+外部
经	156	66	内部+外部
太	73	237	内部+外部
分	112	67	内部+外部
本	74	72	内部+外部
定	249	68	内部+外部
其	76	74	内部+外部
把	77	112	内部+外部
然	383	70	内部+外部
第	78	152	内部+外部
又	79	125	内部+外部
比	80	197	内部+外部
再	81	147	内部+外部
当	116	75	内部+外部
买	83	659	内部+外部
起	134	76	内部+外部
那	84	118	内部+外部
动	217	77	内部+外部
已	118	78	内部+外部
该	86	250	内部+外部
两	168	79	内部+外部
啊	87	978	内部+外部
吧	88	773	内部+外部
书	89	220	内部+外部
