部首	首位字数	首位频(万)	任意位字数	任意位频(万)	例字
口	282	6143	1127	35306	和就说后吃可
日	86	9557	455	17482	是都时但最得
土	120	4715	285	16378	在到等去地至
亠	139	8452	490	14212	就这新高该市
亻	224	11927	352	13264	你他但做们您
勹	17	368	122	11040	的约喝包易句
白	15	9274	69	10047	的原拍源怕帕
又	18	2092	255	9039	对被最没发爱
厶	15	1381	191	7272	会去能却公法
小	3	28	147	7178	就你您原称尔
寸	0	0	96	7160	对等时将过特
人	6	863	292	6657	以从则次款资
辶	100	6382	126	6585	这还过进道达
禾	55	6260	98	6452	和科利称种香
木	229	4129	381	6274	想菜机李某林
八	23	801	295	5969	其只分公真期
女	104	3395	187	5915	好要她如数安
氵	349	5402	373	5610	没法海油清活
扌	244	5463	250	5608	把打挺找提拉
讠	130	5250	138	5292	说让该请话读
阝	54	1296	144	5115	都那啊部陈帮
十	26	1169	243	4765	做真科值据克
二	8	821	135	4734	会元动完玩信
宀	97	3644	221	4532	家它完安定管
刂	0	0	91	4340	到前则型利别
匕	5	31	131	4220	能比它呢此老
彳	38	3794	48	3825	很得行德微往
儿	0	0	73	3787	说元先四完玩
夕	8	1867	66	3723	多将名外岁罗
大	18	215	148	3680	买美因类达关
艹	298	2807	366	3525	菜花满节英茶
目	47	206	97	3259	看着想省算相
子	10	159	68	3162	好学李字教游
艮	2	1	34	3145	很跟食银根眼
贝	29	587	172	3011	则资贵项题费
纟	117	2907	123	2994	给经线约组红
立	34	1746	114	2805	新部位站拉啦
冖	11	358	141	2771	学爱带写受常
尤	0	0	11	2739	就优忧犹扰疣
心	0	0	109	2630	想您总德感意
夂	11	720	112	2501	路图各处条格
丁	4	937	61	2499	可啊打阿河何
攵	0	0	94	2473	做放数收改教
几	4	36	95	2226	没机股投段设
田	26	561	217	2127	鱼男果副画留
力	6	482	91	1973	加动别男办另
月	109	1123	154	1964	期股明服脸湖
王	108	1211	151	1864	全现玩理球班
囗	20	1670	67	1808	国因图四回团
广	52	1539	91	1771	店应度座库嘛
巾	18	119	68	1738	市带制帮布常
至	4	1554	17	1726	到倒致室屋握
工	11	267	68	1625	经式差项红试
冫	29	939	101	1559	次率资均准冷
刀	3	24	73	1514	分超份解留粉
灬	0	0	61	1482	点黑热然照煮
尸	38	786	90	1461	呢据展属层尼
殳	0	0	31	1379	没股投段设般
丬	9	1308	13	1330	将装奖状酱蒋
耳	17	357	46	1319	最联取摄职耶
皮	1	12	19	1291	被波破坡颇披
衤	37	1266	37	1266	被补初裕裙裤
忄	105	1249	108	1251	性快情懂慢怕
米	31	818	80	1225	类数粉奥楼料
廾	0	0	27	1182	并算弄饼异拼
钅	176	1178	177	1181	钱镇银错锅铁
隹	7	215	86	1121	集谁难维推准
门	43	586	60	1108	们问间简闻润
欠	0	0	48	981	次款资歌欧软
厂	30	506	85	977	原产源压萨厅
山	72	465	117	958	岁微岛峰瑞端
火	82	604	126	941	烤炒谈烧炸爆
方	13	431	52	921	放房游防旅施
页	0	0	53	852	项题领预额顿
弓	17	696	29	817	张强涨引粥湾
止	18	585	46	815	此些步企武嘴
青	3	40	21	809	请清情精静猜
马	35	187	54	802	吗妈码玛验骂
走	11	780	14	790	起越超赵赶赴
豕	1	0	23	756	家豪嫁逐遂隧
匚	23	538	63	742	区医欧藏汇巨
己	2	135	17	740	起记改配纪凯
里	2	56	30	726	量理重懂野董
虫	93	162	131	715	强蛮融虾虽蛋
卩	0	0	25	675	却即脚命印聊
石	79	562	93	634	破研碗确硬码
示	0	0	53	598	款标票宗际奈
皿	0	0	49	596	盘盐温蓝盖益
见	0	0	26	581	现视观规觉宽
卜	0	0	21	580	外处盐补赴朴
矢	8	265	32	566	知医短智埃族
廴	3	186	19	543	挺建健键延庭
巳	3	84	32	542	包跑港导泡抱
户	12	190	33	530	房篇偏编护启
彡	1	34	58	521	影形修参彩须
礻	35	503	35	503	神社视福礼祝
玉	0	0	11	499	国宝莹钰玺璧
弋	4	210	16	496	式代试贷腻袋
舌	8	135	15	488	话活甜乱适括
犬	1	2	30	478	然器获状哭突
酉	37	306	49	476	配酒酸酱酷酥
父	5	56	25	474	较交校效爸咬
车	1	6	28	471	连军库链辉阵
犭	49	363	56	464	获狗猫猪独逛
穴	25	369	33	449	穿空控突究窗
自	6	79	24	439	道首息鼻咱臭
糸	0	0	27	433	系索素累紧紫
长	0	0	8	396	张涨账帐胀苌
羊	2	40	23	389	样群鲜善洋详
牛	3	144	21	380	制件解蟹牵牢
疒	77	365	78	366	病痛症瘦疼疾
内	1	125	18	345	肉纳锅窝腐讷
饣	34	331	34	331	饭馆饰饼饱饮
歹	19	246	28	309	死列例烈残裂
凵	4	19	33	297	离画脑胸龄涵
用	0	0	21	295	解角确嘴蟹拥
非	7	26	26	278	排靠菲罪悲裴
舟	20	256	22	278	盘般航船舰搬
手	0	0	14	264	拿摩撑掌拳攀
牙	3	54	11	256	穿呀雅邪芽鸦
言	0	0	18	232	信警詹誉瞻誓
片	5	217	5	217	版牌牒牍牖
