root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
卜	e	y	0.9087347902924878	0	0	20	191	0	3	1340	2637	71.52000000000044	11.324063393775088	54.34459016816335	8.098482622851263	l
卜	e	l	0.9087347902924878	0	0	20	193	0	3	1339	2637	71.57000000000042	11.324063393775088	54.34459016816335	9.007217413143751	l
卜	e	q	0.9087347902924878	0	0	20	191	0	3	1339	2633	69.91000000000021	12.232798184067576	55.253324958455835	8.098482622851263	l
皿	h	q	0.282187919033655	0	0	20	193	0	3	1338	2633	70.01250000000023	11.606251312808743	55.53551287748949	8.098482622851263	l
白	n	b	2.1745719592885857	0	0	20	195	0	3	1338	2633	69.42750000000014	11.324063393775088	57.42789691774442	8.098482622851263	l
卜	e	o	0.9087347902924878	0	0	20	194	0	3	1335	2633	69.99500000000022	11.324063393775088	54.34459016816335	8.098482622851263	l
矢	a	b	0.14355936067692635	0	0	21	197	0	2	1339	2636	70.59500000000033	11.180504033098162	55.253324958455835	8.098482622851263	l
斤	t	m	0.3944541724052195	0	0	21	191	0	3	1340	2637	71.21250000000042	11.324063393775088	54.858870786050616	8.098482622851263	l
斤	t	o	0.3944541724052195	0	0	21	192	0	3	1340	2637	70.66500000000035	11.324063393775088	54.858870786050616	8.098482622851263	l
斤	t	w	0.3944541724052195	0	0	21	192	0	3	1340	2636	70.76250000000033	11.324063393775088	55.253324958455835	8.098482622851263	l
米	k	y	0.24882717296658388	0	0	21	195	0	3	1340	2636	70.57250000000033	11.324063393775088	55.253324958455835	8.098482622851263	l
卜	e	z	0.9087347902924878	0	0	21	192	0	3	1340	2635	70.65750000000033	12.232798184067576	55.253324958455835	8.098482622851263	l
立	t	d	0.48295035264792757	0	0	21	190	0	3	1340	2634	72.03500000000047	11.324063393775088	55.253324958455835	8.098482622851263	l
耂	i	k	0.5665169202588258	0	0	21	194	0	3	1339	2639	69.83500000000019	11.324063393775088	55.253324958455835	8.098482622851263	l
辛	s	h	0.022076274114872087	0	0	21	193	0	3	1339	2638	70.3100000000003	11.324063393775088	55.23124868434096	8.098482622851263	l
辛	s	d	0.022076274114872087	0	0	21	193	0	3	1339	2638	70.36000000000031	11.324063393775088	55.253324958455835	8.098482622851263	l
辛	s	y	0.022076274114872087	0	0	21	193	0	3	1339	2638	70.58500000000033	11.324063393775088	55.23124868434096	8.098482622851263	l
臣	o	m	0.020559639529970378	0	0	21	193	0	3	1339	2638	70.61000000000033	11.324063393775088	55.253324958455835	8.098482622851263	l
辛	s	m	0.022076274114872087	0	0	21	193	0	3	1339	2638	70.76000000000033	11.324063393775088	55.23124868434096	8.098482622851263	l
辛	s	i	0.022076274114872087	0	0	21	193	0	3	1339	2638	71.36000000000043	11.324063393775088	55.23124868434096	8.098482622851263	l
衣	q	b	0.11699393622768589	0	0	21	194	0	3	1339	2638	70.49500000000033	11.207069457547401	55.253324958455835	8.098482622851263	l
辛	s	a	0.022076274114872087	0	0	21	195	0	3	1339	2638	70.05000000000022	11.34613966788996	55.253324958455835	8.098482622851263	l
辛	s	k	0.022076274114872087	0	0	21	195	0	3	1339	2638	70.16000000000024	11.324063393775088	55.23124868434096	8.098482622851263	l
辛	s	x	0.022076274114872087	0	0	21	195	0	3	1339	2638	70.26000000000029	11.324063393775088	55.253324958455835	8.098482622851263	l
虫	b	p	0.18140794842113928	0	0	21	203	0	3	1339	2638	69.56500000000014	11.505471342196227	55.071917010034696	8.098482622851263	l
夕	a	m	0.8638407092906305	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
束	b	j	0.06773895329966469	0	0	21	192	0	3	1339	2637	70.3375000000003	11.324063393775088	55.18558600515617	8.098482622851263	l
韦	k	h	0.044128159617794364	0	0	21	192	0	3	1339	2637	70.68500000000031	11.324063393775088	55.253324958455835	8.098482622851263	l
鸟	s	j	0.1110388518618757	0	0	21	192	0	3	1339	2637	70.72250000000037	11.324063393775088	55.14228610659396	8.098482622851263	l
耂	i	c	0.5665169202588258	0	0	21	193	0	3	1339	2637	69.78500000000018	11.324063393775088	55.81984187871466	8.098482622851263	l
至	n	v	0.4594622951513982	0	0	21	193	0	3	1339	2637	70.12500000000028	11.324063393775088	55.71278725360723	8.098482622851263	l
臣	o	k	0.020559639529970378	0	0	21	193	0	3	1339	2637	70.13500000000023	11.324063393775088	55.253324958455835	8.098482622851263	l
井	b	i	0.086089975993972	0	0	21	193	0	3	1339	2637	70.16000000000025	11.324063393775088	55.16723498246186	8.098482622851263	l
毛	v	m	0.32603832606917865	0	0	21	193	0	3	1339	2637	70.18000000000028	11.324063393775088	54.927286632386654	8.098482622851263	l
里	v	y	0.44329205058447957	0	0	21	193	0	3	1339	2637	70.23500000000028	11.324063393775088	54.81003290787135	8.098482622851263	l
臣	o	h	0.020559639529970378	0	0	21	193	0	3	1339	2637	70.25000000000028	11.324063393775088	55.253324958455835	8.098482622851263	l
甫	g	s	0.019731735380903375	0	0	21	193	0	3	1339	2637	70.27000000000024	11.324063393775088	55.253324958455835	8.098482622851263	l
井	b	h	0.086089975993972	0	0	21	193	0	3	1339	2637	70.2800000000003	11.324063393775088	55.16723498246186	8.098482622851263	l
耂	i	m	0.5665169202588258	0	0	21	193	0	3	1339	2637	70.2850000000003	11.324063393775088	55.253324958455835	8.098482622851263	l
辛	s	j	0.022076274114872087	0	0	21	193	0	3	1339	2637	70.3075000000003	11.324063393775088	55.23124868434096	8.098482622851263	l
井	b	y	0.086089975993972	0	0	21	193	0	3	1339	2637	70.3100000000003	11.324063393775088	55.16723498246186	8.098482622851263	l
丽	o	w	0.15277425070971604	0	0	21	193	0	3	1339	2637	70.3500000000003	11.324063393775088	55.40609920916555	8.098482622851263	l
彳	u	y	0.6687801745251054	0	0	21	193	0	3	1339	2637	70.37500000000031	11.324063393775088	55.253324958455835	8.098482622851263	l
丽	o	q	0.15277425070971604	0	0	21	193	0	3	1339	2637	70.4250000000003	11.476837644484805	55.40609920916555	8.098482622851263	l
井	b	d	0.086089975993972	0	0	21	193	0	3	1339	2637	70.4350000000003	11.324063393775088	55.253324958455835	8.098482622851263	l
卵	k	y	0.03445541800896151	0	0	21	193	0	3	1339	2637	70.45000000000032	11.324063393775088	55.253324958455835	8.098482622851263	l
甫	g	y	0.019731735380903375	0	0	21	193	0	3	1339	2637	70.61750000000032	11.324063393775088	55.233593223074934	8.098482622851263	l
佥	a	j	0.051883817530393485	0	0	21	193	0	3	1339	2637	70.73000000000032	11.272179576244694	55.20144114092544	8.098482622851263	l
夷	e	l	0.003385377276311344	0	0	21	193	0	3	1339	2637	70.78500000000032	11.324063393775088	55.249939581179525	8.101868000127574	l
韦	k	v	0.044128159617794364	0	0	21	193	0	3	1339	2637	70.90000000000036	11.324063393775088	55.297453118073626	8.098482622851263	l
夷	e	m	0.003385377276311344	0	0	21	193	0	3	1339	2637	71.01000000000039	11.324063393775088	55.249939581179525	8.098482622851263	l
立	t	w	0.48295035264792757	0	0	21	193	0	3	1339	2637	71.1625000000004	11.324063393775088	55.253324958455835	8.098482622851263	l
九	p	z	0.05253654006435758	0	0	21	194	0	3	1339	2637	69.94750000000022	11.324063393775088	55.305861498520194	8.098482622851263	l
辛	s	q	0.022076274114872087	0	0	21	194	0	3	1339	2637	70.01000000000022	11.346139667889961	55.253324958455835	8.098482622851263	l
束	b	p	0.06773895329966469	0	0	21	194	0	3	1339	2637	70.02500000000022	11.391802347074753	55.18558600515617	8.098482622851263	l
氏	s	o	0.11068097376668697	0	0	21	194	0	3	1339	2637	70.11000000000021	11.324063393775088	55.14264398468915	8.098482622851263	l
丽	o	y	0.15277425070971604	0	0	21	194	0	3	1339	2637	70.22500000000026	11.324063393775088	55.253324958455835	8.098482622851263	l
矢	a	i	0.14355936067692635	0	0	21	194	0	3	1339	2637	71.24500000000042	11.180504033098162	55.10976559777891	8.098482622851263	l
毛	v	e	0.32603832606917865	0	0	21	195	0	3	1339	2637	70.08500000000024	11.324063393775088	55.253324958455835	8.098482622851263	l
习	j	l	0.054108673612549965	0	0	21	195	0	3	1339	2637	70.2600000000003	11.324063393775088	55.253324958455835	8.152591296463813	l
氏	s	l	0.11068097376668697	0	0	21	195	0	3	1339	2637	70.3375000000003	11.324063393775088	55.14264398468915	8.20916359661795	l
毛	v	t	0.32603832606917865	0	0	21	196	0	3	1339	2637	69.8600000000002	11.324063393775088	55.253324958455835	8.098482622851263	l
毛	v	u	0.32603832606917865	0	0	21	196	0	3	1339	2637	70.95000000000037	11.324063393775088	54.927286632386654	8.098482622851263	l
纟	o	j	0.7285838864500331	0	0	21	196	0	3	1339	2637	74.65000000000079	11.324063393775088	55.253324958455835	8.098482622851263	l
囗	l	b	0.29228734238277077	0	0	21	197	0	3	1339	2637	70.15250000000023	11.324063393775088	55.545612300838606	7.806195280468492	l
鸟	s	t	0.1110388518618757	0	0	21	199	0	3	1339	2637	69.9375000000002	11.324063393775088	55.253324958455835	8.098482622851263	l
鬼	t	j	0.027571504262519655	0	0	21	191	0	3	1339	2636	70.36000000000028	11.324063393775088	55.22575345419332	8.098482622851263	l
立	t	j	0.48295035264792757	0	0	21	191	0	3	1339	2636	70.98750000000038	11.324063393775088	54.77037460580791	8.098482622851263	l
鬼	t	o	0.027571504262519655	0	0	21	192	0	3	1339	2636	70.17000000000024	11.324063393775088	55.22575345419332	8.098482622851263	l
韦	k	s	0.044128159617794364	0	0	21	192	0	3	1339	2636	70.43500000000031	11.324063393775088	55.297453118073626	8.098482622851263	l
骨	z	j	0.02296978957852602	0	0	21	192	0	3	1339	2636	70.58500000000033	11.301093604196563	55.23035516887731	8.098482622851263	l
韦	k	q	0.044128159617794364	0	0	21	192	0	3	1339	2636	70.63500000000032	11.368191553392883	55.297453118073626	8.098482622851263	l
龙	t	m	0.6101005000171068	0	0	21	192	0	3	1339	2636	70.69500000000032	11.324063393775088	54.64322445843873	8.098482622851263	l
