root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
卜	e	y	0.9087347902924878	0	0	20	190	0	3	1340	2638	71.67500000000044	10.460222684484457	53.480749458872715	8.098482622851263	l
卜	e	l	0.9087347902924878	0	0	20	192	0	3	1339	2638	71.97500000000046	10.460222684484457	53.480749458872715	9.007217413143751	l
卜	e	q	0.9087347902924878	0	0	20	190	0	3	1339	2634	70.06500000000024	11.368957474776945	54.38948424916521	8.098482622851263	l
皿	h	q	0.282187919033655	0	0	20	192	0	3	1338	2634	70.1675000000003	10.742410603518113	54.67167216819886	8.098482622851263	l
白	n	b	2.1745719592885857	0	0	20	194	0	3	1338	2634	69.58250000000017	10.460222684484457	56.56405620845379	8.098482622851263	l
卜	e	o	0.9087347902924878	0	0	20	193	0	3	1335	2634	70.15000000000029	10.460222684484457	53.480749458872715	8.098482622851263	l
矢	a	b	0.14355936067692635	0	0	21	196	0	2	1339	2636	70.75000000000036	10.316663323807532	54.38948424916521	8.098482622851263	l
斤	t	o	0.3944541724052195	0	0	21	191	0	3	1340	2638	70.82000000000036	10.460222684484457	53.99503007675999	8.098482622851263	l
斤	t	m	0.3944541724052195	0	0	21	191	0	3	1340	2638	71.36750000000045	10.460222684484457	53.99503007675999	8.098482622851263	l
斤	t	w	0.3944541724052195	0	0	21	191	0	3	1340	2637	70.91750000000039	10.460222684484457	54.38948424916521	8.098482622851263	l
米	k	y	0.24882717296658388	0	0	21	194	0	3	1340	2637	70.72750000000035	10.460222684484457	54.38948424916521	8.098482622851263	l
卜	e	z	0.9087347902924878	0	0	21	191	0	3	1340	2636	70.81250000000037	11.368957474776947	54.38948424916521	8.098482622851263	l
立	t	d	0.48295035264792757	0	0	21	189	0	3	1340	2635	72.19000000000051	10.460222684484457	54.38948424916521	8.098482622851263	l
耂	i	k	0.5665169202588258	0	0	21	193	0	3	1339	2640	69.99000000000024	10.460222684484457	54.38948424916521	8.098482622851263	l
辛	s	h	0.022076274114872087	0	0	21	192	0	3	1339	2639	70.46500000000034	10.460222684484457	54.367407975050334	8.098482622851263	l
辛	s	d	0.022076274114872087	0	0	21	192	0	3	1339	2639	70.51500000000034	10.460222684484457	54.3894842491652	8.098482622851263	l
辛	s	y	0.022076274114872087	0	0	21	192	0	3	1339	2639	70.74000000000035	10.460222684484457	54.367407975050334	8.098482622851263	l
辛	s	m	0.022076274114872087	0	0	21	192	0	3	1339	2639	70.91500000000039	10.460222684484457	54.367407975050334	8.098482622851263	l
辛	s	i	0.022076274114872087	0	0	21	192	0	3	1339	2639	71.51500000000044	10.460222684484457	54.367407975050334	8.098482622851263	l
衣	q	b	0.11699393622768589	0	0	21	193	0	3	1339	2639	70.65000000000033	10.343228748256772	54.38948424916521	8.098482622851263	l
辛	s	a	0.022076274114872087	0	0	21	194	0	3	1339	2639	70.2050000000003	10.48229895859933	54.38948424916521	8.098482622851263	l
辛	s	k	0.022076274114872087	0	0	21	194	0	3	1339	2639	70.31500000000032	10.460222684484457	54.367407975050334	8.098482622851263	l
辛	s	x	0.022076274114872087	0	0	21	194	0	3	1339	2639	70.41500000000033	10.460222684484457	54.38948424916521	8.098482622851263	l
虫	b	p	0.18140794842113928	0	0	21	202	0	3	1339	2639	69.72000000000018	10.641630632905596	54.20807630074407	8.098482622851263	l
