类型	加权分	单字	字频序	全码	二字词最高序	二字词	二字贡献	四字词最高序	四字词	四字贡献
固定基线	0.5	万	139	wjhv	2024	晚会 挽回	0.5			0.0
固定基线	0.5	川	619	iruu	6140	传输 传书	0.5			0.0
软词撞	0.5	肿	2056	vswu	725	中午 重物	0.5			0.0
软词撞	0.5	仕	2127	uier	671	事儿 十二 时而	0.5			0.0
软词撞	0.5	蔬	2434	uufu	518	舒服 束缚 叔父	0.5			0.0
软词撞	0.5	怖	3024	bupa	1018	不怕	0.5			0.0
软词撞	0.5	柚	3062	yzso	1325	有所 有锁	0.5			0.0
软词撞	0.45	拌	1498	bjqq	14407	半球 板球	0.2	1486	并驾齐驱	0.25
软词撞	0.325	石	436	uiyy	19626	时运 诗云	0.2	2199	事出有因	0.125
软词撞	0.3	面	148	mmmm	35872	绵绵 面面	0.05	315	密密麻麻 明明灭灭	0.25
软词撞	0.3	杯	541	bwsd	44903	杯赛	0.05	1839	不为所动	0.25
软词撞	0.275	呼	1563	huxu	8099	胡须 虎须	0.25	12125	浑身解数	0.025
软词撞	0.275	菁	2852	jkfw	4109	经费 警匪	0.25	12010	济困扶危	0.025
软词撞	0.25	书	89	uuvd	25637	书斋 书摘	0.2	11012	深水炸弹	0.05
软词撞	0.25	越	246	ytld			0.0	588	亚特兰大	0.25
软词撞	0.25	木	551	muss	13317	目送	0.2	16202	民事诉讼	0.05
软词撞	0.25	养	562	yhhu	12472	养护	0.2	17559	有话好说	0.05
软词撞	0.25	演	756	yjrg			0.0	1908	一见如故 衣锦荣归	0.25
软词撞	0.25	依	848	yieq			0.0	1470	扬长而去	0.25
软词撞	0.25	宇	1102	yuic			0.0	1494	与世长辞	0.25
软词撞	0.25	鼠	1729	uunv	4312	淑女	0.25			0.0
软词撞	0.25	弯	1767	wjsv	2318	万岁	0.25			0.0
软词撞	0.25	础	1817	iuyi	7208	初一 厨艺 处以 除以	0.25			0.0
软词撞	0.25	径	1966	jkuz	5110	经受 经手 精瘦	0.25			0.0
软词撞	0.25	碑	1989	bwyk	4459	背影 北影	0.25			0.0
软词撞	0.25	拒	2021	juqk	2497	剧情	0.25			0.0
软词撞	0.25	哒	2112	daxl	3520	大象 打响 大项	0.25			0.0
软词撞	0.25	苯	2299	bffh	9852	奔放	0.25			0.0
软词撞	0.25	嗣	2404	sixx	3693	私下 撕下 四下	0.25			0.0
软词撞	0.25	疆	2447	jlvh	9007	奖章	0.25			0.0
软词撞	0.25	薯	2451	uufh	5217	书房 书坊	0.25			0.0
软词撞	0.25	叹	2512	tjxb	5822	贪心 谈心	0.25			0.0
软词撞	0.25	咳	2556	kexk	4931	可行 克星	0.25			0.0
软词撞	0.25	丈	2591	vhkd	3557	张开	0.25			0.0
软词撞	0.25	哼	2621	hgxl	9593	横向	0.25			0.0
软词撞	0.25	芥	2662	jpfu	5048	姐夫 节妇	0.25			0.0
软词撞	0.25	掐	2725	qxqn	8218	恰巧	0.25			0.0
软词撞	0.25	媚	2776	mwnv	7726	美女	0.25			0.0
软词撞	0.25	晾	2859	llve	2804	两者	0.25			0.0
软词撞	0.25	秩	2885	vipa	5425	只怕	0.25			0.0
软词撞	0.25	婧	2886	jknw	6211	境内	0.25			0.0
软词撞	0.25	霄	2937	xnmw	8501	小妹	0.25			0.0
软词撞	0.25	冥	3010	mkig	4569	名称 名城	0.25			0.0
软词撞	0.25	灸	3068	jqbw	6719	酒杯	0.25			0.0
