字	频(万)	作首部件字数	作末部件字数	部件覆盖频(万)	首笔	末笔	笔画拆同音节撞
口	131	282	437	23711	丨	一	
日	770	86	136	11980	丨	一	
土	59	120	105	12262	一	一	
白	141	15	24	9599	?	?	
又	514	18	177	8491	横撇	丶	
人	2231	6	207	5726	丿	丶	
寸	13	0	90	7144	?	?	
禾	7	55	10	6339	?	?	
木	77	229	112	5973	一	丶	
了	5956	1	5	40	横撇	乙	
女	200	104	68	5615	乙	一	
戈	22	5	24	5327	?	?	
一	2735	13	73	2448	?	?	已已乙夷
也	2213	0	9	2855	?	?	
小	967	3	112	3855	乙	丶	
不	3233	6	7	1531	一	平点	
大	1474	18	65	3252	一	丶	
儿	90	0	64	3664	丿	乙	
八	80	23	91	3213	丿	丶	
子	265	10	39	2918	?	?	自
艮	2	2	31	3145	?	?	
十	169	26	110	2815	一	丨	
心	232	0	108	2629	丶	丶	
尤	28	0	8	2737	?	?	由酉
上	1767	3	1	812	丨	一	
中	2231	2	8	319	丨	丨	
目	111	47	32	2340	丨	一	
夕	5	8	20	2369	?	?	
月	382	109	30	1842	?	?	曰
王	267	108	42	1863	?	?	亡
斤	27	2	33	1897	?	?	
力	180	6	69	1644	乙	丿	
为	1703	0	3	11	?	?	未卫
工	172	11	41	1538	?	?	弓弓
广	85	52	5	1568	?	?	
丁	48	4	23	1517	一	乙	
巾	3	18	42	1538	丨	丨	
里	704	2	28	726	?	?	吏
与	1186	1	4	219	一	一	
田	85	26	55	1315	?	?	天
二	266	8	7	1132	一	一	耳耳
巴	94	0	27	1260	?	?	
来	1202	1	6	58	?	?	
门	148	43	2	1022	丶	乙	
更	1011	0	8	156	?	?	
米	168	31	18	918	?	?	
火	89	82	45	932	?	?	
下	753	1	4	260	?	?	
乙	18	0	16	987	?	?	一已已夷
用	835	0	8	163	?	?	永永
马	193	35	19	802	乙	一	
生	348	1	14	620	?	?	升
刀	40	3	24	864	乙	丿	
山	177	72	18	667	?	?	
尸	5	38	6	830	?	?	世氏失矢
车	363	1	25	469	?	?	尺
止	47	18	11	753	丨	一	
于	748	1	8	38	?	?	玉禹
戊	2	9	1	775	?	?	无五午毋兀
己	69	2	13	708	?	?	击
本	578	0	5	182	?	?	
长	363	0	8	396	平撇	丶	
弓	10	17	8	746	?	?	工
内	414	1	14	335	?	?	
自	322	6	6	427	?	?	子
厂	41	30	4	693	一	丿	
虫	17	93	37	715	?	?	
开	378	4	3	350	?	?	
由	375	3	15	348	?	?	尤尤酉
且	121	4	17	580	?	?	
及	418	0	9	275	丿	丶	
几	95	4	34	581	丿	乙	
出	638	1	11	29	?	?	
太	598	1	5	45	?	?	
之	606	0	6	36	丶	平捺	
母	40	0	14	595	乙	丶	
士	68	23	2	564	一	一	
才	425	0	5	182	?	?	
主	216	0	8	348	?	?	术朱朱
玉	59	0	11	499	?	?	于禹
矢	5	8	16	539	?	?	世氏失尸
正	206	3	8	334	?	?	
巳	2	3	23	526	?	?	
卜	10	0	16	515	丨	平点	
再	511	0	0	0	?	?	
手	211	0	14	264	?	?	
书	475	0	0	0	?	?	术束
天	308	3	16	156	?	?	田
牛	85	3	18	353	?	?	
耳	21	17	15	413	一	一	二
酉	1	37	4	433	?	?	由尤尤
两	235	0	7	191	一	丶	
水	311	2	12	114	乙	丶	
壬	1	0	14	414	?	?	刃
井	31	0	5	371	?	?	
三	382	0	3	5	一	一	
东	187	1	3	179	一	丶	
业	241	4	6	124	丨	一	
户	70	12	7	271	?	?	互
千	57	11	9	274	?	?	
已	330	0	0	0	?	?	一乙夷
片	108	5	0	217	丿	乙	
专	69	0	5	239	一	平点	
万	276	2	5	24	一	丿	
乃	19	4	15	271	乙	丿	
未	172	0	5	115	?	?	为卫
牙	30	3	7	256	一	丿	
无	277	0	5	6	?	?	五午戊毋兀末末
干	139	2	19	142	?	?	甘
兀	1	1	25	275	?	?	无五午戊毋
甘	25	2	9	244	?	?	干
事	266	0	0	0	一	乙	
犬	14	1	22	251	?	?	
尹	11	3	3	253	?	?	
舟	8	20	0	256	?	?	州州
求	107	2	3	145	?	?	
平	176	0	10	74	?	?	
束	14	4	5	236	?	?	书术
西	198	0	8	50	一	一	
鸟	29	2	56	210	?	?	
吏	3	0	1	226	?	?	里
入	218	1	0	0	丿	丶	
申	36	1	10	176	?	?	
弗	34	1	5	171	?	?	夫
亚	119	5	5	85	?	?	
丰	37	6	10	167	?	?	
夫	80	3	7	122	?	?	弗弗
电	161	0	12	36	?	?	
韦	29	3	13	163	一	丨	
五	160	1	1	27	?	?	无午戊毋兀
亡	11	9	8	168	?	?	王
龙	113	5	12	55	?	?	
