字	全码	同项序号	核定简码
一	yirr	0	yi
丁	dknn	0	dkn
七	qigg	0	qig
万	morz	0	mor
万	wjrz	0	wj
丈	vhbd	0	vhb
三	sjrr	0	sj
上	uhsr	0	uh
下	xxrs	0	xx
不	burd	0	b
与	yurr	0	yu
丑	izzp	0	izz
专	vrkk	0	vrk
且	qprr	0	qp
世	uiiz	0	uii
业	yeer	0	yee
东	dscc	0	dsc
丝	siff	0	sif
丢	dqpk	0	dq
两	lldd	0	ll
严	yjek	0	yje
个	gedy	0	ge
中	vsjy	0	v
丰	fgxx	0	fgx
串	irjy	0	irj
临	lbhy	0	lbh
丸	wjhh	0	wjh
丹	djdb	0	djd
为	wwkk	0	ww
主	vubp	0	vu
丽	lidd	0	lid
举	jufe	0	juf
乃	ndnn	0	ndn
久	jqgg	0	jq
么	mekk	0	me
义	yide	0	yid
之	viff	0	vi
乌	wucc	0	wuc
乎	huky	0	huk
乐	lejj	0	le
乐	ytjj	0	ytj
乔	qnyy	0	qny
乘	igcg	0	igc
乙	yizz	0	yiz
九	jqhh	0	jqh
也	yehh	0	ye
习	xinn	0	xin
乡	xlff	0	xlf
书	uuzd	0	uu
买	mdzv	0	md
乱	lrxz	0	lr
了	lexx	0	l
了	lnxx	0	lnx
予	yugg	0	yug
争	vgod	0	vgo
事	uird	0	uir
二	errr	0	er
于	yuxx	0	yux
亏	kvrz	0	kv
云	yyrk	0	yy
互	hudd	0	hud
五	wuqq	0	wuq
井	jkjj	0	jkj
亚	yaee	0	ya
些	xpyr	0	xpy
亡	whbz	0	whb
交	jnee	0	jne
亦	yiyy	0	yiy
产	ijhk	0	ij
享	xlkx	0	xlk
京	jkkf	0	jkk
亮	llkd	0	llk
亲	qbhf	0	qb
亲	qkhf	0	qkh
人	rfdd	0	r
亿	yizz	0	yizz
什	ufzb	0	ufz
什	uizb	0	uiz
仁	rfzr	0	rfz
仅	jbzg	0	jbz
今	jbvv	0	jbv
介	jpdy	0	jpd
仍	rgzn	0	rg
从	csdd	0	cs
仓	chdt	0	chd
仔	zdzx	0	zdz
仔	zizx	0	ziz
他	tazh	0	t
付	futt	0	fut
仙	xmzu	0	xmz
代	ddzb	0	ddz
令	lkvv	0	lkv
以	yioo	0	yio
仪	yize	0	yize
们	mfzl	0	mf
仲	vszy	0	vsz
件	jmzn	0	jmz
价	jxzy	0	jxz
价	jpzy	0	jpz
任	rfzp	0	rf
份	ffzo	0	ffz
仿	fhzl	0	fhz
企	qidy	0	qid
伊	yizk	0	yizk
伏	fuzv	0	fuz
休	xqza	0	xqz
众	vsdd	0	vsd
优	yzzk	0	yzz
伙	hozw	0	hoz
会	hvdk	0	hv
会	kkdk	0	kkd
伟	wwze	0	wwz
传	irzk	0	irz
传	vrzk	0	vrz
伤	uhzk	0	uhz
