moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>p	0	0	1	41	241	0	9	1337	2615	210565
亻:e>o 巾:a>x 月:w>t 田:o>n 艹:f>e	0	0	1	42	260	0	8	1320	2582	212090
亻:e>o 巾:a>q 月:w>t 田:o>n 艹:f>e	0	0	1	42	253	0	8	1320	2579	211965
亻:e>o 巾:a>o 月:w>t 田:o>n 艹:f>e	0	0	1	42	257	0	9	1320	2577	213255
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>e	0	0	1	43	248	0	10	1322	2579	215685
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>e	0	0	1	43	241	0	10	1322	2576	215560
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>e	0	0	1	43	245	0	11	1322	2574	216850
亻:e>o 忄:p>q 月:w>t 田:o>n 艹:f>e	0	0	1	44	259	0	9	1321	2577	216255
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>e	0	0	1	46	248	0	11	1323	2574	221370
亻:e>o 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	1	47	267	0	12	1316	2574	224730
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	1	50	257	0	15	1318	2571	232565
亻:e>o 巾:a>x 月:w>v 田:o>p 艹:f>e	0	0	2	40	238	0	7	1322	2580	407380
亻:e>o 巾:a>o 月:w>v 田:o>p 艹:f>e	0	0	2	40	235	0	8	1322	2575	408545
亻:e>o 巾:a>q 月:w>v 田:o>p 艹:f>e	0	0	2	41	232	0	7	1322	2577	408775
土:r>q 忄:p>a 月:w>t 田:o>n 艹:f>p	0	0	2	41	254	0	8	1335	2614	409710
亻:e>o 忄:p>q 月:w>v 田:o>p 艹:f>e	0	0	2	43	235	0	8	1323	2578	412990
亻:e>o 巾:a>t 月:w>t 田:o>n 艹:f>e	0	0	2	43	258	0	10	1319	2577	416015
土:r>q 忄:p>a 月:w>v 田:o>n 艹:f>p	0	0	2	43	247	0	11	1337	2611	416105
亻:e>c 巾:a>q 月:w>t 田:o>n 艹:f>e	0	0	2	44	260	0	7	1323	2580	413780
亻:e>c 巾:a>o 月:w>t 田:o>n 艹:f>e	0	0	2	44	263	0	8	1323	2582	415030
亻:e>o 巾:a>t 月:w>v 田:o>n 艹:f>e	0	0	2	44	245	0	11	1322	2575	418345
亻:e>c 巾:a>x 月:w>t 田:o>n 艹:f>e	0	0	2	45	268	0	7	1323	2583	415425
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>w	0	0	2	45	249	0	9	1340	2617	416595
土:r>s 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	2	45	256	0	9	1337	2614	416870
亻:e>c 巾:a>q 月:w>v 田:o>n 艹:f>e	0	0	2	45	250	0	9	1325	2577	417415
亻:e>c 巾:a>o 月:w>v 田:o>n 艹:f>e	0	0	2	45	253	0	10	1325	2579	418665
亻:e>c 巾:a>x 月:w>v 田:o>n 艹:f>e	0	0	2	46	258	0	9	1325	2580	419060
亻:e>c 忄:p>q 月:w>t 田:o>n 艹:f>e	0	0	2	47	267	0	8	1324	2578	419590
亻:e>o 巾:a>r 月:w>t 田:o>n 艹:f>w	0	0	2	47	273	0	10	1318	2577	422355
亻:e>o 巾:a>x 月:w>t 田:o>n 艹:f>w	0	0	2	48	275	0	10	1318	2581	423875
亻:e>o 巾:a>q 月:w>t 田:o>n 艹:f>w	0	0	2	48	268	0	10	1318	2578	423750
亻:e>o 巾:a>o 月:w>t 田:o>n 艹:f>w	0	0	2	48	272	0	11	1318	2576	425040
土:r>s 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	2	48	249	0	12	1339	2611	424765
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>w	0	0	2	48	262	0	12	1320	2574	425970
亻:e>c 忄:p>q 月:w>v 田:o>n 艹:f>e	0	0	2	49	258	0	10	1326	2575	424745
亻:e>c 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	2	49	274	0	10	1319	2575	425345
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>w	0	0	2	49	263	0	12	1320	2578	427470
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>w	0	0	2	49	256	0	12	1320	2575	427345
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>w	0	0	2	49	260	0	13	1320	2573	428635
亻:e>o 忄:p>q 月:w>t 田:o>n 艹:f>w	0	0	2	50	274	0	11	1319	2576	428040
亻:e>o 巾:a>r 月:w>t 田:o>n 艹:f>p	0	0	2	50	283	0	12	1314	2562	429690
亻:e>o 巾:a>x 月:w>t 田:o>n 艹:f>p	0	0	2	51	285	0	12	1314	2566	431210
亻:e>o 巾:a>q 月:w>t 田:o>n 艹:f>p	0	0	2	51	278	0	12	1314	2563	431085
亻:e>o 巾:a>o 月:w>t 田:o>n 艹:f>p	0	0	2	51	283	0	13	1314	2561	432395
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>w	0	0	2	52	263	0	13	1321	2573	433155
亻:e>c 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	2	52	266	0	13	1321	2572	433220
土:r>q 忄:p>g 月:w>t 木:s>g 艹:f>p	0	0	2	52	261	0	15	1329	2582	435150
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>p	0	0	2	53	273	0	16	1316	2559	438725
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>p	0	0	2	54	274	0	16	1316	2563	440225
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>p	0	0	2	54	267	0	16	1316	2560	440100
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>p	0	0	2	54	272	0	17	1316	2558	441410
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>n	0	0	2	57	289	0	19	1336	2575	447765
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>n	0	0	2	60	302	0	22	1316	2532	457140
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>n	0	0	2	61	303	0	22	1316	2536	458640
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>n	0	0	2	61	296	0	22	1316	2533	458515
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>n	0	0	2	62	302	0	24	1316	2531	462545
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>n	0	0	2	64	303	0	23	1317	2531	464325
土:r>a 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	2	40	235	1	8	1337	2621	607715
亻:e>o 巾:a>x 月:w>a 田:o>n 艹:f>e	0	0	2	40	249	1	9	1322	2589	609955
亻:e>o 巾:a>q 月:w>a 田:o>n 艹:f>e	0	0	2	40	242	1	9	1322	2586	609830
土:r>q 忄:p>g 月:w>a 田:o>n 艹:f>p	0	0	2	40	234	1	10	1338	2620	610060
亻:e>o 巾:a>o 月:w>a 田:o>n 艹:f>e	0	0	2	40	246	1	10	1322	2584	611120
亻:e>o 忄:p>q 月:w>a 田:o>n 艹:f>e	0	0	2	43	251	1	10	1322	2582	615730
土:r>a 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	2	43	227	1	11	1339	2618	615590
亻:e>o 忄:p>q 月:w>a 田:o>n 艹:f>p	0	0	2	46	259	1	13	1317	2579	624205
亻:e>o 忄:p>q 月:w>v 田:o>p 艹:f>p	0	0	2	48	246	1	13	1317	2573	626975
亻:e>o 巾:a>t 月:w>v 田:o>p 艹:f>e	0	0	3	41	235	0	8	1322	2576	610040
亻:e>c 巾:a>o 月:w>v 田:o>p 艹:f>e	0	0	3	42	244	0	7	1325	2580	610380
亻:e>c 巾:a>x 月:w>v 田:o>p 艹:f>e	0	0	3	43	249	0	6	1325	2581	610775
亻:e>c 巾:a>q 月:w>v 田:o>p 艹:f>e	0	0	3	43	242	0	6	1325	2578	610650
土:r>s 忄:p>g 月:w>t 田:o>n 艹:f>p	0	0	3	44	252	0	9	1337	2614	615290
土:r>q 忄:p>a 月:w>t 田:o>n 艹:f>w	0	0	3	45	261	0	8	1338	2616	615720
土:r>s 巾:a>r 月:w>t 田:o>n 艹:f>w	0	0	3	45	261	0	9	1339	2618	616870
亻:e>o 巾:a>r 月:w>v 田:o>p 艹:f>w	0	0	3	45	251	0	9	1320	2575	617645
亻:e>o 忄:p>a 月:w>v 田:o>n 艹:f>e	0	0	3	45	255	0	11	1321	2573	620095
亻:e>c 忄:p>q 月:w>v 田:o>p 艹:f>e	0	0	3	46	246	0	7	1326	2579	616385
土:r>s 巾:a>x 月:w>t 田:o>n 艹:f>w	0	0	3	46	262	0	9	1339	2621	618375
土:r>s 巾:a>q 月:w>t 田:o>n 艹:f>w	0	0	3	46	257	0	9	1339	2618	618290
亻:e>c 巾:a>t 月:w>t 田:o>n 艹:f>e	0	0	3	46	266	0	9	1322	2578	619350
亻:e>o 巾:a>x 月:w>v 田:o>p 艹:f>w	0	0	3	46	252	0	9	1320	2579	619145
土:r>q 忄:p>a 月:w>v 田:o>n 艹:f>w	0	0	3	46	253	0	10	1340	2613	619395
土:r>s 巾:a>o 月:w>t 田:o>n 艹:f>w	0	0	3	46	260	0	10	1339	2620	619540
亻:e>o 巾:a>o 月:w>v 田:o>p 艹:f>w	0	0	3	46	249	0	10	1320	2574	620310
土:r>s 巾:a>r 月:w>v 田:o>n 艹:f>w	0	0	3	46	253	0	11	1341	2615	620545
亻:e>o 巾:a>q 月:w>v 田:o>p 艹:f>w	0	0	3	47	246	0	9	1320	2576	620540
亻:e>c 巾:a>t 月:w>v 田:o>n 艹:f>e	0	0	3	47	255	0	10	1325	2576	621720
土:r>s 巾:a>x 月:w>v 田:o>n 艹:f>w	0	0	3	47	253	0	11	1341	2618	622030
土:r>s 巾:a>q 月:w>v 田:o>n 艹:f>w	0	0	3	47	248	0	11	1341	2615	621945
土:r>s 巾:a>o 月:w>v 田:o>n 艹:f>w	0	0	3	47	251	0	12	1341	2617	623195
土:r>s 巾:a>r 月:w>t 田:o>n 艹:f>p	0	0	3	48	271	0	10	1335	2603	623005
土:r>q 忄:p>a 月:w>t 木:s>g 艹:f>p	0	0	3	48	266	0	11	1328	2592	624440
土:r>s 忄:p>q 月:w>t 田:o>n 艹:f>w	0	0	3	49	264	0	10	1340	2616	624100
土:r>s 巾:a>x 月:w>t 田:o>n 艹:f>p	0	0	3	49	272	0	10	1335	2606	624510
土:r>s 巾:a>q 月:w>t 田:o>n 艹:f>p	0	0	3	49	267	0	10	1335	2603	624425
亻:e>o 忄:p>q 月:w>v 田:o>p 艹:f>w	0	0	3	49	249	0	10	1321	2577	624755
土:r>s 巾:a>o 月:w>t 田:o>n 艹:f>p	0	0	3	49	271	0	11	1335	2605	625695
