moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>p	0	0	1	41	241	0	9	1337	2615	2010565
亻:e>o 巾:a>x 月:w>t 田:o>n 艹:f>e	0	0	1	42	260	0	8	1320	2582	2012090
亻:e>o 巾:a>q 月:w>t 田:o>n 艹:f>e	0	0	1	42	253	0	8	1320	2579	2011965
亻:e>o 巾:a>o 月:w>t 田:o>n 艹:f>e	0	0	1	42	257	0	9	1320	2577	2013255
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>e	0	0	1	43	248	0	10	1322	2579	2015685
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>e	0	0	1	43	241	0	10	1322	2576	2015560
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>e	0	0	1	43	245	0	11	1322	2574	2016850
亻:e>o 忄:p>q 月:w>t 田:o>n 艹:f>e	0	0	1	44	259	0	9	1321	2577	2016255
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>e	0	0	1	46	248	0	11	1323	2574	2021370
亻:e>o 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	1	47	267	0	12	1316	2574	2024730
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	1	50	257	0	15	1318	2571	2032565
亻:e>o 巾:a>x 月:w>v 田:o>p 艹:f>e	0	0	2	40	238	0	7	1322	2580	4007380
亻:e>o 巾:a>o 月:w>v 田:o>p 艹:f>e	0	0	2	40	235	0	8	1322	2575	4008545
亻:e>o 巾:a>q 月:w>v 田:o>p 艹:f>e	0	0	2	41	232	0	7	1322	2577	4008775
土:r>q 忄:p>a 月:w>t 田:o>n 艹:f>p	0	0	2	41	254	0	8	1335	2614	4009710
亻:e>o 忄:p>q 月:w>v 田:o>p 艹:f>e	0	0	2	43	235	0	8	1323	2578	4012990
土:r>q 忄:p>a 月:w>v 田:o>n 艹:f>p	0	0	2	43	247	0	11	1337	2611	4016105
亻:e>c 巾:a>q 月:w>t 田:o>n 艹:f>e	0	0	2	44	260	0	7	1323	2580	4013780
亻:e>c 巾:a>o 月:w>t 田:o>n 艹:f>e	0	0	2	44	263	0	8	1323	2582	4015030
亻:e>o 巾:a>t 月:w>v 田:o>n 艹:f>e	0	0	2	44	245	0	11	1322	2575	4018345
亻:e>c 巾:a>x 月:w>t 田:o>n 艹:f>e	0	0	2	45	268	0	7	1323	2583	4015425
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>w	0	0	2	45	249	0	9	1340	2617	4016595
土:r>s 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	2	45	256	0	9	1337	2614	4016870
亻:e>c 巾:a>q 月:w>v 田:o>n 艹:f>e	0	0	2	45	250	0	9	1325	2577	4017415
亻:e>c 巾:a>o 月:w>v 田:o>n 艹:f>e	0	0	2	45	253	0	10	1325	2579	4018665
亻:e>c 巾:a>x 月:w>v 田:o>n 艹:f>e	0	0	2	46	258	0	9	1325	2580	4019060
亻:e>c 忄:p>q 月:w>t 田:o>n 艹:f>e	0	0	2	47	267	0	8	1324	2578	4019590
土:r>s 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	2	48	249	0	12	1339	2611	4024765
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>w	0	0	2	48	262	0	12	1320	2574	4025970
亻:e>c 忄:p>q 月:w>v 田:o>n 艹:f>e	0	0	2	49	258	0	10	1326	2575	4024745
亻:e>c 忄:p>q 月:w>t 田:o>n 艹:f>p	0	0	2	49	274	0	10	1319	2575	4025345
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>w	0	0	2	49	263	0	12	1320	2578	4027470
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>w	0	0	2	49	256	0	12	1320	2575	4027345
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>w	0	0	2	49	260	0	13	1320	2573	4028635
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>w	0	0	2	52	263	0	13	1321	2573	4033155
亻:e>c 忄:p>q 月:w>v 田:o>n 艹:f>p	0	0	2	52	266	0	13	1321	2572	4033220
土:r>q 忄:p>g 月:w>t 木:s>g 艹:f>p	0	0	2	52	261	0	15	1329	2582	4035150
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>p	0	0	2	53	273	0	16	1316	2559	4038725
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>p	0	0	2	54	274	0	16	1316	2563	4040225
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>p	0	0	2	54	267	0	16	1316	2560	4040100
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>p	0	0	2	54	272	0	17	1316	2558	4041410
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>n	0	0	2	57	289	0	19	1336	2575	4047765
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>n	0	0	2	60	302	0	22	1316	2532	4057140
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>n	0	0	2	61	303	0	22	1316	2536	4058640
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>n	0	0	2	61	296	0	22	1316	2533	4058515
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>n	0	0	2	62	302	0	24	1316	2531	4062545
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>n	0	0	2	64	303	0	23	1317	2531	4064325
