root	from	to	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
巾	a	q	0	4	0	23	194	0	3	1339	2635
巾	a	o	0	4	0	23	197	0	4	1339	2637
巾	a	x	0	4	0	24	201	0	3	1339	2638
巾	a	r	0	4	0	24	200	0	3	1339	2634
月	w	t	0	4	0	26	211	0	3	1335	2623
忄	p	q	0	4	0	26	201	0	4	1340	2633
月	w	v	0	4	0	26	199	0	4	1337	2620
田	o	n	0	4	0	27	209	0	6	1339	2634
卜	e	y	0	5	0	20	190	0	3	1340	2638
卜	e	l	0	5	0	20	192	0	3	1339	2638
卜	e	q	0	5	0	20	190	0	3	1339	2634
皿	h	q	0	5	0	20	192	0	3	1338	2634
白	n	b	0	5	0	20	194	0	3	1338	2634
卜	e	o	0	5	0	20	193	0	3	1335	2634
矢	a	b	0	5	0	21	196	0	2	1339	2636
斤	t	m	0	5	0	21	191	0	3	1340	2638
斤	t	o	0	5	0	21	191	0	3	1340	2638
斤	t	w	0	5	0	21	191	0	3	1340	2637
米	k	y	0	5	0	21	194	0	3	1340	2637
卜	e	z	0	5	0	21	191	0	3	1340	2636
耂	i	k	0	5	0	21	193	0	3	1339	2640
辛	s	d	0	5	0	21	192	0	3	1339	2639
辛	s	h	0	5	0	21	192	0	3	1339	2639
辛	s	y	0	5	0	21	192	0	3	1339	2639
衣	q	b	0	5	0	21	193	0	3	1339	2639
辛	s	a	0	5	0	21	194	0	3	1339	2639
辛	s	k	0	5	0	21	194	0	3	1339	2639
辛	s	x	0	5	0	21	194	0	3	1339	2639
虫	b	p	0	5	0	21	202	0	3	1339	2639
束	b	j	0	5	0	21	191	0	3	1339	2638
韦	k	h	0	5	0	21	191	0	3	1339	2638
彳	u	y	0	5	0	21	192	0	3	1339	2638
臣	o	h	0	5	0	21	192	0	3	1339	2638
臣	o	k	0	5	0	21	192	0	3	1339	2638
佥	a	j	0	5	0	21	192	0	3	1339	2638
辛	s	j	0	5	0	21	192	0	3	1339	2638
里	v	y	0	5	0	21	192	0	3	1339	2638
丽	o	q	0	5	0	21	192	0	3	1339	2638
丽	o	w	0	5	0	21	192	0	3	1339	2638
井	b	d	0	5	0	21	192	0	3	1339	2638
井	b	h	0	5	0	21	192	0	3	1339	2638
井	b	i	0	5	0	21	192	0	3	1339	2638
井	b	y	0	5	0	21	192	0	3	1339	2638
甫	g	s	0	5	0	21	192	0	3	1339	2638
甫	g	y	0	5	0	21	192	0	3	1339	2638
卵	k	y	0	5	0	21	192	0	3	1339	2638
至	n	v	0	5	0	21	192	0	3	1339	2638
耂	i	c	0	5	0	21	192	0	3	1339	2638
耂	i	m	0	5	0	21	192	0	3	1339	2638
韦	k	v	0	5	0	21	192	0	3	1339	2638
臣	o	a	0	5	0	21	193	0	3	1339	2638
辛	s	q	0	5	0	21	193	0	3	1339	2638
丽	o	y	0	5	0	21	193	0	3	1339	2638
束	b	p	0	5	0	21	193	0	3	1339	2638
氏	s	o	0	5	0	21	193	0	3	1339	2638
九	p	z	0	5	0	21	193	0	3	1339	2638
习	j	l	0	5	0	21	194	0	3	1339	2638
毛	v	e	0	5	0	21	194	0	3	1339	2638
氏	s	l	0	5	0	21	194	0	3	1339	2638
毛	v	t	0	5	0	21	195	0	3	1339	2638
毛	v	u	0	5	0	21	195	0	3	1339	2638
囗	l	b	0	5	0	21	196	0	3	1339	2638
鸟	s	t	0	5	0	21	198	0	3	1339	2638
鬼	t	j	0	5	0	21	190	0	3	1339	2637
立	t	j	0	5	0	21	190	0	3	1339	2637
鬼	t	o	0	5	0	21	191	0	3	1339	2637
里	v	w	0	5	0	21	191	0	3	1339	2637
片	o	d	0	5	0	21	191	0	3	1339	2637
束	b	i	0	5	0	21	191	0	3	1339	2637
骨	z	j	0	5	0	21	191	0	3	1339	2637
韦	k	q	0	5	0	21	191	0	3	1339	2637
韦	k	s	0	5	0	21	191	0	3	1339	2637
专	n	a	0	5	0	21	192	0	3	1339	2637
专	n	b	0	5	0	21	192	0	3	1339	2637
专	n	c	0	5	0	21	192	0	3	1339	2637
专	n	d	0	5	0	21	192	0	3	1339	2637
专	n	f	0	5	0	21	192	0	3	1339	2637
专	n	h	0	5	0	21	192	0	3	1339	2637
专	n	j	0	5	0	21	192	0	3	1339	2637
专	n	k	0	5	0	21	192	0	3	1339	2637
专	n	l	0	5	0	21	192	0	3	1339	2637
专	n	m	0	5	0	21	192	0	3	1339	2637
专	n	o	0	5	0	21	192	0	3	1339	2637
专	n	p	0	5	0	21	192	0	3	1339	2637
专	n	r	0	5	0	21	192	0	3	1339	2637
专	n	s	0	5	0	21	192	0	3	1339	2637
专	n	u	0	5	0	21	192	0	3	1339	2637
专	n	v	0	5	0	21	192	0	3	1339	2637
母	l	j	0	5	0	21	192	0	3	1339	2637
母	l	y	0	5	0	21	192	0	3	1339	2637
利	i	q	0	5	0	21	192	0	3	1339	2637
臣	o	e	0	5	0	21	192	0	3	1339	2637
臣	o	l	0	5	0	21	192	0	3	1339	2637
臣	o	s	0	5	0	21	192	0	3	1339	2637
臣	o	w	0	5	0	21	192	0	3	1339	2637
臣	o	z	0	5	0	21	192	0	3	1339	2637
禸	n	e	0	5	0	21	192	0	3	1339	2637
禸	n	j	0	5	0	21	192	0	3	1339	2637
禸	n	m	0	5	0	21	192	0	3	1339	2637
禸	n	q	0	5	0	21	192	0	3	1339	2637
象	k	d	0	5	0	21	192	0	3	1339	2637
象	k	f	0	5	0	21	192	0	3	1339	2637
象	k	g	0	5	0	21	192	0	3	1339	2637
象	k	i	0	5	0	21	192	0	3	1339	2637
象	k	y	0	5	0	21	192	0	3	1339	2637
鬼	t	p	0	5	0	21	192	0	3	1339	2637
佥	a	y	0	5	0	21	192	0	3	1339	2637
兼	h	d	0	5	0	21	192	0	3	1339	2637
兼	h	p	0	5	0	21	192	0	3	1339	2637
兼	h	u	0	5	0	21	192	0	3	1339	2637
兼	h	w	0	5	0	21	192	0	3	1339	2637
兼	h	x	0	5	0	21	192	0	3	1339	2637
厉	a	q	0	5	0	21	192	0	3	1339	2637
厉	a	w	0	5	0	21	192	0	3	1339	2637
以	t	b	0	5	0	21	192	0	3	1339	2637
以	t	c	0	5	0	21	192	0	3	1339	2637
以	t	n	0	5	0	21	192	0	3	1339	2637
以	t	o	0	5	0	21	192	0	3	1339	2637
夷	e	b	0	5	0	21	192	0	3	1339	2637
夷	e	c	0	5	0	21	192	0	3	1339	2637
夷	e	g	0	5	0	21	192	0	3	1339	2637
夷	e	i	0	5	0	21	192	0	3	1339	2637
夷	e	k	0	5	0	21	192	0	3	1339	2637
夷	e	o	0	5	0	21	192	0	3	1339	2637
夷	e	r	0	5	0	21	192	0	3	1339	2637
夷	e	z	0	5	0	21	192	0	3	1339	2637
乙	v	a	0	5	0	21	192	0	3	1339	2637
乙	v	b	0	5	0	21	192	0	3	1339	2637
乙	v	c	0	5	0	21	192	0	3	1339	2637
乙	v	d	0	5	0	21	192	0	3	1339	2637
乙	v	e	0	5	0	21	192	0	3	1339	2637
乙	v	f	0	5	0	21	192	0	3	1339	2637
乙	v	g	0	5	0	21	192	0	3	1339	2637
乙	v	h	0	5	0	21	192	0	3	1339	2637
乙	v	i	0	5	0	21	192	0	3	1339	2637
乙	v	j	0	5	0	21	192	0	3	1339	2637
乙	v	k	0	5	0	21	192	0	3	1339	2637
乙	v	l	0	5	0	21	192	0	3	1339	2637
乙	v	m	0	5	0	21	192	0	3	1339	2637
乙	v	n	0	5	0	21	192	0	3	1339	2637
乙	v	o	0	5	0	21	192	0	3	1339	2637
乙	v	p	0	5	0	21	192	0	3	1339	2637
乙	v	q	0	5	0	21	192	0	3	1339	2637
乙	v	r	0	5	0	21	192	0	3	1339	2637
乙	v	s	0	5	0	21	192	0	3	1339	2637
乙	v	t	0	5	0	21	192	0	3	1339	2637
乙	v	u	0	5	0	21	192	0	3	1339	2637
乙	v	w	0	5	0	21	192	0	3	1339	2637
乙	v	x	0	5	0	21	192	0	3	1339	2637
乙	v	y	0	5	0	21	192	0	3	1339	2637
乙	v	z	0	5	0	21	192	0	3	1339	2637
殳	w	a	0	5	0	21	192	0	3	1339	2637
殳	w	e	0	5	0	21	192	0	3	1339	2637
殳	w	n	0	5	0	21	192	0	3	1339	2637
殳	w	y	0	5	0	21	192	0	3	1339	2637
兔	a	d	0	5	0	21	192	0	3	1339	2637
兔	a	h	0	5	0	21	192	0	3	1339	2637
兔	a	j	0	5	0	21	192	0	3	1339	2637
兔	a	q	0	5	0	21	192	0	3	1339	2637
兔	a	t	0	5	0	21	192	0	3	1339	2637
兔	a	w	0	5	0	21	192	0	3	1339	2637
兔	a	y	0	5	0	21	192	0	3	1339	2637
兔	a	z	0	5	0	21	192	0	3	1339	2637
丽	o	j	0	5	0	21	192	0	3	1339	2637
五	o	f	0	5	0	21	192	0	3	1339	2637
五	o	g	0	5	0	21	192	0	3	1339	2637
五	o	j	0	5	0	21	192	0	3	1339	2637
儿	r	q	0	5	0	21	192	0	3	1339	2637
来	k	a	0	5	0	21	192	0	3	1339	2637
来	k	d	0	5	0	21	192	0	3	1339	2637
来	k	e	0	5	0	21	192	0	3	1339	2637
来	k	g	0	5	0	21	192	0	3	1339	2637
来	k	j	0	5	0	21	192	0	3	1339	2637
来	k	l	0	5	0	21	192	0	3	1339	2637
来	k	m	0	5	0	21	192	0	3	1339	2637
来	k	o	0	5	0	21	192	0	3	1339	2637
来	k	p	0	5	0	21	192	0	3	1339	2637
来	k	q	0	5	0	21	192	0	3	1339	2637
来	k	s	0	5	0	21	192	0	3	1339	2637
来	k	w	0	5	0	21	192	0	3	1339	2637
来	k	x	0	5	0	21	192	0	3	1339	2637
来	k	y	0	5	0	21	192	0	3	1339	2637
来	k	z	0	5	0	21	192	0	3	1339	2637
也	l	a	0	5	0	21	192	0	3	1339	2637
也	l	c	0	5	0	21	192	0	3	1339	2637
也	l	k	0	5	0	21	192	0	3	1339	2637
也	l	n	0	5	0	21	192	0	3	1339	2637
也	l	p	0	5	0	21	192	0	3	1339	2637
商	o	a	0	5	0	21	192	0	3	1339	2637
商	o	b	0	5	0	21	192	0	3	1339	2637
商	o	c	0	5	0	21	192	0	3	1339	2637
商	o	d	0	5	0	21	192	0	3	1339	2637
商	o	g	0	5	0	21	192	0	3	1339	2637
商	o	h	0	5	0	21	192	0	3	1339	2637
商	o	j	0	5	0	21	192	0	3	1339	2637
商	o	k	0	5	0	21	192	0	3	1339	2637
商	o	n	0	5	0	21	192	0	3	1339	2637
商	o	t	0	5	0	21	192	0	3	1339	2637
商	o	v	0	5	0	21	192	0	3	1339	2637
商	o	z	0	5	0	21	192	0	3	1339	2637
井	b	a	0	5	0	21	192	0	3	1339	2637
井	b	g	0	5	0	21	192	0	3	1339	2637
井	b	j	0	5	0	21	192	0	3	1339	2637
井	b	p	0	5	0	21	192	0	3	1339	2637
井	b	s	0	5	0	21	192	0	3	1339	2637
井	b	u	0	5	0	21	192	0	3	1339	2637
示	p	b	0	5	0	21	192	0	3	1339	2637
弟	p	d	0	5	0	21	192	0	3	1339	2637
弟	p	g	0	5	0	21	192	0	3	1339	2637
弟	p	h	0	5	0	21	192	0	3	1339	2637
弟	p	k	0	5	0	21	192	0	3	1339	2637
弟	p	m	0	5	0	21	192	0	3	1339	2637
弟	p	t	0	5	0	21	192	0	3	1339	2637
弟	p	y	0	5	0	21	192	0	3	1339	2637
甫	g	i	0	5	0	21	192	0	3	1339	2637
甫	g	m	0	5	0	21	192	0	3	1339	2637
甫	g	r	0	5	0	21	192	0	3	1339	2637
甫	g	t	0	5	0	21	192	0	3	1339	2637
俞	b	q	0	5	0	21	192	0	3	1339	2637
俞	b	y	0	5	0	21	192	0	3	1339	2637
弗	p	s	0	5	0	21	192	0	3	1339	2637
