root	from	to	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
月	w	t	0	3	0	28	213	0	3	1335	2621
月	w	v	0	3	0	28	201	0	4	1337	2618
田	o	n	0	3	0	29	211	0	6	1339	2632
卜	e	y	0	4	0	22	192	0	3	1340	2636
卜	e	l	0	4	0	22	194	0	3	1339	2636
爫	z	y	0	4	0	22	193	0	3	1339	2634
爫	z	a	0	4	0	22	193	0	3	1339	2631
亠	z	d	0	4	0	22	191	0	3	1338	2634
白	n	b	0	4	0	22	196	0	3	1338	2632
皿	h	q	0	4	0	22	196	0	3	1338	2632
亠	z	n	0	4	0	22	197	0	3	1338	2630
亠	z	o	0	4	0	22	192	0	3	1336	2631
卜	e	o	0	4	0	22	194	0	3	1335	2632
亠	z	c	0	4	0	22	194	0	3	1334	2628
亠	z	t	0	4	0	22	192	0	3	1332	2627
矢	a	b	0	4	0	23	198	0	2	1339	2634
斤	t	m	0	4	0	23	193	0	3	1340	2636
斤	t	o	0	4	0	23	193	0	3	1340	2636
斤	t	a	0	4	0	23	191	0	3	1340	2635
斤	t	w	0	4	0	23	193	0	3	1340	2635
米	k	y	0	4	0	23	196	0	3	1340	2635
卜	e	z	0	4	0	23	193	0	3	1340	2634
耂	i	k	0	4	0	23	195	0	3	1339	2638
辛	s	d	0	4	0	23	194	0	3	1339	2637
辛	s	h	0	4	0	23	194	0	3	1339	2637
辛	s	y	0	4	0	23	194	0	3	1339	2637
衣	q	b	0	4	0	23	195	0	3	1339	2637
辛	s	a	0	4	0	23	196	0	3	1339	2637
辛	s	k	0	4	0	23	196	0	3	1339	2637
辛	s	x	0	4	0	23	196	0	3	1339	2637
虫	b	p	0	4	0	23	204	0	3	1339	2637
束	b	j	0	4	0	23	193	0	3	1339	2636
韦	k	h	0	4	0	23	193	0	3	1339	2636
彳	u	y	0	4	0	23	194	0	3	1339	2636
臣	o	h	0	4	0	23	194	0	3	1339	2636
臣	o	k	0	4	0	23	194	0	3	1339	2636
佥	a	j	0	4	0	23	194	0	3	1339	2636
辛	s	j	0	4	0	23	194	0	3	1339	2636
里	v	y	0	4	0	23	194	0	3	1339	2636
丽	o	q	0	4	0	23	194	0	3	1339	2636
丽	o	w	0	4	0	23	194	0	3	1339	2636
井	b	d	0	4	0	23	194	0	3	1339	2636
井	b	h	0	4	0	23	194	0	3	1339	2636
井	b	i	0	4	0	23	194	0	3	1339	2636
井	b	y	0	4	0	23	194	0	3	1339	2636
甫	g	s	0	4	0	23	194	0	3	1339	2636
甫	g	y	0	4	0	23	194	0	3	1339	2636
卵	k	y	0	4	0	23	194	0	3	1339	2636
至	n	v	0	4	0	23	194	0	3	1339	2636
耂	i	c	0	4	0	23	194	0	3	1339	2636
耂	i	m	0	4	0	23	194	0	3	1339	2636
韦	k	v	0	4	0	23	194	0	3	1339	2636
臣	o	a	0	4	0	23	195	0	3	1339	2636
辛	s	q	0	4	0	23	195	0	3	1339	2636
丽	o	y	0	4	0	23	195	0	3	1339	2636
束	b	p	0	4	0	23	195	0	3	1339	2636
氏	s	o	0	4	0	23	195	0	3	1339	2636
九	p	z	0	4	0	23	195	0	3	1339	2636
习	j	l	0	4	0	23	196	0	3	1339	2636
毛	v	e	0	4	0	23	196	0	3	1339	2636
氏	s	l	0	4	0	23	196	0	3	1339	2636
毛	v	t	0	4	0	23	197	0	3	1339	2636
毛	v	u	0	4	0	23	197	0	3	1339	2636
囗	l	b	0	4	0	23	198	0	3	1339	2636
鸟	s	t	0	4	0	23	200	0	3	1339	2636
鬼	t	j	0	4	0	23	192	0	3	1339	2635
立	t	j	0	4	0	23	192	0	3	1339	2635
鬼	t	o	0	4	0	23	193	0	3	1339	2635
里	v	w	0	4	0	23	193	0	3	1339	2635
片	o	d	0	4	0	23	193	0	3	1339	2635
束	b	i	0	4	0	23	193	0	3	1339	2635
骨	z	j	0	4	0	23	193	0	3	1339	2635
韦	k	s	0	4	0	23	193	0	3	1339	2635
专	n	a	0	4	0	23	194	0	3	1339	2635
专	n	b	0	4	0	23	194	0	3	1339	2635
专	n	c	0	4	0	23	194	0	3	1339	2635
专	n	d	0	4	0	23	194	0	3	1339	2635
专	n	f	0	4	0	23	194	0	3	1339	2635
专	n	h	0	4	0	23	194	0	3	1339	2635
专	n	j	0	4	0	23	194	0	3	1339	2635
专	n	k	0	4	0	23	194	0	3	1339	2635
专	n	l	0	4	0	23	194	0	3	1339	2635
专	n	m	0	4	0	23	194	0	3	1339	2635
专	n	o	0	4	0	23	194	0	3	1339	2635
专	n	p	0	4	0	23	194	0	3	1339	2635
专	n	r	0	4	0	23	194	0	3	1339	2635
专	n	s	0	4	0	23	194	0	3	1339	2635
专	n	u	0	4	0	23	194	0	3	1339	2635
专	n	v	0	4	0	23	194	0	3	1339	2635
