root	from	to	swap_root	swap_from	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
田	o	p	角	p	0	4	0	23	199	0	3	1339	2634
巾	a	q	衣	q	0	4	0	23	197	0	3	1338	2636
巾	a	o	臣	o	0	4	0	23	198	0	4	1339	2638
巾	a	o	商	o	0	4	0	23	197	0	4	1339	2637
巾	a	o	秉	o	0	4	0	23	197	0	4	1339	2637
巾	a	o	永	o	0	4	0	23	197	0	4	1339	2637
巾	a	o	居	o	0	4	0	23	197	0	4	1339	2636
巾	a	o	单	o	0	4	0	23	198	0	4	1339	2636
巾	a	o	予	o	0	4	0	23	197	0	4	1338	2637
巾	a	o	五	o	0	4	0	23	197	0	4	1338	2636
巾	a	r	乃	r	0	4	0	24	200	0	3	1339	2634
巾	a	o	丽	o	0	4	0	24	198	0	4	1339	2636
亻	e	c	广	c	0	4	0	25	196	0	5	1325	2623
月	w	t	古	t	0	4	0	26	212	0	3	1336	2624
月	w	t	斤	t	0	4	0	26	208	0	3	1336	2623
月	w	t	龙	t	0	4	0	26	208	0	3	1335	2623
月	w	t	鬼	t	0	4	0	26	209	0	3	1335	2622
月	w	v	里	v	0	4	0	26	198	0	4	1337	2620
月	w	v	乙	v	0	4	0	26	199	0	4	1337	2620
月	w	v	皮	v	0	4	0	26	199	0	4	1337	2620
月	w	t	鱼	t	0	4	0	26	200	0	4	1335	2627
田	o	n	女	n	0	4	0	26	205	0	6	1339	2640
田	o	n	专	n	0	4	0	27	209	0	6	1339	2634
田	o	n	民	n	0	4	0	27	209	0	6	1339	2634
田	o	n	禸	n	0	4	0	27	210	0	6	1339	2634
田	o	n	厶	n	0	4	0	27	209	0	6	1338	2635
田	o	n	至	n	0	4	0	27	209	0	6	1338	2634
巾	a	l	囗	l	0	5	0	21	193	0	3	1338	2636
巾	a	l	也	l	0	5	0	21	194	0	3	1338	2636
巾	a	l	隹	l	0	5	0	22	192	0	4	1337	2635
巾	a	l	足	l	0	5	0	23	196	0	3	1337	2635
忄	p	h	皿	h	0	5	0	23	196	0	4	1334	2632
土	r	v	里	v	0	5	0	24	187	0	4	1342	2651
巾	a	l	辶	l	0	5	0	24	196	0	5	1338	2636
土	r	v	乙	v	0	5	0	25	188	0	5	1343	2653
土	r	v	皮	v	0	5	0	25	188	0	5	1343	2653
土	r	v	毛	v	0	5	0	25	190	0	5	1343	2653
忄	p	h	兼	h	0	5	0	25	199	0	6	1337	2634
忄	p	h	马	h	0	5	0	25	197	0	6	1336	2635
土	r	v	无	v	0	5	0	26	189	0	5	1343	2653
巾	a	l	母	l	0	6	0	21	194	0	3	1338	2635
巾	a	l	子	l	0	6	0	21	193	0	3	1337	2636
月	w	c	干	c	0	6	0	23	206	0	3	1334	2620
月	w	t	立	t	0	6	0	26	209	0	3	1335	2628
